|Vgs|	Gm_|Vds|=0.01V	Gm_|Vds|=0.02V	Gm_|Vds|=0.03V	Gm_|Vds|=0.04V	Gm_|Vds|=0.05V	Gm_|Vds|=0.06V	Gm_|Vds|=0.07V	Gm_|Vds|=0.08V	Gm_|Vds|=0.09V	Gm_|Vds|=0.1V
-0.3	-2.39999999999996e-10	4.00000000000131e-11	-2.19999999999989e-10	1.02e-09	5.80000000000025e-10	3.39999999999987e-10	2.20000000000031e-10	-2.00000000000066e-11	1.55800000000002e-09	-1.84380000000004e-08
-0.295	-1.33333333333327e-10	3.83333333333383e-11	-2.86666666666652e-10	3.76666666666668e-10	1.58333333333356e-10	-8.0000000000006e-11	-2.23333333333318e-10	-2.54999999999999e-10	5.63333333333329e-10	-1.33418333333334e-08
-0.29	-1.71999999999995e-10	-3.20999999999995e-10	-3.75999999999987e-10	-5.59999999999984e-11	-3.45999999999993e-10	-2.92000000000004e-10	-5.2399999999999e-10	-7.36e-10	-2.82000000000001e-10	-9.26490000000003e-09
-0.285	-9.49999999999913e-11	-3.72999999999998e-10	-4.4199999999999e-10	-4.43999999999997e-10	-5.85999999999999e-10	-6.48e-10	-8.39999999999997e-10	-1.072e-09	-8.13600000000005e-10	-6.25189999999995e-09
-0.28	-1.24999999999993e-10	-4.51000000000001e-10	-5.72999999999998e-10	-8.22999999999995e-10	-8.32999999999998e-10	-8.60999999999999e-10	-1.077e-09	-1.404e-09	-1.2534e-09	-4.00529999999999e-09
-0.275	-2.31999999999997e-10	-5.69e-10	-7.89999999999998e-10	-9.6e-10	-1.125e-09	-1.052e-09	-1.185e-09	-1.638e-09	-1.5491e-09	-3.3274e-09
-0.27	-2.24999999999994e-10	-5.89999999999998e-10	-9.51999999999998e-10	-1.046e-09	-1.331e-09	-1.382e-09	-1.401e-09	-1.794e-09	-1.7175e-09	-3.4952e-09
-0.265	-2.69999999999996e-10	-5.34999999999998e-10	-1.068e-09	-1.378e-09	-1.50299999999999e-09	-1.662e-09	-1.805e-09	-1.91e-09	-1.8964e-09	-3.6319e-09
-0.26	-4.90000000000005e-10	-6.39999999999997e-10	-1.314e-09	-1.679e-09	-1.85699999999999e-09	-1.959e-09	-2.233e-09	-1.999e-09	-2.2393e-09	-3.7869e-09
-0.255	-6.21000000000008e-10	-9.44999999999995e-10	-1.619e-09	-1.732e-09	-2.273e-09	-2.396e-09	-2.658e-09	-2.258e-09	-2.654e-09	-4.1018e-09
-0.25	-5.94000000000004e-10	-1.247e-09	-1.751e-09	-1.882e-09	-2.526e-09	-2.735e-09	-3.053e-09	-2.777e-09	-3.017e-09	-4.4618e-09
-0.245	-6.81000000000002e-10	-1.446e-09	-1.906e-09	-2.204e-09	-2.691e-09	-2.979e-09	-3.349e-09	-3.316e-09	-3.4222e-09	-4.7599e-09
-0.24	-8.70999999999998e-10	-1.685e-09	-2.249e-09	-2.437e-09	-3.023e-09	-3.37599999999999e-09	-3.598e-09	-3.9178e-09	-4.0095e-09	-5.25199999999999e-09
-0.235	-9.96000000000002e-10	-2.00200000000001e-09	-2.57100000000001e-09	-2.67600000000002e-09	-3.53500000000002e-09	-3.81300000000002e-09	-3.90700000000002e-09	-4.66650000000002e-09	-4.71280000000002e-09	-5.90310000000003e-09
-0.23	-1.113e-09	-2.22100000000001e-09	-2.80500000000001e-09	-3.19800000000002e-09	-3.99800000000002e-09	-4.18700000000002e-09	-4.36600000000002e-09	-5.34100000000002e-09	-5.37060000000003e-09	-6.45650000000003e-09
-0.225	-1.36100000000001e-09	-2.40000000000001e-09	-3.16700000000001e-09	-3.90300000000002e-09	-4.39700000000002e-09	-4.76700000000002e-09	-5.19500000000002e-09	-5.90190000000002e-09	-6.04390000000002e-09	-7.14040000000003e-09
-0.22	-1.67700000000001e-09	-2.71900000000001e-09	-3.69300000000001e-09	-4.57100000000001e-09	-5.01100000000002e-09	-5.69200000000002e-09	-6.20700000000001e-09	-6.60070000000002e-09	-6.92920000000002e-09	-8.11230000000003e-09
-0.215	-1.87100000000001e-09	-3.23700000000002e-09	-4.21400000000001e-09	-5.18200000000001e-09	-5.80200000000002e-09	-6.59500000000002e-09	-7.01000000000002e-09	-7.46270000000002e-09	-7.96220000000002e-09	-9.11130000000003e-09
-0.21	-2.014e-09	-3.73700000000001e-09	-4.795e-09	-5.95299999999999e-09	-6.51399999999999e-09	-7.33899999999999e-09	-7.94019999999999e-09	-8.37139999999999e-09	-8.99759999999999e-09	-1.02399e-08
-0.205	-2.30599999999999e-09	-4.129e-09	-5.496e-09	-6.87099999999999e-09	-7.34499999999999e-09	-8.27999999999999e-09	-9.17189999999999e-09	-9.51539999999999e-09	-1.03089e-08	-1.17033e-08
-0.2	-2.69699999999999e-09	-4.644e-09	-6.332e-09	-7.66699999999999e-09	-8.53899999999999e-09	-9.46399999999999e-09	-1.03234e-08	-1.0905e-08	-1.18354e-08	-1.31344e-08
-0.195	-3.06099999999999e-09	-5.34099999999999e-09	-7.23799999999999e-09	-8.54899999999999e-09	-9.84799999999999e-09	-1.0633e-08	-1.15065e-08	-1.24357e-08	-1.33378e-08	-1.38846e-08
-0.19	-3.47499999999999e-09	-6.00399999999999e-09	-8.15199999999999e-09	-9.76099999999999e-09	-1.113e-08	-1.19531e-08	-1.31576e-08	-1.41199e-08	-1.50093e-08	-1.19438e-08
-0.185	-4.042e-09	-6.69299999999999e-09	-9.15899999999999e-09	-1.1115e-08	-1.2593e-08	-1.37434e-08	-1.50407e-08	-1.60636e-08	-1.61119e-08	-5.92689999999999e-09
-0.18	-4.708e-09	-7.70699999999999e-09	-1.0422e-08	-1.252e-08	-1.4312e-08	-1.57953e-08	-1.69624e-08	-1.83202e-08	-1.37333e-08	2.2897e-09
-0.175	-5.333e-09	-8.92299999999999e-09	-1.1874e-08	-1.4136e-08	-1.62609e-08	-1.79795e-08	-1.9246e-08	-2.01714e-08	-6.6851e-09	1.13427e-08
-0.17	-5.97e-09	-1.0138e-08	-1.3414e-08	-1.6012e-08	-1.84359e-08	-2.04875e-08	-2.19921e-08	-1.83232e-08	2.8891e-09	2.09903e-08
-0.165	-6.819e-09	-1.1546e-08	-1.5334e-08	-1.8228e-08	-2.09355e-08	-2.3333e-08	-2.44271e-08	-1.03421e-08	1.37746e-08	2.90803e-08
-0.16	-7.75999999999999e-09	-1.3292e-08	-1.7614e-08	-2.08092e-08	-2.38178e-08	-2.64719e-08	-2.2437e-08	1.4576e-09	2.53379e-08	3.45003e-08
-0.155	-8.65599999999999e-09	-1.5132e-08	-2.0016e-08	-2.36604e-08	-2.71003e-08	-2.85141e-08	-1.29069e-08	1.49398e-08	3.50055e-08	3.93384e-08
-0.15	-9.82399999999999e-09	-1.705e-08	-2.2652e-08	-2.70087e-08	-3.0793e-08	-2.45662e-08	1.2134e-09	2.94729e-08	4.15119e-08	4.47306e-08
-0.145	-1.132e-08	-1.9293e-08	-2.56791e-08	-3.0875e-08	-3.24303e-08	-1.21575e-08	1.73994e-08	4.20266e-08	4.70945e-08	5.04759e-08
-0.14	-1.2889e-08	-2.1862e-08	-2.91129e-08	-3.49521e-08	-2.64796e-08	4.9096e-09	3.51687e-08	5.04549e-08	5.34728e-08	5.71598e-08
-0.135	-1.4612e-08	-2.4742e-08	-3.30116e-08	-3.66819e-08	-1.15567e-08	2.40151e-08	5.05107e-08	5.72189e-08	6.05956999999999e-08	6.48131999999999e-08
