|Vds|	Gm_|Vgs|=0.15V	Gm_|Vgs|=0.3V	Gm_|Vgs|=0.45V	Gm_|Vgs|=0.6V	Gm_|Vgs|=0.75V	Gm_|Vgs|=0.9V
0.9	1.20000000000003e-06	7.71999999999984e-05	0.00144000000000003	0.00359999999999978	0.00280000000000002	0.0132000000000007
0.895	1.29433333333335e-06	7.87333333333326e-05	0.00145666666666668	0.00389999999999985	0.00369999999999994	0.0110000000000004
0.89	1.30380000000001e-06	8.01399999999993e-05	0.00148400000000001	0.00397999999999992	0.00453999999999999	0.00924000000000007
0.885	1.3406e-06	7.98199999999996e-05	0.001496	0.00407999999999997	0.00504000000000001	0.00803999999999998
0.88	1.3648e-06	8.01199999999997e-05	0.00149999999999999	0.00412000000000001	0.00547999999999999	0.0071199999999999
0.875	1.3532e-06	7.96999999999997e-05	0.001494	0.00416000000000003	0.00577999999999998	0.00681999999999995
0.87	1.3414e-06	7.884e-05	0.00148	0.00424000000000002	0.00589999999999996	0.00688000000000008
0.865	1.3474e-06	7.99600000000003e-05	0.001466	0.00424	0.00593999999999993	0.00688000000000008
0.86	1.3524e-06	8.10600000000003e-05	0.001448	0.00418	0.00601999999999994	0.00684000000000004
0.855	1.3478e-06	8.05800000000003e-05	0.001436	0.00417999999999999	0.00612000000000002	0.00694000000000008
0.85	1.3392e-06	8.02400000000003e-05	0.001446	0.00415999999999997	0.00608000000000005	0.00708000000000008
0.845	1.3292e-06	7.90600000000001e-05	0.00144799999999999	0.00407999999999997	0.00596000000000004	0.00712000000000005
0.84	1.30980000000001e-06	7.65800000000001e-05	0.001442	0.0041	0.00594000000000006	0.00714000000000009
0.835	1.2804e-06	7.59000000000001e-05	0.00146	0.00420000000000002	0.00592000000000008	0.00718000000000006
0.83	1.2688e-06	7.666e-05	0.00148800000000001	0.00420000000000003	0.00590000000000005	0.00713999999999993
0.825	1.2632e-06	7.65599999999999e-05	0.00149600000000001	0.00414000000000004	0.00594000000000005	0.00709999999999989
0.82	1.2536e-06	7.66999999999998e-05	0.00148200000000001	0.00414000000000002	0.00592000000000006	0.00715999999999995
0.815	1.2534e-06	7.70799999999997e-05	0.001456	0.00411999999999999	0.00592000000000002	0.00715999999999994
0.81	1.2438e-06	7.63599999999999e-05	0.001432	0.00405999999999998	0.00601999999999998	0.00709999999999995
0.805	1.2172e-06	7.514e-05	0.00141999999999999	0.00407999999999998	0.00597999999999997	0.00712000000000004
0.8	1.198e-06	7.41800000000001e-05	0.00141	0.00413999999999999	0.00585999999999996	0.00714000000000006
0.795	1.1956e-06	7.34000000000001e-05	0.001412	0.0041	0.00595999999999995	0.00706000000000005
0.79	1.193e-06	7.29200000000002e-05	0.001432	0.00406000000000001	0.00608	0.00712000000000004
0.785	1.1862e-06	7.30200000000001e-05	0.001456	0.00416000000000001	0.00608	0.00727999999999999
0.78	1.1816e-06	7.33600000000001e-05	0.00146	0.00424	0.00615999999999995	0.00727999999999999
0.775	1.1888e-06	7.31800000000001e-05	0.001448	0.00426000000000001	0.00629999999999995	0.00736
0.77	1.192e-06	7.306e-05	0.001446	0.00410400000000001	0.00633999999999999	0.00761999999999991
0.765	1.1762e-06	7.30799999999998e-05	0.001448	0.00364800000000002	0.00631999999999997	0.00769999999999992
0.76	1.1604e-06	7.18999999999998e-05	0.001438	0.00329400000000002	0.00633999999999995	0.00760000000000003
0.755	1.1528e-06	7.08399999999998e-05	0.00142	0.00324000000000001	0.00632	0.00766000000000002
0.75	1.1408e-06	7.10799999999999e-05	0.001416	0.00325799999999999	0.00628000000000003	0.00772000000000001
0.745	1.125e-06	7.06999999999999e-05	0.001426	0.00347999999999999	0.00628000000000003	0.00762000000000005
0.74	1.1164e-06	7.04200000000001e-05	0.001428	0.00400399999999999	0.00624000000000004	0.00768000000000006
0.735	1.1144e-06	7.14000000000001e-05	0.001416	0.00434199999999998	0.00620000000000003	0.00786000000000003
0.73	1.1068e-06	7.14000000000001e-05	0.001412	0.00433799999999999	0.00622000000000002	0.0079
0.725	1.0892e-06	7.042e-05	0.001414	0.00429599999999999	0.00621999999999998	0.00791999999999995
0.72	1.0738e-06	7.038e-05	0.001408	0.00431199999999998	0.00625999999999996	0.00799999999999996
0.715	1.0688e-06	7.00199999999998e-05	0.001408	0.00430599999999998	0.00639999999999994	0.00803999999999998
0.71	1.0656e-06	6.82199999999999e-05	0.00141	0.00427799999999999	0.00649999999999997	0.00801999999999996
0.705	1.0586e-06	6.69000000000001e-05	0.0014	0.004272	0.00658000000000003	0.00795999999999999
0.7	1.0602e-06	6.70400000000001e-05	0.001392	0.004236	0.00668000000000006	0.00800000000000003
0.695	1.068e-06	6.76600000000002e-05	0.001388	0.00420400000000002	0.00664000000000006	0.00818
0.69	1.0622e-06	6.79800000000002e-05	0.00138	0.00423200000000003	0.00648000000000004	0.00821999999999997
0.685	1.0426e-06	6.82600000000002e-05	0.00139200000000001	0.00426200000000002	0.00639999999999999	0.00820000000000002
0.68	1.0318e-06	6.82000000000001e-05	0.001408	0.00429400000000001	0.00641999999999993	0.00838000000000005
0.675	1.0278e-06	6.704e-05	0.0014	0.004358	0.00645999999999993	0.00854
0.67	1.013e-06	6.546e-05	0.001412	0.00438199999999998	0.00649999999999997	0.00851999999999998
0.665	9.98999999999999e-07	6.49599999999999e-05	0.001424	0.00433999999999998	0.00658000000000002	0.00854
0.66	1.0012e-06	6.49999999999998e-05	0.001402	0.00430999999999999	0.00666000000000006	0.00869999999999995
