|Vgs|	Gm_|Vds|=0.15V	Gm_|Vds|=0.3V	Gm_|Vds|=0.45V	Gm_|Vds|=0.6V	Gm_|Vds|=0.75V	Gm_|Vds|=0.9V
-0.3	-9.08000000000033e-07	-2.80000000000112e-08	-1.60000000000003e-06	-4.19999999999998e-07	-1.48000000000006e-06	3.07200000000006e-05
-0.295	7.29999999999893e-08	-1.05666666666672e-07	-6.30000000000007e-07	-1.93333333333328e-07	-2.4000000000002e-07	2.19766666666668e-05
-0.29	-2.74400000000006e-07	-1.31400000000002e-07	-5.40000000000006e-07	-9.69999999999955e-08	2.2799999999999e-07	1.56590000000001e-05
-0.285	1.49800000000001e-07	-1.916e-07	-4.06999999999999e-07	1.86000000000004e-07	6.53000000000001e-07	1.05719999999999e-05
-0.28	2.65600000000001e-07	-8.41999999999991e-08	-2.73000000000003e-07	1.98000000000002e-07	1.155e-06	6.669e-06
-0.275	9.14000000000008e-08	1.39600000000001e-07	-2.19000000000001e-07	2.02000000000002e-07	1.224e-06	5.033e-06
-0.27	1.542e-07	1.798e-07	-8.79999999999981e-08	9.9000000000001e-08	5.94e-07	4.33199999999999e-06
-0.265	1.084e-07	1.29999999999999e-07	1.95000000000002e-07	-4.70999999999999e-07	1.31999999999997e-07	3.807e-06
-0.26	-1.552e-07	2.43e-07	4.9e-07	-9.86999999999997e-07	2.47999999999997e-07	3.561e-06
-0.255	-2.79800000000001e-07	2.00200000000001e-07	5.97000000000002e-07	-9.63999999999997e-07	-8.3000000000002e-08	3.339e-06
-0.25	-2.158e-07	-9.54000000000001e-08	5.30000000000001e-07	-7.63e-07	-5.68000000000002e-07	3.254e-06
-0.245	-1.07399999999999e-07	-1.70200000000001e-07	4.73999999999999e-07	-4.19999999999999e-07	-3.20000000000001e-07	3.302e-06
-0.24	-1.10199999999999e-07	2.06000000000001e-08	4.21000000000002e-07	4.20000000000011e-08	1.45000000000002e-07	3.246e-06
-0.235	-2.50600000000003e-07	1.79600000000005e-07	4.62000000000006e-07	4.60000000000003e-07	2.74000000000012e-07	2.792e-06
-0.23	-3.16400000000002e-07	4.05600000000002e-07	5.20000000000004e-07	8.73000000000002e-07	3.48000000000011e-07	2.357e-06
-0.225	-2.30000000000002e-07	4.82000000000003e-07	3.55000000000004e-07	1.064e-06	7.23000000000009e-07	2.602e-06
-0.22	-9.62000000000025e-08	1.86600000000006e-07	5.40000000000052e-08	9.03000000000002e-07	1.07000000000001e-06	2.635e-06
