I/V Sweep,id_vgs_P_2
RecordTime,12/05/2023 07:40:37
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0.8,-3.3196E-07,2.14E-12,3.7032E-07,1.1183000000000002E-06,-1.1196E-06
1.195,0.8,-3.8372E-07,-8.7E-13,3.8268E-07,1.1205000000000001E-06,-1.1210000000000002E-06
1.19,0.8,-3.8918E-07,2.1700000000000002E-12,3.9279999999999997E-07,1.1216000000000002E-06,-1.1217000000000002E-06
1.185,0.8,-4.0032E-07,1.23E-12,4.0062E-07,1.1229E-06,-1.1227E-06
1.1800000000000002,0.8,-4.0654E-07,8.300000000000001E-13,4.0702E-07,1.1232E-06,-1.1239000000000002E-06
1.175,0.8,-4.0666E-07,1.1100000000000001E-12,4.0766E-07,1.1251E-06,-1.1249E-06
1.1700000000000002,0.8,-4.1394E-07,3.1000000000000004E-13,4.1596E-07,1.1251E-06,-1.1254E-06
1.165,0.8,-4.1802E-07,8.1000000000000008E-13,4.2141999999999997E-07,1.126E-06,-1.1261000000000001E-06
1.1600000000000001,0.8,-4.2062E-07,7.2000000000000006E-13,4.2546E-07,1.1266000000000002E-06,-1.1271000000000002E-06
1.155,0.8,-4.242E-07,-2.2000000000000002E-13,4.2524E-07,1.128E-06,-1.1272000000000002E-06
1.1500000000000001,0.8,-4.2456E-07,6.2000000000000008E-13,4.271E-07,1.1277E-06,-1.128E-06
1.145,0.8,-4.3523999999999997E-07,-6.6E-13,4.3676E-07,1.1291000000000001E-06,-1.1289000000000001E-06
1.1400000000000001,0.8,-4.3498E-07,-7E-13,4.3992E-07,1.1298000000000002E-06,-1.1295000000000002E-06
1.135,0.8,-4.4074E-07,-9.4E-13,4.4438E-07,1.1301000000000002E-06,-1.1301000000000002E-06
1.1300000000000001,0.8,-4.424E-07,1.7E-13,4.4502E-07,1.1305E-06,-1.1304E-06
1.125,0.8,-4.516E-07,2.1000000000000001E-13,4.4716E-07,1.1307E-06,-1.1312E-06
1.12,0.8,-4.5268E-07,-3.4E-13,4.5619999999999997E-07,1.1312E-06,-1.1316E-06
1.115,0.8,-4.5712E-07,-2.8E-13,4.5619999999999997E-07,1.1313E-06,-1.1315E-06
1.11,0.8,-4.5476E-07,4.4000000000000004E-13,4.5868E-07,1.1317000000000001E-06,-1.1322000000000002E-06
1.105,0.8,-4.6234E-07,4.6000000000000006E-13,4.6272E-07,1.1325000000000002E-06,-1.1330000000000002E-06
1.1,0.8,-4.5598E-07,3.2000000000000005E-13,4.5888E-07,1.1325000000000002E-06,-1.1331000000000002E-06
1.095,0.8,-4.6154E-07,-3.6000000000000003E-13,4.655E-07,1.1335E-06,-1.1335E-06
1.09,0.8,-4.673E-07,9.9E-13,4.6964E-07,1.1335E-06,-1.1337E-06
1.085,0.8,-4.6662E-07,5.4E-13,4.7108E-07,1.1339E-06,-1.134E-06
1.08,0.8,-4.7396E-07,1.2000000000000002E-13,4.7982E-07,1.1338E-06,-1.1345000000000001E-06
1.075,0.8,-4.6889999999999997E-07,3.9000000000000005E-13,4.7262E-07,1.1343E-06,-1.1345000000000001E-06
1.07,0.8,-4.7046E-07,-9.6000000000000015E-13,4.7474E-07,1.1354000000000002E-06,-1.1355000000000002E-06
1.065,0.8,-4.7351999999999997E-07,4.6000000000000006E-13,4.756E-07,1.1346000000000001E-06,-1.1353000000000002E-06
1.06,0.8,-4.7836E-07,-1.09E-12,4.801E-07,1.1356000000000002E-06,-1.1353000000000002E-06
1.0550000000000002,0.8,-4.8228E-07,-1.5200000000000002E-12,4.8464E-07,1.1356000000000002E-06,-1.1354000000000002E-06
1.05,0.8,-4.7814E-07,1.64E-12,4.9025999999999994E-07,1.1363E-06,-1.1365E-06
1.0450000000000002,0.8,-4.8406E-07,-9.0000000000000008E-14,4.898E-07,1.1371E-06,-1.1366E-06
1.04,0.8,-4.9016E-07,4E-13,4.9664E-07,1.1372E-06,-1.1372E-06
1.0350000000000001,0.8,-4.9778E-07,7E-13,4.9942E-07,1.1368E-06,-1.1369E-06
1.03,0.8,-4.9696E-07,-5.4E-13,4.9628E-07,1.1373E-06,-1.1374000000000001E-06
1.0250000000000001,0.8,-4.9912E-07,4.5000000000000005E-13,4.9914E-07,1.1369E-06,-1.1381000000000002E-06
1.02,0.8,-5.0422E-07,3.7000000000000004E-13,4.991E-07,1.1379000000000002E-06,-1.1376000000000001E-06
1.0150000000000001,0.8,-5.0336E-07,-4.2000000000000003E-13,5.067E-07,1.1375000000000001E-06,-1.1380000000000002E-06
1.01,0.8,-5.0014E-07,1.22E-12,5.0463999999999994E-07,1.1377000000000001E-06,-1.1382000000000002E-06
1.0050000000000001,0.8,-4.9954E-07,-1.5700000000000002E-12,5.0534E-07,1.1385000000000002E-06,-1.1387000000000002E-06
1,0.8,-4.9753999999999994E-07,-1.1000000000000001E-13,5.021E-07,1.1387000000000002E-06,-1.1392E-06
0.995,0.8,-5.032E-07,4.6000000000000006E-13,5.011E-07,1.1387000000000002E-06,-1.1399E-06
0.9900000000000001,0.8,-5.0658E-07,-2.6300000000000003E-12,5.1178E-07,1.1396E-06,-1.1405000000000001E-06
0.9850000000000001,0.8,-5.0642E-07,5.7E-13,5.1294E-07,1.1394E-06,-1.1401E-06
0.98000000000000009,0.8,-5.1204E-07,-2.8E-13,5.1852E-07,1.1394E-06,-1.1399E-06
0.97500000000000009,0.8,-5.1884E-07,-1.73E-12,5.2232E-07,1.1395E-06,-1.1401E-06
0.97000000000000008,0.8,-5.1828E-07,2.04E-12,5.2188E-07,1.1405000000000001E-06,-1.1406000000000001E-06
0.96500000000000008,0.8,-5.2414E-07,-1.7600000000000002E-12,5.2666E-07,1.1401E-06,-1.1410000000000002E-06
0.96000000000000008,0.8,-5.2752E-07,8.1000000000000008E-13,5.3077999999999994E-07,1.1399E-06,-1.1403000000000001E-06
0.95500000000000007,0.8,-5.2468E-07,2.46E-12,5.2928E-07,1.1403000000000001E-06,-1.1405000000000001E-06
0.95000000000000007,0.8,-5.232E-07,-5.9E-13,5.3024E-07,1.1413000000000002E-06,-1.1414000000000002E-06
0.94500000000000006,0.8,-5.3048E-07,1.6300000000000001E-12,5.3314E-07,1.1409000000000002E-06,-1.1415000000000002E-06
0.94000000000000006,0.8,-5.3112E-07,-1.4E-13,5.3292E-07,1.1415000000000002E-06,-1.1415000000000002E-06
0.935,0.8,-5.2564E-07,-4.2000000000000003E-13,5.3002E-07,1.1412000000000002E-06,-1.1417E-06
