I/V Sweep,id_vgs_P_2
RecordTime,12/05/2023 08:16:43
Device ID,
Count,2
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0.8,1.8822E-09,1.3860599999999999E-08,3.4001000000000005E-10,1.1604000000000002E-06,-1.1746000000000002E-06
1.195,0.8,1.9428E-09,1.2563599999999999E-08,3.5398E-10,1.1638000000000002E-06,-1.1754000000000002E-06
1.19,0.8,1.9393E-09,1.1328399999999999E-08,3.5695000000000004E-10,1.1653E-06,-1.176E-06
1.185,0.8,1.9401E-09,1.0265199999999999E-08,3.6072E-10,1.1677E-06,-1.1775000000000002E-06
1.1800000000000002,0.8,1.9374E-09,9.2742E-09,3.6917000000000003E-10,1.1696000000000002E-06,-1.179E-06
1.175,0.8,1.9506E-09,8.4033E-09,3.796E-10,1.1715000000000001E-06,-1.1795E-06
1.1700000000000002,0.8,1.9525E-09,7.5843E-09,3.8795000000000004E-10,1.1738E-06,-1.1807000000000002E-06
1.165,0.8,1.9572E-09,6.8741E-09,3.9376000000000004E-10,1.1751000000000002E-06,-1.1808000000000002E-06
1.1600000000000001,0.8,1.9557E-09,6.2431E-09,3.9692E-10,1.1772000000000001E-06,-1.1823E-06
1.155,0.8,1.9531E-09,5.6436E-09,4.0806000000000004E-10,1.1777000000000002E-06,-1.1829000000000001E-06
1.1500000000000001,0.8,1.961E-09,5.1307E-09,4.1724000000000005E-10,1.1788E-06,-1.1838000000000002E-06
1.145,0.8,1.9602E-09,4.6787E-09,4.2835E-10,1.1801000000000001E-06,-1.1841E-06
1.1400000000000001,0.8,1.9494E-09,4.2657E-09,4.4013E-10,1.1812E-06,-1.1851E-06
1.135,0.8,1.951E-09,3.8711E-09,4.5714000000000004E-10,1.1817E-06,-1.1853000000000001E-06
1.1300000000000001,0.8,1.938E-09,3.5213E-09,4.7645E-10,1.1828000000000001E-06,-1.1857000000000001E-06
1.125,0.8,1.9316E-09,3.2179E-09,4.9063E-10,1.1841E-06,-1.1866000000000002E-06
1.12,0.8,1.9169E-09,2.9297E-09,5.0464E-10,1.1846E-06,-1.1875E-06
1.115,0.8,1.9097E-09,2.6893E-09,5.2322000000000008E-10,1.1854000000000001E-06,-1.1875E-06
1.11,0.8,1.8931E-09,2.4599E-09,5.5114E-10,1.1876E-06,-1.1887000000000002E-06
1.105,0.8,1.8725E-09,2.2686E-09,5.782E-10,1.1859000000000002E-06,-1.1887000000000002E-06
1.1,0.8,1.8501E-09,2.0772E-09,6.0782000000000008E-10,1.1873E-06,-1.1890000000000002E-06
1.095,0.8,1.8116E-09,1.9151E-09,6.3897E-10,1.1878E-06,-1.1894000000000002E-06
1.09,0.8,1.7886E-09,1.7568E-09,6.7633000000000008E-10,1.188E-06,-1.1897E-06
1.085,0.8,1.7542E-09,1.6277E-09,7.1621000000000005E-10,1.1899E-06,-1.1901E-06
1.08,0.8,1.7182E-09,1.5121E-09,7.612700000000001E-10,1.1893000000000002E-06,-1.1907E-06
1.075,0.8,1.6683E-09,1.4007E-09,8.1093000000000011E-10,1.1902E-06,-1.1912000000000001E-06
1.07,0.8,1.6053E-09,1.3034E-09,8.7543E-10,1.1902E-06,-1.1910000000000001E-06
1.065,0.8,1.5421E-09,1.2166E-09,9.462E-10,1.1903E-06,-1.1919000000000002E-06
1.06,0.8,1.4778E-09,1.1353E-09,1.02114E-09,1.1916000000000002E-06,-1.1927E-06
1.0550000000000002,0.8,1.378E-09,1.0567E-09,1.1045800000000001E-09,1.1908E-06,-1.1924000000000002E-06
1.05,0.8,1.2793E-09,9.913E-10,1.2048E-09,1.1933E-06,-1.1940000000000001E-06
1.0450000000000002,0.8,1.1811E-09,9.2897E-10,1.3143E-09,1.1937000000000001E-06,-1.1933E-06
1.04,0.8,1.0669E-09,8.8042E-10,1.4395E-09,1.1940000000000001E-06,-1.1946000000000002E-06
1.0350000000000001,0.8,9.2981000000000012E-10,8.2739000000000008E-10,1.581E-09,1.1941000000000001E-06,-1.1943000000000002E-06
1.03,0.8,7.7124E-10,7.8357E-10,1.745E-09,1.1944000000000002E-06,-1.1956E-06
1.0250000000000001,0.8,5.933E-10,7.476500000000001E-10,1.9279E-09,1.1943000000000002E-06,-1.1952000000000002E-06
1.02,0.8,3.9587000000000005E-10,7.119000000000001E-10,2.1402E-09,1.1949000000000002E-06,-1.1952000000000002E-06
1.0150000000000001,0.8,1.556E-10,6.7884E-10,2.3686E-09,1.1946000000000002E-06,-1.1959E-06
1.01,0.8,-1.1129000000000001E-10,6.4718E-10,2.6428E-09,1.1958E-06,-1.1959E-06
1.0050000000000001,0.8,-4.0859000000000003E-10,6.18E-10,2.9412E-09,1.1959E-06,-1.1970000000000001E-06
1,0.8,-7.4257000000000005E-10,5.9309000000000007E-10,3.2881E-09,1.1962E-06,-1.1962E-06
0.995,0.8,-1.1355100000000002E-09,5.711E-10,3.6736E-09,1.196E-06,-1.1968000000000001E-06
0.9900000000000001,0.8,-1.5791E-09,5.5572E-10,4.1278E-09,1.1970000000000001E-06,-1.1977000000000002E-06
0.9850000000000001,0.8,-2.0829E-09,5.3794E-10,4.6314E-09,1.1973000000000002E-06,-1.1976000000000002E-06
0.98000000000000009,0.8,-2.6566E-09,5.1542000000000007E-10,5.2152E-09,1.1974000000000002E-06,-1.1973000000000002E-06
0.97500000000000009,0.8,-3.306E-09,4.9918E-10,5.8574E-09,1.1967000000000001E-06,-1.1970000000000001E-06
0.97000000000000008,0.8,-4.0445E-09,4.8576000000000009E-10,6.6066E-09,1.1974000000000002E-06,-1.1972000000000002E-06
0.96500000000000008,0.8,-4.8781E-09,4.7587E-10,7.4366E-09,1.1973000000000002E-06,-1.1979000000000002E-06
0.96000000000000008,0.8,-5.8451E-09,4.6446E-10,8.4161E-09,1.1979000000000002E-06,-1.1981000000000002E-06
0.95500000000000007,0.8,-6.913E-09,4.548E-10,9.4909E-09,1.1989E-06,-1.1988E-06
0.95000000000000007,0.8,-8.1729E-09,4.4536000000000005E-10,1.0745E-08,1.1992E-06,-1.1988E-06
0.94500000000000006,0.8,-9.5862E-09,4.3158E-10,1.2152999999999998E-08,1.2000000000000002E-06,-1.1992E-06
0.94000000000000006,0.8,-1.11832E-08,4.2539E-10,1.3763199999999998E-08,1.2002000000000002E-06,-1.1996000000000001E-06
0.935,0.8,-1.2970999999999999E-08,4.1476E-10,1.55706E-08,1.1998000000000001E-06,-1.2000000000000002E-06
0.93,0.8,-1.5038599999999998E-08,4.1237000000000005E-10,1.7668199999999997E-08,1.2006000000000002E-06,-1.2005000000000002E-06
0.925,0.8,-1.7376399999999998E-08,3.9854000000000005E-10,1.9993399999999998E-08,1.2003000000000002E-06,-1.2005000000000002E-06
0.92,0.8,-2.0089399999999997E-08,3.9765E-10,2.2692599999999998E-08,1.2008000000000002E-06,-1.2008000000000002E-06
0.915,0.8,-2.3104399999999998E-08,3.8660000000000004E-10,2.5752799999999998E-08,1.2003000000000002E-06,-1.2006000000000002E-06
0.91,0.8,-2.6620399999999998E-08,3.8234000000000005E-10,2.9234599999999998E-08,1.2006000000000002E-06,-1.2014E-06
