|Vgs|	Gm_|Vds|=0.01V	Gm_|Vds|=0.02V	Gm_|Vds|=0.03V	Gm_|Vds|=0.04V	Gm_|Vds|=0.05V	Gm_|Vds|=0.06V	Gm_|Vds|=0.07V	Gm_|Vds|=0.08V	Gm_|Vds|=0.09V	Gm_|Vds|=0.1V
-0.3	-8.68000000000018e-07	5.60000000000012e-07	7.48000000000017e-07	5.28000000000017e-07	2.51999999999995e-07	-4.59600000000008e-06	7.08000000000015e-06	-2.48400000000005e-06	-8.5200000000001e-07	1.16160000000002e-05
-0.295	-6.74333333333335e-07	4.12000000000002e-07	5.83666666666667e-07	4.61000000000006e-07	9.13333333333301e-08	-4.155e-06	3.34766666666669e-06	-1.17700000000001e-06	-4.35999999999998e-07	8.5516666666667e-06
-0.29	-3.94400000000001e-07	1.31000000000001e-07	8.50000000000006e-08	2.15800000000003e-07	-3.62200000000001e-07	-2.5682e-06	1.87680000000001e-06	-4.75600000000006e-07	-3.83399999999999e-07	6.29800000000002e-06
-0.285	-2.11999999999997e-07	-4.38000000000006e-08	-3.59400000000002e-07	7.19999999999957e-09	-2.388e-07	-1.88999999999999e-06	5.46999999999981e-07	-9.41999999999944e-08	-3.15999999999997e-07	4.21439999999997e-06
-0.28	-1.02399999999999e-07	5.62000000000007e-08	-6.306e-07	3.799999999999e-09	-2.24799999999999e-07	-1.0948e-06	-1.79200000000001e-07	-2.31599999999999e-07	-1.60999999999999e-07	2.696e-06
-0.275	-1.89999999999998e-08	8.12000000000004e-08	-6.36399999999999e-07	1.99999999999802e-09	-1.42e-07	-3.41600000000002e-07	1.38200000000001e-07	-8.69599999999998e-07	-9.59999999999997e-08	2.1702e-06
-0.27	1.61999999999998e-08	1.50000000000006e-08	-5.00599999999999e-07	-6.38000000000014e-08	8.77999999999989e-08	1.36399999999999e-07	7.46800000000001e-07	-1.2144e-06	3.25999999999988e-08	1.8722e-06
-0.265	-3.96000000000004e-08	8.00000000000378e-10	-3.15599999999999e-07	9.97999999999998e-08	2.15799999999999e-07	3.038e-07	9.84200000000001e-07	-1.2064e-06	1.16199999999999e-07	1.6576e-06
-0.26	-1.09600000000001e-07	-1.23e-07	-2.52199999999999e-07	2.38800000000001e-07	2.44999999999998e-07	3.53e-07	8.53800000000001e-07	-1.0674e-06	7.48e-08	1.66e-06
-0.255	-7.30000000000007e-08	-3.526e-07	-2.528e-07	5.40000000000083e-09	3.73999999999979e-08	5.478e-07	6.52199999999999e-07	-3.37200000000001e-07	-2.54600000000001e-07	1.4682e-06
-0.25	-8.19999999999977e-09	-4.61399999999999e-07	-2.51e-07	-3.222e-07	-1.56600000000001e-07	6.28000000000001e-07	3.93199999999999e-07	4.25199999999999e-07	-9.57999999999999e-07	1.1162e-06
-0.245	-2.1999999999999e-08	-3.926e-07	-1.33999999999999e-07	-3.742e-07	-7.87999999999993e-08	4.046e-07	-2.29e-07	6.166e-07	-1.468e-06	8.88799999999999e-07
-0.24	-8.23999999999986e-08	-6.24000000000003e-08	1.488e-07	-3.50000000000001e-07	-3.74199999999998e-07	2.996e-07	-6.974e-07	7.11400000000001e-07	-1.347e-06	7.55399999999997e-07
-0.235	-5.73999999999997e-08	2.99800000000004e-07	4.66200000000002e-07	-3.39e-07	-6.922e-07	2.77199999999996e-07	-6.68000000000001e-07	5.75399999999999e-07	-1.1298e-06	5.854e-07
-0.23	3.91999999999997e-08	4.01400000000004e-07	6.98800000000002e-07	-2.146e-07	-3.484e-07	1.33999999999996e-07	-7.00200000000001e-07	3.73999999999986e-08	-8.88999999999997e-07	4.00000000000002e-07
-0.225	6.39999999999992e-08	3.77400000000004e-07	7.19000000000001e-07	-9.45999999999981e-08	-6.32000000000011e-08	2.13599999999995e-07	-6.438e-07	-1.14200000000003e-07	-1.636e-07	3.32000000000001e-07
-0.22	5.91999999999985e-08	3.31800000000004e-07	4.67400000000001e-07	-1.16599999999998e-07	-2.80000000000025e-08	1.87199999999994e-07	-3.594e-07	-1.18400000000003e-07	3.916e-07	5.20600000000001e-07
-0.215	7.89999999999982e-08	2.54200000000004e-07	1.20800000000001e-07	-5.81999999999993e-08	3.37399999999996e-07	-2.22800000000005e-07	-2.73599999999999e-07	-3.56800000000003e-07	1.924e-07	7.64800000000002e-07
-0.21	-8.40000000000053e-09	1.358e-07	-4.92000000000007e-08	3.99999999999922e-09	4.548e-07	-2.638e-07	-2.32999999999998e-07	-1.43400000000002e-07	-2.75800000000001e-07	7.872e-07
-0.205	-2.472e-07	1.898e-07	-2.76599999999999e-07	-2.84000000000004e-08	7.70000000000004e-08	1.12799999999999e-07	-1.67999999999979e-08	1.54199999999999e-07	-4.99e-07	9.372e-07
-0.2	-4.22e-07	3.17599999999999e-07	-4.99599999999998e-07	1.68999999999999e-07	-1.368e-07	2.42799999999998e-07	-1.35599999999998e-07	1.758e-07	-6.57399999999999e-07	1.2126e-06
-0.195	-4.028e-07	2.25199999999999e-07	-4.40799999999999e-07	2.66199999999999e-07	-1.88400000000001e-07	2.84999999999999e-07	-3.98399999999999e-07	2.524e-07	-6.09799999999999e-07	1.0808e-06
-0.19	-3.17199999999999e-07	1.174e-07	-2.646e-07	1.24e-07	-1.63e-07	6.6e-07	-1.562e-07	1.282e-07	5.00000000000128e-09	7.912e-07
-0.185	-1.744e-07	9.87999999999997e-08	-1.38000000000008e-08	1.232e-07	8.09999999999986e-08	1.156e-06	2.38000000000004e-08	-5.79999999999917e-09	6.872e-07	7.322e-07
-0.18	5.42000000000005e-08	-1.478e-07	1.95399999999999e-07	-1.034e-07	4.30599999999999e-07	1.1326e-06	-1.86e-08	7.48e-08	1.1344e-06	6.428e-07
-0.175	2.48e-07	-4.266e-07	1.22799999999999e-07	-4.36799999999999e-07	7.072e-07	3.92599999999999e-07	2.42799999999999e-07	-2.53200000000001e-07	1.0628e-06	5.23399999999999e-07
-0.17	2.38199999999999e-07	-4.23999999999999e-07	3.69999999999996e-08	-3.358e-07	6.894e-07	-1.478e-07	5.87199999999999e-07	-6.66200000000001e-07	2.83599999999998e-07	5.76799999999998e-07
-0.165	1.01799999999999e-07	-4.86e-07	6.40000000000005e-08	-2.518e-07	3.46e-07	-2.17400000000001e-07	4.19e-07	-4.732e-07	-2.38600000000001e-07	6.76199999999998e-07
-0.16	3.57999999999995e-08	-4.418e-07	-2.94599999999998e-07	-1.19200000000001e-07	7.6600000000001e-08	-4.96800000000001e-07	3.23999999999997e-08	-5.26199999999999e-07	-1.67800000000001e-07	7.13399999999998e-07
-0.155	1.63999999999993e-08	-6.45999999999997e-08	-5.764e-07	3.20999999999998e-07	-2.466e-07	-6.56e-07	-4.16000000000016e-08	-1.0198e-06	-4.71199999999998e-07	6.37399999999998e-07
-0.15	-5.58000000000002e-08	1.386e-07	-2.54800000000002e-07	4.75799999999999e-07	-8.42e-07	-3.46999999999999e-07	-1.02400000000002e-07	-8.28999999999999e-07	-5.76999999999997e-07	5.49799999999999e-07
-0.145	-1.35199999999999e-07	1.816e-07	-4.50000000000002e-08	3.42600000000001e-07	-1.2014e-06	-3.67799999999998e-07	-2.35000000000002e-07	-1.35e-07	-3.45999999999979e-08	6.534e-07
-0.14	-1.102e-07	2.592e-07	4.60000000000095e-09	2.63000000000001e-07	-1.3046e-06	-8.41999999999998e-07	-6.40000000000202e-09	3.15600000000001e-07	-1.56599999999999e-07	8.42199999999999e-07
-0.135	-1.384e-07	1.538e-07	3.566e-07	8.56000000000007e-08	-1.2482e-06	-1.1582e-06	5.44799999999998e-07	8.288e-07	-5.712e-07	9.69399999999998e-07
-0.13	-1.76199999999999e-07	2.19999999999995e-08	5.912e-07	1.32600000000002e-07	-7.85599999999998e-07	-1.367e-06	7.01999999999999e-07	1.3724e-06	-3.01200000000001e-07	9.40399999999998e-07
-0.125	-6.91999999999991e-08	2.59999999999993e-08	3.69200000000001e-07	3.78200000000002e-07	-2.22199999999999e-07	-1.5378e-06	7.41800000000001e-07	1.2008e-06	1.044e-07	6.82399999999998e-07
-0.12	4.76000000000004e-08	-3.60000000000034e-09	1.58400000000001e-07	3.992e-07	1.14000000000001e-07	-1.2948e-06	8.04400000000001e-07	6.568e-07	3.446e-07	3.56799999999998e-07
-0.115	8.12000000000001e-08	3.17999999999995e-08	3.09999999999991e-08	3.13199999999999e-07	4.56600000000001e-07	-6.26200000000001e-07	5.03400000000001e-07	3.906e-07	7.22199999999999e-07	1.61399999999999e-07
-0.11	1.122e-07	7.35999999999995e-08	-1.14e-07	3.04199999999999e-07	5.22000000000001e-07	-4.59999999999988e-08	3.27000000000003e-07	8.82000000000018e-08	7.44e-07	2.09600000000003e-07
-0.105	3.9999999999999e-08	-4.16000000000003e-08	-1.28199999999999e-07	1.77599999999999e-07	1.65000000000001e-07	3.32000000000002e-07	2.74400000000002e-07	-7.4199999999998e-08	2.15600000000002e-07	6.10600000000003e-07
-0.1	-1.74800000000001e-07	1.06000000000001e-08	-1.466e-07	-2.10600000000001e-07	1.21200000000001e-07	4.77400000000002e-07	-1.09999999999997e-08	2.60600000000002e-07	-2.258e-07	1.095e-06
-0.095	-2.746e-07	2.062e-07	-2.496e-07	-3.78199999999999e-07	3.61200000000001e-07	3.45200000000003e-07	-2.678e-07	4.32600000000001e-07	-4.41600000000001e-07	1.228e-06
-0.09	-2.584e-07	2.428e-07	-1.77e-07	-1.06799999999997e-07	4.04800000000001e-07	2.75600000000002e-07	-5.01999999999999e-07	1.208e-07	-6.36999999999999e-07	1.0552e-06
-0.085	-2.404e-07	1.866e-07	6.2599999999999e-08	1.25400000000001e-07	2.368e-07	2.25999999999999e-07	-8.43e-07	-1.70200000000002e-07	-4.63199999999998e-07	6.47600000000001e-07
-0.08	-1.04199999999999e-07	-8.79999999999936e-09	5.42e-08	2.92000000000004e-08	6.51999999999987e-08	1.73599999999999e-07	-8.63999999999997e-07	-2.97200000000002e-07	6.29999999999983e-08	1.718e-07
-0.075	1.62600000000001e-07	-3.38399999999999e-07	1.592e-07	4.42000000000004e-08	-3.80000000000018e-08	4.146e-07	-5.67999999999997e-07	-1.97400000000001e-07	1.83999999999998e-07	6.08000000000001e-08
-0.07	3.078e-07	-4.282e-07	4.382e-07	1.22e-07	-2.50200000000001e-07	6.79e-07	-1.75199999999998e-07	9.32000000000007e-08	8.5999999999999e-08	2.44600000000001e-07
-0.0649999999999999	2.6e-07	-3.05999999999999e-07	2.47000000000001e-07	5.31999999999989e-08	-5.078e-07	7.33799999999999e-07	4.35000000000001e-07	2.60600000000002e-07	3.37599999999998e-07	2.92799999999999e-07
-0.0599999999999999	1.282e-07	-2.39199999999999e-07	-3.1799999999999e-08	-1.316e-07	-4.548e-07	5.65000000000001e-07	9.35800000000001e-07	3.67200000000002e-07	5.22799999999998e-07	3.73999999999998e-07
-0.0549999999999999	-6.20000000000001e-08	-1.352e-07	3.59999999999876e-09	-4.39799999999999e-07	-2.32599999999999e-07	-4.3999999999998e-08	1.0752e-06	7.12800000000002e-07	4.55e-07	7.80599999999998e-07
-0.0499999999999999	-1.73199999999999e-07	-1.72000000000013e-08	-8.88000000000023e-08	-5.88000000000004e-07	1.14000000000036e-08	-5.96400000000003e-07	1.102e-06	8.81600000000005e-07	5.00199999999999e-07	9.36600000000002e-07
-0.0449999999999999	-1.27799999999998e-07	-2.20000000000007e-09	-1.39000000000001e-07	-4.59600000000004e-07	4.34800000000007e-07	-3.90000000000002e-07	9.19400000000001e-07	6.05800000000003e-07	5.78400000000001e-07	7.25800000000004e-07
-0.0399999999999999	-1.04199999999998e-07	-7.78000000000005e-08	1.42999999999998e-07	-3.60200000000004e-07	7.06400000000005e-07	8.89999999999987e-08	4.882e-07	3.37600000000002e-07	3.78200000000001e-07	6.74000000000005e-07
-0.035	9.00000000000222e-09	-1.50800000000001e-07	3.93199999999999e-07	-6.04200000000004e-07	6.13800000000005e-07	3.98399999999998e-07	2.71599999999999e-07	1.68400000000001e-07	-5.03999999999994e-08	7.69000000000005e-07
-0.03	2.20000000000002e-07	1.13999999999989e-08	5.63199999999999e-07	-6.90000000000005e-07	4.15000000000006e-07	8.82799999999996e-07	2.73599999999999e-07	-1.85399999999998e-07	-2.194e-07	7.57600000000006e-07
-0.025	2.04200000000001e-07	3.25e-07	7.47e-07	-4.6e-07	1.84800000000005e-07	1.1598e-06	-4.62000000000005e-08	-6.92800000000001e-07	-7.37999999999995e-08	7.04000000000002e-07
-0.02	6.56e-08	3.40799999999999e-07	6.852e-07	-6.08199999999999e-07	-1.63199999999999e-07	6.21e-07	-4.166e-07	-6.958e-07	1.78799999999999e-07	7.54399999999999e-07
-0.015	8.18e-08	2.024e-07	4.23800000000001e-07	-1.0992e-06	-2.86199999999998e-07	-4.69999999999992e-08	-4.52599999999999e-07	-2.20799999999998e-07	2.90799999999998e-07	8.286e-07
-0.01	1.37800000000001e-07	2.728e-07	2.718e-07	-1.0916e-06	-1.04999999999999e-07	-5.87999999999989e-08	-5.77199999999999e-07	1.75800000000001e-07	1.77999999999998e-07	9.802e-07
-0.005	1.09600000000001e-07	2.642e-07	1.308e-07	-6.68599999999997e-07	-7.60000000000014e-09	5.68000000000008e-08	-8.56599999999999e-07	3.778e-07	6.43999999999999e-08	9.54399999999999e-07
-0	3.62000000000003e-08	3.96000000000004e-08	-5.87999999999999e-08	-3.34599999999998e-07	-1.674e-07	8.14000000000011e-08	-8.608e-07	5.67600000000001e-07	-4.04000000000002e-08	6.324e-07
0.005	-5.58000000000002e-08	-8.87999999999995e-08	-1.55600000000001e-07	-2.49999999999997e-08	-4.17e-07	1.85800000000001e-07	-5.40600000000002e-07	6.33e-07	-2.76e-07	3.27e-07
0.01	-1.044e-07	-5.43999999999997e-08	-1.12800000000001e-07	1.71799999999999e-07	-6.236e-07	2.29999999999996e-08	-2.54400000000001e-07	5.972e-07	-4.31999999999999e-07	7.79999999999995e-08
0.015	-2.074e-07	-7.62e-08	-1.636e-07	2.84999999999998e-07	-5.644e-07	-1.26599999999999e-07	-1.04400000000001e-07	7.65800000000001e-07	-3.488e-07	-1.106e-07
0.02	-3.16400000000001e-07	-1.16400000000001e-07	-2.86199999999999e-07	3.31399999999998e-07	-9.37999999999993e-08	2.06200000000001e-07	1.02199999999999e-07	7.05600000000001e-07	-3.08800000000001e-07	-1.28000000000007e-08
0.025	-2.30800000000001e-07	-4.22000000000007e-08	-2.02799999999999e-07	1.13399999999998e-07	-7.53999999999997e-08	5.04999999999998e-07	3.946e-07	3.89000000000001e-07	-2.916e-07	3.37799999999998e-07
0.03	-9.46000000000003e-08	1.218e-07	-9.55999999999993e-08	-2.29e-07	-5.018e-07	5.98999999999998e-07	5.18200000000002e-07	1.71400000000001e-07	-8.75999999999997e-08	6.00799999999999e-07
0.035	-2.64e-08	1.064e-07	-1.29e-07	-2.27999999999999e-07	-2.92399999999999e-07	9.49799999999998e-07	3.91000000000001e-07	-2.49600000000001e-07	3.63199999999999e-07	8.042e-07
0.04	1.58000000000002e-08	-1.572e-07	-2.522e-07	8.24000000000013e-08	1.61200000000002e-07	1.1848e-06	2.83600000000001e-07	-7.81600000000002e-07	8.228e-07	9.21e-07
0.045	4.00000000000032e-09	-2.212e-07	-4.812e-07	1.02200000000001e-07	1.448e-07	7.39999999999999e-07	4.716e-07	-6.38800000000002e-07	1.0486e-06	8.29399999999999e-07
0.05	5.4000000000003e-09	-1.26599999999999e-07	-7.39000000000001e-07	-2.25599999999998e-07	3.64599999999999e-07	-1.99999999999995e-08	7.52199999999999e-07	-1.76400000000003e-07	9.03000000000001e-07	8.398e-07
0.055	1.06000000000001e-08	-2.722e-07	-7.646e-07	-1.09e-07	7.93799999999999e-07	-2.45399999999999e-07	5.19199999999999e-07	-1.87800000000002e-07	5.654e-07	9.658e-07
0.0600000000000001	3.00000000000001e-08	-3.33e-07	-6.024e-07	1.75399999999999e-07	4.96599999999998e-07	-6.61999999999977e-08	-4.36000000000004e-08	-1.092e-07	4.05800000000001e-07	8.50999999999999e-07
0.0650000000000001	2.214e-07	-2.99999999999996e-08	-3.3e-07	-2.82600000000001e-07	-2.68200000000002e-07	-2.98799999999999e-07	-2.02199999999999e-07	1.89e-07	2.80000000000001e-07	5.69399999999998e-07
0.0700000000000001	4.214e-07	1.066e-07	1.27600000000001e-07	-5.55400000000001e-07	-7.486e-07	-6.59600000000001e-07	-1.13399999999999e-07	5.8800000000001e-08	3.14799999999999e-07	2.79399999999999e-07
0.0750000000000001	3.446e-07	1.02600000000001e-07	4.66200000000002e-07	-3.92000000000003e-08	-7.88599999999999e-07	-2.68200000000003e-07	-2.92599999999999e-07	-2.23399999999999e-07	6.97000000000001e-07	-2.62000000000006e-08
0.0800000000000001	2.138e-07	2.50800000000001e-07	4.892e-07	1.23600000000001e-07	-6.116e-07	1.82e-07	-3.362e-07	-1.92600000000001e-07	6.95600000000001e-07	-1.03399999999999e-07
0.0850000000000001	2.26999999999999e-07	3.01600000000002e-07	5.172e-07	-2.21399999999997e-07	-1.818e-07	-3.48000000000004e-08	2.05999999999993e-08	-2.30200000000001e-07	7.7200000000001e-08	2.53600000000001e-07
0.09	1.61199999999998e-07	2.86200000000002e-07	6.76600000000001e-07	-8.57999999999958e-08	3.012e-07	-1.20000000000041e-09	9.5199999999998e-08	-2.79400000000001e-07	-2.86999999999998e-07	7.11000000000001e-07
0.095	-1.38000000000018e-08	3.56200000000002e-07	6.11999999999999e-07	3.57000000000003e-07	4.47399999999998e-07	4.956e-07	-1.97600000000001e-07	-5.0000000000026e-09	-3.45199999999997e-07	8.93200000000002e-07
0.1	-5.50000000000019e-08	3.69600000000001e-07	3.89999999999998e-07	4.114e-07	3.16199999999998e-07	6.50400000000002e-07	-1.80000000000002e-07	-1.92000000000019e-08	-5.844e-07	9.57000000000003e-07
0.105	1.40799999999999e-07	3.38800000000001e-07	3.53199999999999e-07	2.066e-07	2.678e-07	5.282e-07	1.888e-07	-2.082e-07	-6.502e-07	7.98400000000002e-07
0.11	2.466e-07	3.368e-07	1.81999999999999e-07	1.97800000000001e-07	4.82e-07	4.55199999999999e-07	4.348e-07	1.51399999999999e-07	-4.43999999999999e-07	2.704e-07
0.115	1.136e-07	1.54999999999999e-07	-3.61800000000001e-07	3.04400000000001e-07	7.69199999999999e-07	2.828e-07	4.036e-07	3.87799999999999e-07	-1.72e-07	1.586e-07
0.12	6.71999999999999e-08	-1.032e-07	-6.17e-07	2.11400000000001e-07	8.64399999999999e-07	-1.538e-07	1.11999999999999e-07	2.3400000000001e-08	1.78999999999998e-07	5.804e-07
0.125	9.54000000000001e-08	-1.93399999999999e-07	-2.97599999999999e-07	3.13000000000001e-07	9.044e-07	-6.026e-07	-1.956e-07	-9.37999999999983e-08	2.30799999999999e-07	7.924e-07
