vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-6.2574e-07	-7.28e-12	6.6318e-07	3.7703e-06	-3.6945e-06	-1.3364e-06	-9.85e-12	1.3314e-06	3.6627e-06	-3.5885e-06	-1.4746e-06	3.66e-12	1.4122e-06	3.6681e-06	-3.5895e-06	-1.636e-06	-1.171e-11	1.5287e-06	3.6593e-06	-3.5857e-06	-1.6432e-06	7.88e-12	1.5813e-06	3.6664e-06	-3.5928e-06	-1.7592e-06	1.96e-12	1.6957e-06	3.6605e-06	-3.5829e-06	-1.7776e-06	1.178e-11	1.7466e-06	3.6543e-06	-3.5838e-06
0.005	-7.7132e-07	2.02e-12	7.1314e-07	3.7647e-06	-3.6944e-06	-1.3777e-06	5.6e-12	1.3106e-06	3.6639e-06	-3.5918e-06	-1.4643e-06	-1.639e-11	1.399e-06	3.6599e-06	-3.5864e-06	-1.5933e-06	5.28e-12	1.4989e-06	3.6621e-06	-3.5876e-06	-1.6192e-06	1.36e-12	1.5401e-06	3.6674e-06	-3.5887e-06	-1.7374e-06	-1.826e-11	1.6527e-06	3.6615e-06	-3.5878e-06	-1.8099e-06	1.798e-11	1.7361e-06	3.6526e-06	-3.5835e-06
0.01	-7.7954e-07	1.62e-12	7.0412e-07	3.7635e-06	-3.6918e-06	-1.3725e-06	1.895e-11	1.2909e-06	3.6605e-06	-3.5946e-06	-1.4763e-06	-1.27e-12	1.4283e-06	3.6632e-06	-3.5922e-06	-1.5597e-06	9.96e-12	1.5176e-06	3.656e-06	-3.5866e-06	-1.6031e-06	9.41e-12	1.5319e-06	3.6585e-06	-3.588e-06	-1.7338e-06	-9.25e-12	1.6532e-06	3.661e-06	-3.5885e-06	-1.7679e-06	-8.24e-12	1.6921e-06	3.6528e-06	-3.5834e-06
0.015	-7.686e-07	1.185e-11	7.0766e-07	3.7557e-06	-3.6859e-06	-1.3402e-06	1.081e-11	1.2676e-06	3.6566e-06	-3.595e-06	-1.4618e-06	-7.84e-12	1.3972e-06	3.6599e-06	-3.5881e-06	-1.573e-06	-2.5e-12	1.5009e-06	3.6571e-06	-3.5845e-06	-1.5823e-06	5.98e-12	1.532e-06	3.6578e-06	-3.59e-06	-1.7132e-06	-1.58e-12	1.6549e-06	3.6605e-06	-3.5912e-06	-1.7268e-06	-5.44e-12	1.6837e-06	3.6477e-06	-3.5791e-06
0.02	-7.6898e-07	1.411e-11	7.0698e-07	3.7526e-06	-3.6813e-06	-1.3126e-06	2.02e-12	1.2491e-06	3.6621e-06	-3.5919e-06	-1.4724e-06	-4.41e-12	1.4018e-06	3.6594e-06	-3.5925e-06	-1.5705e-06	-4.82e-12	1.4981e-06	3.6516e-06	-3.587e-06	-1.5698e-06	1.018e-11	1.5132e-06	3.655e-06	-3.5898e-06	-1.7033e-06	-3.87e-12	1.6474e-06	3.661e-06	-3.5943e-06	-1.721e-06	2.838e-11	1.6606e-06	3.6493e-06	-3.5863e-06
0.025	-7.8202e-07	-4.21e-12	7.1644e-07	3.7465e-06	-3.679e-06	-1.3136e-06	6.99e-12	1.2358e-06	3.6594e-06	-3.5899e-06	-1.4715e-06	-5.76e-12	1.4056e-06	3.6587e-06	-3.5937e-06	-1.5567e-06	1.864e-11	1.5016e-06	3.6507e-06	-3.5866e-06	-1.5741e-06	9.86e-12	1.5046e-06	3.6566e-06	-3.5869e-06	-1.7003e-06	-1.389e-11	1.6469e-06	3.6546e-06	-3.5909e-06	-1.7271e-06	4.14e-12	1.6588e-06	3.6519e-06	-3.5817e-06
0.03	-7.7936e-07	-5.63e-12	7.079e-07	3.7417e-06	-3.6764e-06	-1.3074e-06	1.17e-11	1.2462e-06	3.6577e-06	-3.5912e-06	-1.4739e-06	-6.01e-12	1.41e-06	3.6547e-06	-3.5842e-06	-1.5586e-06	7.67e-12	1.5155e-06	3.6473e-06	-3.5839e-06	-1.5658e-06	-1.225e-11	1.5062e-06	3.6556e-06	-3.5894e-06	-1.6964e-06	-7.33e-12	1.6442e-06	3.6573e-06	-3.5877e-06	-1.7009e-06	-2.025e-11	1.6474e-06	3.6525e-06	-3.586e-06
0.035	-7.7246e-07	4.51e-12	7.1904e-07	3.7365e-06	-3.6715e-06	-1.2918e-06	5.77e-12	1.2369e-06	3.6559e-06	-3.5902e-06	-1.44e-06	5.24e-12	1.3937e-06	3.6496e-06	-3.5883e-06	-1.5555e-06	-1.53e-12	1.4945e-06	3.6495e-06	-3.586e-06	-1.5497e-06	1.163e-11	1.487e-06	3.6487e-06	-3.5847e-06	-1.6799e-06	6.9e-13	1.6432e-06	3.6553e-06	-3.5931e-06	-1.6949e-06	3.745e-11	1.6298e-06	3.6471e-06	-3.5863e-06
0.04	-7.7332e-07	-4.68e-12	7.1668e-07	3.7335e-06	-3.6692e-06	-1.2763e-06	7e-12	1.2143e-06	3.6541e-06	-3.59e-06	-1.4444e-06	-9.15e-12	1.4043e-06	3.6523e-06	-3.5892e-06	-1.5528e-06	1.228e-11	1.4936e-06	3.6496e-06	-3.5828e-06	-1.5488e-06	3.53e-12	1.4876e-06	3.6545e-06	-3.5864e-06	-1.7034e-06	-1.492e-11	1.6548e-06	3.6565e-06	-3.5934e-06	-1.712e-06	1.305e-11	1.6656e-06	3.6479e-06	-3.5858e-06
0.045	-7.698e-07	-2.663e-11	7.2738e-07	3.734e-06	-3.6699e-06	-1.2578e-06	4.51e-12	1.212e-06	3.6526e-06	-3.5897e-06	-1.4359e-06	-1.182e-11	1.3699e-06	3.6526e-06	-3.5909e-06	-1.5362e-06	1.626e-11	1.4665e-06	3.6476e-06	-3.5855e-06	-1.5341e-06	-6.18e-12	1.4784e-06	3.6514e-06	-3.5876e-06	-1.6595e-06	-1.123e-11	1.6353e-06	3.6541e-06	-3.5941e-06	-1.7007e-06	-2.022e-11	1.6277e-06	3.6458e-06	-3.5823e-06
