I/V Sweep,id_vgs_P
RecordTime,04/26/2024 10:14:43
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0,-7.1294E-07,6.6E-13,7.2807999999999994E-07,3.7820000000000004E-06,-3.7032000000000004E-06
1.195,0,-8.4346E-07,-2.8630000000000002E-11,7.7678E-07,3.7728000000000005E-06,-3.6990000000000005E-06
1.19,0,-8.7212E-07,-5.9700000000000006E-12,8.0888E-07,3.7582000000000003E-06,-3.6874000000000005E-06
1.185,0,-8.9312E-07,2.1880000000000003E-11,8.2222E-07,3.7586000000000003E-06,-3.6823000000000003E-06
1.1800000000000002,0,-9.0198E-07,7.61E-12,8.291E-07,3.7523000000000005E-06,-3.678E-06
1.175,0,-9.1117999999999993E-07,-2.7800000000000003E-12,8.429E-07,3.7446000000000005E-06,-3.6724E-06
1.1700000000000002,0,-9.1876E-07,1.4300000000000002E-12,8.5378E-07,3.7387000000000003E-06,-3.6675000000000005E-06
1.165,0,-9.5042E-07,-1.0300000000000001E-11,8.8368E-07,3.7349000000000004E-06,-3.6644000000000004E-06
1.1600000000000001,0,-9.7313999999999988E-07,-7.02E-12,8.9518E-07,3.7369E-06,-3.6661000000000004E-06
1.155,0,-1.00494E-06,-8.72E-12,9.3114E-07,3.7316000000000004E-06,-3.6603000000000003E-06
1.1500000000000001,0,-1.01494E-06,6.6300000000000006E-12,9.4598E-07,3.7273000000000003E-06,-3.6531000000000002E-06
1.145,0,-1.01876E-06,2.991E-11,9.6239999999999988E-07,3.7221000000000003E-06,-3.6527E-06
1.1400000000000001,0,-1.03726E-06,-1.6200000000000002E-12,9.671E-07,3.7218000000000005E-06,-3.6465000000000006E-06
1.135,0,-1.06984E-06,-2.717E-11,9.9794E-07,3.7170000000000006E-06,-3.6427000000000003E-06
1.1300000000000001,0,-1.07096E-06,-6.4700000000000005E-12,1.00346E-06,3.7161000000000003E-06,-3.6370000000000005E-06
1.125,0,-1.08834E-06,4.08E-12,9.9262E-07,3.7110000000000006E-06,-3.6371000000000003E-06
1.12,0,-1.1078E-06,1.3460000000000001E-11,1.0323E-06,3.7186000000000003E-06,-3.6442E-06
1.115,0,-1.12974E-06,3.5700000000000003E-12,1.07138E-06,3.7115000000000004E-06,-3.6378000000000006E-06
