vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
1.2	-7.1294e-07	6.6e-13	7.2808e-07	3.782e-06	-3.7032e-06	-1.398e-06	2.369e-11	1.3774e-06	3.6338e-06	-3.5971e-06	-1.3059e-06	-3.698e-11	1.2728e-06	3.6195e-06	-3.5922e-06	-1.2456e-06	1.284e-11	1.2292e-06	3.6064e-06	-3.5956e-06	-1.1915e-06	7.37e-12	1.2017e-06	3.5929e-06	-3.5937e-06	-1.053e-06	1.489e-11	1.0675e-06	3.5901e-06	-3.5952e-06	-2.6072e-09	6.85e-12	2.70546e-08	3.5847e-06	-3.598e-06
1.195	-8.4346e-07	-2.863e-11	7.7678e-07	3.7728e-06	-3.699e-06	-1.4368e-06	2.401e-11	1.3886e-06	3.6328e-06	-3.5941e-06	-1.3285e-06	3.22e-12	1.3006e-06	3.613e-06	-3.5894e-06	-1.2423e-06	-3.55e-12	1.2444e-06	3.6056e-06	-3.5909e-06	-1.2114e-06	1.34e-11	1.1841e-06	3.6001e-06	-3.5926e-06	-1.0279e-06	-1.295e-11	1.0588e-06	3.5944e-06	-3.6038e-06	-8.4669e-09	1.23e-12	2.70382e-08	3.5841e-06	-3.6026e-06
1.19	-8.7212e-07	-5.97e-12	8.0888e-07	3.7582e-06	-3.6874e-06	-1.4449e-06	5.79e-12	1.4058e-06	3.6365e-06	-3.5916e-06	-1.3216e-06	2.145e-11	1.3009e-06	3.6192e-06	-3.59e-06	-1.2465e-06	1.77e-12	1.2489e-06	3.6059e-06	-3.59e-06	-1.19e-06	-7.63e-12	1.1894e-06	3.592e-06	-3.5875e-06	-1.0425e-06	-2.324e-11	1.0701e-06	3.5891e-06	-3.5965e-06	-8.5931e-09	-1.31e-12	2.72482e-08	3.5836e-06	-3.5961e-06
1.185	-8.9312e-07	2.188e-11	8.2222e-07	3.7586e-06	-3.6823e-06	-1.4381e-06	-8.5e-12	1.3965e-06	3.6357e-06	-3.5878e-06	-1.3356e-06	1.768e-11	1.3167e-06	3.6119e-06	-3.587e-06	-1.274e-06	9.2e-12	1.258e-06	3.6052e-06	-3.5925e-06	-1.2051e-06	1.84e-12	1.2057e-06	3.5861e-06	-3.59e-06	-1.0616e-06	-1.167e-11	1.0512e-06	3.5944e-06	-3.6027e-06	-8.5135e-09	1.92e-11	2.72538e-08	3.5772e-06	-3.5956e-06
1.18	-9.0198e-07	7.61e-12	8.291e-07	3.7523e-06	-3.678e-06	-1.45e-06	-2.896e-11	1.3986e-06	3.6344e-06	-3.5938e-06	-1.3339e-06	1.319e-11	1.3237e-06	3.6165e-06	-3.5892e-06	-1.2788e-06	-2.105e-11	1.2572e-06	3.6029e-06	-3.5924e-06	-1.1939e-06	1.103e-11	1.2024e-06	3.5895e-06	-3.5853e-06	-1.0582e-06	2.428e-11	1.0604e-06	3.5831e-06	-3.5889e-06	-8.4525e-09	-1.029e-11	2.71028e-08	3.5806e-06	-3.5948e-06
1.175	-9.1118e-07	-2.78e-12	8.429e-07	3.7446e-06	-3.6724e-06	-1.4638e-06	-4.134e-11	1.4458e-06	3.6305e-06	-3.587e-06	-1.3282e-06	-1.482e-11	1.3051e-06	3.6159e-06	-3.5889e-06	-1.2507e-06	-2.65e-12	1.2425e-06	3.6031e-06	-3.5893e-06	-1.2021e-06	3.01e-12	1.2094e-06	3.5928e-06	-3.5891e-06	-1.0553e-06	9.72e-12	1.0602e-06	3.5848e-06	-3.591e-06	-8.6338e-09	1.842e-11	2.72832e-08	3.5811e-06	-3.5967e-06
1.17	-9.1876e-07	1.43e-12	8.5378e-07	3.7387e-06	-3.6675e-06	-1.472e-06	-4.2e-12	1.4193e-06	3.6352e-06	-3.5889e-06	-1.3255e-06	-2.589e-11	1.2977e-06	3.6195e-06	-3.5927e-06	-1.24e-06	2.16e-11	1.2365e-06	3.6056e-06	-3.5964e-06	-1.2095e-06	-1.055e-11	1.218e-06	3.5943e-06	-3.5943e-06	-1.0552e-06	-1.258e-11	1.0802e-06	3.595e-06	-3.6029e-06	-8.5254e-09	-1.294e-11	2.73506e-08	3.5807e-06	-3.5943e-06
1.165	-9.5042e-07	-1.03e-11	8.8368e-07	3.7349e-06	-3.6644e-06	-1.4321e-06	2.963e-11	1.388e-06	3.6325e-06	-3.5915e-06	-1.32e-06	-1.349e-11	1.2821e-06	3.6174e-06	-3.5889e-06	-1.2439e-06	-2.81e-12	1.2389e-06	3.6007e-06	-3.5878e-06	-1.2193e-06	-1.97e-12	1.2183e-06	3.5884e-06	-3.5851e-06	-1.0541e-06	1.244e-11	1.0734e-06	3.588e-06	-3.5985e-06	-8.4405e-09	-8.82e-12	2.71696e-08	3.5829e-06	-3.6046e-06
1.16	-9.7314e-07	-7.02e-12	8.9518e-07	3.7369e-06	-3.6661e-06	-1.4176e-06	3.482e-11	1.3896e-06	3.6312e-06	-3.5924e-06	-1.3155e-06	8e-12	1.2964e-06	3.6131e-06	-3.5889e-06	-1.2636e-06	9.7e-13	1.2531e-06	3.5995e-06	-3.588e-06	-1.2073e-06	5.25e-12	1.2017e-06	3.5908e-06	-3.5881e-06	-1.0692e-06	7.27e-12	1.0743e-06	3.5909e-06	-3.6004e-06	-8.9436e-09	-8.91e-12	2.77632e-08	3.587e-06	-3.604e-06
1.155	-1.00494e-06	-8.72e-12	9.3114e-07	3.7316e-06	-3.6603e-06	-1.4304e-06	2.229e-11	1.391e-06	3.6313e-06	-3.5922e-06	-1.3534e-06	3.001e-11	1.3307e-06	3.6194e-06	-3.5917e-06	-1.2568e-06	8.55e-12	1.2425e-06	3.6001e-06	-3.5854e-06	-1.2138e-06	-2.84e-12	1.2283e-06	3.5932e-06	-3.5915e-06	-1.0462e-06	-1.206e-11	1.0512e-06	3.5923e-06	-3.5986e-06	-9.008e-09	-2.179e-11	2.75574e-08	3.5866e-06	-3.6055e-06
