vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
1.2	-3.4932e-07	9.24e-12	3.9892e-07	3.7292e-06	-3.7287e-06	-8.3466e-07	5.25e-12	8.544e-07	3.5891e-06	-3.6017e-06	-8.5128e-07	-1.197e-11	8.598e-07	3.5978e-06	-3.6052e-06	-8.0772e-07	-7.28e-12	8.35e-07	3.6007e-06	-3.6116e-06	-8.3276e-07	2.107e-11	8.2796e-07	3.6096e-06	-3.6144e-06	-7.5886e-07	1.011e-11	7.8632e-07	3.6022e-06	-3.6156e-06	-6.9546e-07	5.1e-13	6.9762e-07	3.5983e-06	-3.6175e-06	-5.7612e-07	-4.33e-12	5.8872e-07	3.5991e-06	-3.6118e-06	-4.3016e-07	-2.479e-11	4.5558e-07	3.5972e-06	-3.6175e-06	-2.5298e-07	6.45e-12	2.6792e-07	3.6012e-06	-3.6198e-06	-1.26136e-08	1.23e-11	3.29794e-08	3.6027e-06	-3.6194e-06
1.195	-4.074e-07	-2.008e-11	4.1878e-07	3.7123e-06	-3.7188e-06	-8.304e-07	2.65e-12	8.4662e-07	3.5997e-06	-3.6099e-06	-8.3886e-07	1.108e-11	8.5712e-07	3.6014e-06	-3.6115e-06	-8.4312e-07	-3.59e-12	8.5336e-07	3.6022e-06	-3.6141e-06	-8.0978e-07	3.649e-11	8.1922e-07	3.607e-06	-3.6168e-06	-7.6012e-07	1.314e-11	7.799e-07	3.6004e-06	-3.6157e-06	-6.981e-07	2.92e-12	7.0838e-07	3.6003e-06	-3.6156e-06	-5.7986e-07	-1.23e-12	5.9924e-07	3.5968e-06	-3.6127e-06	-4.3296e-07	9.3e-12	4.5302e-07	3.6014e-06	-3.619e-06	-2.4864e-07	-2.256e-11	2.652e-07	3.6026e-06	-3.6192e-06	-1.1927e-08	-5.5e-13	3.16494e-08	3.6022e-06	-3.6212e-06
1.19	-4.167e-07	7.89e-12	4.2734e-07	3.7044e-06	-3.7147e-06	-8.3066e-07	3.05e-12	8.5398e-07	3.5942e-06	-3.6067e-06	-8.465e-07	9.72e-12	8.7262e-07	3.5967e-06	-3.6141e-06	-8.1684e-07	3.789e-11	8.3178e-07	3.5977e-06	-3.6123e-06	-7.855e-07	9.94e-12	8.0376e-07	3.6059e-06	-3.6214e-06	-7.6624e-07	9.9e-13	7.8128e-07	3.5994e-06	-3.6143e-06	-6.9922e-07	-1.214e-11	7.103e-07	3.5947e-06	-3.6032e-06	-5.8084e-07	2.136e-11	6.0088e-07	3.5945e-06	-3.6103e-06	-4.2994e-07	1.819e-11	4.494e-07	3.5948e-06	-3.6109e-06	-2.4712e-07	1.056e-11	2.642e-07	3.5954e-06	-3.6177e-06	-1.19686e-08	2.6e-13	3.09538e-08	3.5973e-06	-3.6198e-06
1.185	-4.3726e-07	2.82e-12	4.5006e-07	3.6974e-06	-3.7086e-06	-8.378e-07	9.78e-12	8.4528e-07	3.5957e-06	-3.607e-06	-8.5232e-07	-1.676e-11	8.6262e-07	3.5988e-06	-3.6094e-06	-8.1334e-07	1.427e-11	8.299e-07	3.5981e-06	-3.6093e-06	-7.9288e-07	-2.181e-11	8.0222e-07	3.6044e-06	-3.6162e-06	-7.4328e-07	-1.63e-12	7.6596e-07	3.604e-06	-3.6168e-06	-7.024e-07	-4.14e-12	7.1874e-07	3.5926e-06	-3.6059e-06	-5.83e-07	-6.94e-12	5.9762e-07	3.5927e-06	-3.6064e-06	-4.4132e-07	-1.393e-11	4.5978e-07	3.5932e-06	-3.6103e-06	-2.4594e-07	1.68e-11	2.6302e-07	3.5962e-06	-3.6129e-06	-1.1846e-08	-4.31e-12	3.09464e-08	3.5979e-06	-3.6192e-06
1.18	-4.5238e-07	4.45e-12	4.5476e-07	3.6945e-06	-3.703e-06	-8.2842e-07	-1.002e-11	8.5284e-07	3.5881e-06	-3.6006e-06	-8.506e-07	2.16e-12	8.5736e-07	3.5941e-06	-3.6063e-06	-8.2262e-07	-3.557e-11	8.2584e-07	3.5951e-06	-3.6042e-06	-7.9694e-07	-3.097e-11	8.022e-07	3.6022e-06	-3.6168e-06	-7.484e-07	-1.968e-11	7.6562e-07	3.5982e-06	-3.6172e-06	-6.9772e-07	1.789e-11	7.0852e-07	3.5966e-06	-3.6082e-06	-5.7292e-07	-9.38e-12	5.9092e-07	3.5934e-06	-3.6077e-06	-4.27e-07	-9.8e-13	4.4204e-07	3.592e-06	-3.6098e-06	-2.472e-07	-1.998e-11	2.6648e-07	3.5966e-06	-3.6135e-06	-1.26096e-08	-9.72e-12	3.14942e-08	3.6e-06	-3.6189e-06
1.175	-4.5274e-07	1.65e-11	4.6434e-07	3.6915e-06	-3.6978e-06	-8.227e-07	-2.055e-11	8.313e-07	3.5939e-06	-3.6052e-06	-8.5372e-07	1.283e-11	8.6446e-07	3.5934e-06	-3.6057e-06	-8.1838e-07	-2.441e-11	8.368e-07	3.6016e-06	-3.6122e-06	-7.7938e-07	6.26e-12	7.9134e-07	3.6006e-06	-3.6163e-06	-7.541e-07	-3.27e-12	7.81e-07	3.5982e-06	-3.6107e-06	-6.9502e-07	-1.315e-11	7.0752e-07	3.596e-06	-3.6116e-06	-5.6918e-07	1.249e-11	5.8184e-07	3.5947e-06	-3.6063e-06	-4.2722e-07	7.5e-12	4.5302e-07	3.5933e-06	-3.611e-06	-2.495e-07	-1.203e-11	2.6864e-07	3.602e-06	-3.6184e-06	-1.25822e-08	-5.34e-12	3.23412e-08	3.6031e-06	-3.6231e-06
1.17	-4.6086e-07	-2.01e-12	4.7856e-07	3.6846e-06	-3.6893e-06	-8.3322e-07	1.806e-11	8.5606e-07	3.5902e-06	-3.6055e-06	-8.3766e-07	-9.78e-12	8.449e-07	3.5957e-06	-3.6058e-06	-8.262e-07	5.7e-13	8.3352e-07	3.5996e-06	-3.6132e-06	-7.8634e-07	1.688e-11	8.0044e-07	3.6041e-06	-3.6186e-06	-7.5496e-07	2.046e-11	7.7522e-07	3.5977e-06	-3.6134e-06	-6.948e-07	-1.491e-11	7.1046e-07	3.5954e-06	-3.6114e-06	-5.5726e-07	-3.74e-12	5.8046e-07	3.5916e-06	-3.6125e-06	-4.3482e-07	-5.64e-12	4.5462e-07	3.593e-06	-3.6143e-06	-2.4452e-07	4.39e-12	2.6528e-07	3.6067e-06	-3.6239e-06	-1.1947e-08	2.4e-12	3.13628e-08	3.5976e-06	-3.6193e-06
1.165	-4.7596e-07	3.06e-12	4.8668e-07	3.6774e-06	-3.6834e-06	-8.2088e-07	1.59e-11	8.3264e-07	3.5916e-06	-3.6063e-06	-8.233e-07	6.03e-12	8.3748e-07	3.5938e-06	-3.606e-06	-8.221e-07	1.904e-11	8.4448e-07	3.5959e-06	-3.6075e-06	-7.7628e-07	-3.3e-12	7.918e-07	3.6029e-06	-3.6121e-06	-7.5884e-07	-7.27e-12	7.874e-07	3.6006e-06	-3.6118e-06	-7.0664e-07	1.635e-11	7.2134e-07	3.595e-06	-3.6071e-06	-5.6992e-07	-5.72e-12	5.9032e-07	3.5915e-06	-3.6057e-06	-4.3478e-07	2.98e-12	4.5208e-07	3.5896e-06	-3.61e-06	-2.486e-07	7.46e-12	2.6584e-07	3.6009e-06	-3.6175e-06	-1.30308e-08	-1.062e-11	3.20878e-08	3.6041e-06	-3.6177e-06
1.16	-4.823e-07	-1.7e-12	4.9496e-07	3.6764e-06	-3.6821e-06	-8.4494e-07	-1.576e-11	8.5042e-07	3.5912e-06	-3.6094e-06	-8.1296e-07	5.93e-12	8.2894e-07	3.5978e-06	-3.6054e-06	-8.3356e-07	1.724e-11	8.5208e-07	3.6009e-06	-3.6156e-06	-8.006e-07	1.245e-11	8.0988e-07	3.5982e-06	-3.6159e-06	-7.4904e-07	-8.71e-12	7.6992e-07	3.6033e-06	-3.6161e-06	-6.9106e-07	5.29e-12	7.1172e-07	3.5962e-06	-3.6075e-06	-5.638e-07	-4.82e-12	5.829e-07	3.5943e-06	-3.6151e-06	-4.379e-07	-2.3e-12	4.5096e-07	3.5955e-06	-3.6081e-06	-2.452e-07	1.546e-11	2.6346e-07	3.597e-06	-3.6129e-06	-1.28826e-08	-1.05e-12	3.19682e-08	3.5979e-06	-3.6165e-06
1.155	-4.9026e-07	-1.763e-11	5.042e-07	3.6716e-06	-3.6812e-06	-8.2718e-07	-3.65e-12	8.4354e-07	3.5975e-06	-3.6058e-06	-8.3108e-07	-3.17e-12	8.3392e-07	3.5924e-06	-3.6052e-06	-8.516e-07	-1.86e-11	8.5306e-07	3.6024e-06	-3.6101e-06	-8.0436e-07	6.28e-12	8.1806e-07	3.6006e-06	-3.6157e-06	-7.5306e-07	1.771e-11	7.7306e-07	3.6015e-06	-3.6119e-06	-7.066e-07	-5.41e-12	7.255e-07	3.596e-06	-3.6119e-06	-5.7218e-07	-1.657e-11	5.816e-07	3.5965e-06	-3.611e-06	-4.305e-07	-5.52e-12	4.4234e-07	3.5868e-06	-3.6069e-06	-2.4882e-07	-6.25e-12	2.651e-07	3.6007e-06	-3.6148e-06	-1.2676e-08	2.68e-12	3.19892e-08	3.6056e-06	-3.6242e-06
