vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-0.056184	-2.7464e-09	0.05619	3.9373e-06	-3.8729e-06	-0.038522	-1.6542e-09	0.03855	3.7651e-06	-3.701e-06	-0.021514	-7.8119e-10	0.021528	3.6879e-06	-3.6169e-06	-0.0076654	-5.974e-11	0.0076642	3.6298e-06	-3.5563e-06	-0.0010002	6.2338e-10	0.0010008	3.593e-06	-3.5212e-06	-4.2138e-05	1.296e-09	4.2138e-05	3.5809e-06	-3.5093e-06	-1.3299e-06	2.0522e-09	1.2624e-06	3.5837e-06	-3.5091e-06
0.005	-0.056066	-2.7606e-09	0.056084	3.9337e-06	-3.8682e-06	-0.038452	-1.6414e-09	0.038468	3.7658e-06	-3.6987e-06	-0.021454	-7.8744e-10	0.021472	3.6902e-06	-3.621e-06	-0.0076238	-6.316e-11	0.0076252	3.6276e-06	-3.5587e-06	-0.0009906	6.0813e-10	0.0009898	3.5868e-06	-3.5175e-06	-4.1544e-05	1.2934e-09	4.153e-05	3.5769e-06	-3.5097e-06	-1.3089e-06	2.0415e-09	1.2408e-06	3.577e-06	-3.5053e-06
0.01	-0.05598	-2.7845e-09	0.05599	3.937e-06	-3.8768e-06	-0.038376	-1.6593e-09	0.038388	3.7654e-06	-3.702e-06	-0.021392	-7.8209e-10	0.0214	3.6911e-06	-3.6227e-06	-0.0075864	-6.791e-11	0.0075864	3.6234e-06	-3.5558e-06	-0.00097946	6.1274e-10	0.00097898	3.587e-06	-3.5184e-06	-4.0968e-05	1.2815e-09	4.0856e-05	3.5811e-06	-3.5072e-06	-1.2873e-06	2.037e-09	1.2177e-06	3.5771e-06	-3.5072e-06
0.015	-0.055882	-2.7577e-09	0.055894	3.9288e-06	-3.8674e-06	-0.0383	-1.6521e-09	0.038312	3.7632e-06	-3.7047e-06	-0.021326	-7.9012e-10	0.021342	3.6865e-06	-3.6173e-06	-0.007547	-7.106e-11	0.007547	3.6245e-06	-3.5544e-06	-0.00096954	6.1722e-10	0.00096966	3.5842e-06	-3.5149e-06	-4.0342e-05	1.2837e-09	4.0258e-05	3.5729e-06	-3.5031e-06	-1.263e-06	2.0315e-09	1.1947e-06	3.5749e-06	-3.5038e-06
0.02	-0.055794	-2.7778e-09	0.055806	3.9244e-06	-3.8649e-06	-0.03822	-1.653e-09	0.038234	3.7609e-06	-3.6944e-06	-0.021264	-7.9303e-10	0.021272	3.6837e-06	-3.6212e-06	-0.0075036	-7.019e-11	0.0075036	3.6198e-06	-3.5552e-06	-0.00095926	6.0907e-10	0.0009593	3.5845e-06	-3.5196e-06	-3.9758e-05	1.2808e-09	3.97e-05	3.5698e-06	-3.5038e-06	-1.2411e-06	2.0221e-09	1.1737e-06	3.5732e-06	-3.5037e-06
0.025	-0.055698	-2.7979e-09	0.055712	3.9253e-06	-3.8606e-06	-0.03814	-1.645e-09	0.038154	3.7607e-06	-3.7034e-06	-0.021198	-7.9382e-10	0.021208	3.689e-06	-3.6212e-06	-0.0074654	-7.22e-11	0.0074652	3.6191e-06	-3.5553e-06	-0.0009492	6.0856e-10	0.00094914	3.5841e-06	-3.5186e-06	-3.9144e-05	1.2761e-09	3.9098e-05	3.5752e-06	-3.5063e-06	-1.2184e-06	2.0181e-09	1.1558e-06	3.5701e-06	-3.5048e-06
0.03	-0.055612	-2.8051e-09	0.055622	3.917e-06	-3.8639e-06	-0.03806	-1.6503e-09	0.038072	3.7702e-06	-3.7096e-06	-0.021136	-7.9277e-10	0.021148	3.6848e-06	-3.6231e-06	-0.0074222	-7.624e-11	0.007425	3.6143e-06	-3.552e-06	-0.00093906	5.9963e-10	0.0009396	3.5849e-06	-3.521e-06	-3.8556e-05	1.2692e-09	3.8534e-05	3.5706e-06	-3.508e-06	-1.198e-06	2.0106e-09	1.1335e-06	3.5699e-06	-3.508e-06
0.035	-0.055516	-2.7933e-09	0.055528	3.9144e-06	-3.8513e-06	-0.03798	-1.6622e-09	0.037992	3.7656e-06	-3.7082e-06	-0.021074	-7.9759e-10	0.021084	3.6832e-06	-3.623e-06	-0.0073846	-7.776e-11	0.0073814	3.614e-06	-3.5501e-06	-0.0009292	6.1096e-10	0.0009293	3.5814e-06	-3.5192e-06	-3.7994e-05	1.2724e-09	3.7936e-05	3.5693e-06	-3.511e-06	-1.1739e-06	2.0057e-09	1.1144e-06	3.5708e-06	-3.5031e-06
0.04	-0.05542	-2.81e-09	0.055444	3.914e-06	-3.8548e-06	-0.037904	-1.6609e-09	0.03792	3.7677e-06	-3.7106e-06	-0.021006	-8.0395e-10	0.021016	3.6905e-06	-3.6298e-06	-0.0073432	-7.918e-11	0.0073416	3.6165e-06	-3.554e-06	-0.00091918	5.9527e-10	0.00091964	3.5853e-06	-3.5207e-06	-3.745e-05	1.2682e-09	3.7384e-05	3.5697e-06	-3.5053e-06	-1.1558e-06	2.0038e-09	1.0926e-06	3.5621e-06	-3.5032e-06
0.045	-0.055326	-2.8188e-09	0.055342	3.9083e-06	-3.8561e-06	-0.037824	-1.666e-09	0.037832	3.7629e-06	-3.709e-06	-0.020938	-8.006e-10	0.020954	3.6822e-06	-3.6224e-06	-0.0073048	-8.17e-11	0.0073044	3.6143e-06	-3.5494e-06	-0.00090988	5.9306e-10	0.0009098	3.5794e-06	-3.5192e-06	-3.6872e-05	1.2625e-09	3.6794e-05	3.5637e-06	-3.5032e-06	-1.133e-06	1.9886e-09	1.0736e-06	3.5608e-06	-3.5025e-06
