vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
1.2	9.3975e-09	2.8828e-08	1.5642e-09	3.5307e-06	-3.566e-06	1.11854e-08	3.04794e-08	1.6443e-09	3.4298e-06	-3.4689e-06	1.20174e-08	3.01576e-08	1.6607e-09	3.4351e-06	-3.478e-06	1.2799e-08	3.02576e-08	1.6613e-09	3.4432e-06	-3.4878e-06	1.35486e-08	3.05358e-08	1.6683e-09	3.4419e-06	-3.4846e-06	1.42548e-08	3.01472e-08	1.6668e-09	3.4416e-06	-3.4853e-06	1.50316e-08	3.01058e-08	1.6861e-09	3.4453e-06	-3.4903e-06	1.57986e-08	3.02456e-08	1.6561e-09	3.4456e-06	-3.492e-06	1.65622e-08	2.99402e-08	1.6653e-09	3.4435e-06	-3.4927e-06	1.73412e-08	3.02938e-08	1.6489e-09	3.4413e-06	-3.4895e-06	1.81722e-08	2.99724e-08	1.6468e-09	3.4439e-06	-3.4922e-06
1.195	9.5675e-09	2.61324e-08	1.5777e-09	3.524e-06	-3.5574e-06	1.11958e-08	2.7449e-08	1.6462e-09	3.4272e-06	-3.4669e-06	1.20328e-08	2.70658e-08	1.6708e-09	3.4375e-06	-3.48e-06	1.2825e-08	2.70998e-08	1.6665e-09	3.4455e-06	-3.4879e-06	1.358e-08	2.73592e-08	1.6619e-09	3.4496e-06	-3.484e-06	1.42698e-08	2.7056e-08	1.6696e-09	3.4448e-06	-3.4896e-06	1.50462e-08	2.69822e-08	1.6756e-09	3.4451e-06	-3.4958e-06	1.57964e-08	2.68144e-08	1.6645e-09	3.4481e-06	-3.49e-06	1.6549e-08	2.6995e-08	1.6685e-09	3.4479e-06	-3.4912e-06	1.7361e-08	2.71216e-08	1.6509e-09	3.4449e-06	-3.4911e-06	1.81754e-08	2.68288e-08	1.6468e-09	3.4549e-06	-3.5024e-06
1.19	9.5821e-09	2.35116e-08	1.5916e-09	3.5171e-06	-3.5537e-06	1.11992e-08	2.45892e-08	1.6684e-09	3.4362e-06	-3.4731e-06	1.20166e-08	2.44592e-08	1.6717e-09	3.4398e-06	-3.4758e-06	1.28314e-08	2.46296e-08	1.6825e-09	3.4503e-06	-3.4908e-06	1.35718e-08	2.4778e-08	1.6712e-09	3.4539e-06	-3.4887e-06	1.42778e-08	2.4545e-08	1.6818e-09	3.4527e-06	-3.4905e-06	1.5067e-08	2.4218e-08	1.6783e-09	3.4527e-06	-3.493e-06	1.58192e-08	2.434e-08	1.6693e-09	3.4454e-06	-3.4866e-06	1.65432e-08	2.442e-08	1.6685e-09	3.443e-06	-3.4869e-06	1.73552e-08	2.4511e-08	1.6509e-09	3.4499e-06	-3.488e-06	1.81802e-08	2.41956e-08	1.6543e-09	3.4564e-06	-3.4985e-06
1.185	9.6065e-09	2.1451e-08	1.5871e-09	3.5187e-06	-3.5445e-06	1.11938e-08	2.22014e-08	1.6532e-09	3.4404e-06	-3.4711e-06	1.20288e-08	2.19754e-08	1.6806e-09	3.4406e-06	-3.4728e-06	1.28606e-08	2.2117e-08	1.6775e-09	3.4498e-06	-3.4848e-06	1.3555e-08	2.25942e-08	1.6798e-09	3.4586e-06	-3.4929e-06	1.42904e-08	2.19956e-08	1.6794e-09	3.4555e-06	-3.4915e-06	1.50712e-08	2.1932e-08	1.6874e-09	3.4487e-06	-3.486e-06	1.58244e-08	2.19648e-08	1.6738e-09	3.4521e-06	-3.4866e-06	1.65642e-08	2.19566e-08	1.6652e-09	3.4499e-06	-3.4858e-06	1.7361e-08	2.21684e-08	1.6578e-09	3.45e-06	-3.4859e-06	1.81832e-08	2.19726e-08	1.6474e-09	3.455e-06	-3.4974e-06
1.18	9.6215e-09	1.94322e-08	1.608e-09	3.5226e-06	-3.5471e-06	1.1201e-08	2.0213e-08	1.6876e-09	3.4372e-06	-3.4711e-06	1.20328e-08	2.0027e-08	1.6801e-09	3.4459e-06	-3.4742e-06	1.2855e-08	2.00146e-08	1.7028e-09	3.4493e-06	-3.485e-06	1.35566e-08	2.0076e-08	1.6802e-09	3.4549e-06	-3.4905e-06	1.42932e-08	1.99362e-08	1.6858e-09	3.4557e-06	-3.4927e-06	1.50586e-08	1.9872e-08	1.6898e-09	3.4483e-06	-3.484e-06	1.58162e-08	1.99022e-08	1.6711e-09	3.4529e-06	-3.491e-06	1.657e-08	1.99336e-08	1.6786e-09	3.4484e-06	-3.4885e-06	1.73672e-08	1.9983e-08	1.6549e-09	3.4576e-06	-3.494e-06	1.81944e-08	1.9957e-08	1.6628e-09	3.4562e-06	-3.4979e-06
1.175	9.6173e-09	1.77898e-08	1.6078e-09	3.5228e-06	-3.5452e-06	1.12072e-08	1.82332e-08	1.6704e-09	3.4391e-06	-3.4669e-06	1.20176e-08	1.82342e-08	1.6831e-09	3.4472e-06	-3.4755e-06	1.28608e-08	1.82442e-08	1.6892e-09	3.4557e-06	-3.4893e-06	1.3547e-08	1.8259e-08	1.6857e-09	3.4594e-06	-3.4886e-06	1.4274e-08	1.81168e-08	1.6921e-09	3.4575e-06	-3.4873e-06	1.50732e-08	1.79942e-08	1.7036e-09	3.4549e-06	-3.4897e-06	1.5833e-08	1.80518e-08	1.6783e-09	3.4547e-06	-3.4904e-06	1.65518e-08	1.80666e-08	1.6807e-09	3.4562e-06	-3.4896e-06	1.73634e-08	1.81236e-08	1.6658e-09	3.4533e-06	-3.4882e-06	1.8195e-08	1.79608e-08	1.6572e-09	3.4586e-06	-3.4983e-06
1.17	9.6255e-09	1.6037e-08	1.6255e-09	3.5102e-06	-3.5385e-06	1.12034e-08	1.65138e-08	1.6918e-09	3.4412e-06	-3.4683e-06	1.20238e-08	1.65838e-08	1.7028e-09	3.4434e-06	-3.4767e-06	1.28418e-08	1.65766e-08	1.7019e-09	3.4546e-06	-3.4872e-06	1.35558e-08	1.6467e-08	1.6895e-09	3.4558e-06	-3.4867e-06	1.42894e-08	1.63568e-08	1.6981e-09	3.467e-06	-3.4934e-06	1.50536e-08	1.62834e-08	1.6948e-09	3.4546e-06	-3.4865e-06	1.58222e-08	1.64358e-08	1.6731e-09	3.4559e-06	-3.489e-06	1.6536e-08	1.63608e-08	1.6851e-09	3.4526e-06	-3.4868e-06	1.73472e-08	1.6438e-08	1.6711e-09	3.4583e-06	-3.4945e-06	1.81954e-08	1.62982e-08	1.6561e-09	3.4625e-06	-3.4997e-06
1.165	9.6513e-09	1.46084e-08	1.6312e-09	3.5145e-06	-3.5385e-06	1.119e-08	1.50598e-08	1.6925e-09	3.4419e-06	-3.4711e-06	1.20028e-08	1.50364e-08	1.7034e-09	3.4485e-06	-3.4807e-06	1.28314e-08	1.51534e-08	1.7024e-09	3.4497e-06	-3.4822e-06	1.35702e-08	1.50114e-08	1.7011e-09	3.4635e-06	-3.4933e-06	1.43016e-08	1.49346e-08	1.706e-09	3.4564e-06	-3.4894e-06	1.50314e-08	1.4929e-08	1.7015e-09	3.4551e-06	-3.4832e-06	1.58288e-08	1.4924e-08	1.6873e-09	3.4605e-06	-3.4944e-06	1.6534e-08	1.48706e-08	1.6887e-09	3.4533e-06	-3.4837e-06	1.73448e-08	1.49906e-08	1.6644e-09	3.4618e-06	-3.4924e-06	1.8184e-08	1.47884e-08	1.6563e-09	3.4658e-06	-3.4983e-06
1.16	9.6445e-09	1.3363e-08	1.642e-09	3.5134e-06	-3.5391e-06	1.11894e-08	1.37558e-08	1.6982e-09	3.4428e-06	-3.4674e-06	1.201e-08	1.37476e-08	1.7215e-09	3.448e-06	-3.4779e-06	1.2835e-08	1.37212e-08	1.7175e-09	3.4558e-06	-3.48e-06	1.35484e-08	1.36212e-08	1.7071e-09	3.4623e-06	-3.489e-06	1.42838e-08	1.35678e-08	1.6986e-09	3.4623e-06	-3.492e-06	1.50382e-08	1.3469e-08	1.7142e-09	3.4517e-06	-3.4845e-06	1.58388e-08	1.36054e-08	1.6796e-09	3.4565e-06	-3.4923e-06	1.6555e-08	1.35642e-08	1.6882e-09	3.4591e-06	-3.4875e-06	1.73534e-08	1.3643e-08	1.6807e-09	3.4633e-06	-3.4928e-06	1.8187e-08	1.3368e-08	1.6568e-09	3.4641e-06	-3.495e-06
1.155	9.6449e-09	1.22158e-08	1.6506e-09	3.5124e-06	-3.537e-06	1.11836e-08	1.24562e-08	1.7167e-09	3.448e-06	-3.4729e-06	1.20166e-08	1.24746e-08	1.7206e-09	3.4527e-06	-3.4746e-06	1.28192e-08	1.25272e-08	1.7264e-09	3.4541e-06	-3.4766e-06	1.35452e-08	1.2413e-08	1.7186e-09	3.4631e-06	-3.4907e-06	1.42892e-08	1.23838e-08	1.7217e-09	3.4616e-06	-3.4911e-06	1.50278e-08	1.23016e-08	1.7126e-09	3.4576e-06	-3.4854e-06	1.58474e-08	1.2384e-08	1.6987e-09	3.4616e-06	-3.4886e-06	1.65286e-08	1.2328e-08	1.7002e-09	3.4611e-06	-3.4883e-06	1.73598e-08	1.24096e-08	1.6716e-09	3.457e-06	-3.4874e-06	1.82006e-08	1.22094e-08	1.6562e-09	3.4656e-06	-3.496e-06
