vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-0.03596	-1.7812e-08	0.035956	3.7381e-06	-3.6688e-06	-0.016894	-1.08902e-08	0.016914	3.558e-06	-3.4917e-06	-0.0041216	-6.0652e-09	0.0041214	3.5108e-06	-3.4352e-06	-0.00018008	-1.8523e-09	0.0001802	3.4877e-06	-3.414e-06	-1.8593e-06	9.1231e-10	1.786e-06	3.4836e-06	-3.4072e-06	-9.03092e-08	2.3203e-09	1.76106e-08	3.4884e-06	-3.4151e-06	-7.72808e-08	3.3279e-09	2.0002e-09	3.4814e-06	-3.4057e-06
0.005	-0.035912	-1.78192e-08	0.035924	3.7313e-06	-3.6652e-06	-0.016892	-1.0864e-08	0.016906	3.5625e-06	-3.4957e-06	-0.0041196	-6.0813e-09	0.0041204	3.5077e-06	-3.4365e-06	-0.00018	-1.8891e-09	0.00018016	3.4841e-06	-3.4123e-06	-1.8587e-06	8.7796e-10	1.7873e-06	3.4763e-06	-3.4039e-06	-8.90596e-08	2.2649e-09	1.75992e-08	3.4826e-06	-3.408e-06	-7.58564e-08	3.2833e-09	1.9932e-09	3.4802e-06	-3.41e-06
0.01	-0.035892	-1.78454e-08	0.035904	3.7261e-06	-3.66e-06	-0.016882	-1.09616e-08	0.016896	3.5571e-06	-3.4918e-06	-0.004118	-6.0864e-09	0.0041154	3.5087e-06	-3.4387e-06	-0.00018004	-1.9161e-09	0.00018002	3.4769e-06	-3.4137e-06	-1.8534e-06	8.5602e-10	1.7899e-06	3.4796e-06	-3.4115e-06	-8.7631e-08	2.24e-09	1.76042e-08	3.4802e-06	-3.4115e-06	-7.46048e-08	3.2675e-09	1.9895e-09	3.4767e-06	-3.4064e-06
0.015	-0.035872	-1.78146e-08	0.035886	3.7248e-06	-3.6647e-06	-0.01687	-1.09778e-08	0.016882	3.5592e-06	-3.496e-06	-0.0041146	-6.1152e-09	0.0041142	3.5032e-06	-3.4341e-06	-0.0001799	-1.9311e-09	0.00017994	3.4767e-06	-3.4094e-06	-1.8507e-06	8.4093e-10	1.7854e-06	3.4781e-06	-3.4079e-06	-8.6295e-08	2.2164e-09	1.75832e-08	3.4792e-06	-3.4113e-06	-7.31744e-08	3.2414e-09	1.9959e-09	3.4746e-06	-3.4046e-06
0.02	-0.035858	-1.7805e-08	0.035868	3.7205e-06	-3.6605e-06	-0.016862	-1.10108e-08	0.016878	3.5563e-06	-3.4955e-06	-0.0041118	-6.1245e-09	0.004111	3.4937e-06	-3.4314e-06	-0.00017976	-1.9453e-09	0.00017998	3.4733e-06	-3.4078e-06	-1.8498e-06	8.2456e-10	1.7827e-06	3.4764e-06	-3.4101e-06	-8.50602e-08	2.1978e-09	1.75784e-08	3.4778e-06	-3.4097e-06	-7.19216e-08	3.2186e-09	1.986e-09	3.475e-06	-3.4101e-06
0.025	-0.035834	-1.77858e-08	0.035848	3.7167e-06	-3.6556e-06	-0.016854	-1.09774e-08	0.016868	3.5617e-06	-3.4939e-06	-0.0041098	-6.1509e-09	0.0041088	3.4996e-06	-3.4383e-06	-0.00017968	-1.9627e-09	0.0001798	3.476e-06	-3.4112e-06	-1.846e-06	8.0778e-10	1.7812e-06	3.4725e-06	-3.407e-06	-8.38466e-08	2.1767e-09	1.75596e-08	3.474e-06	-3.4077e-06	-7.05278e-08	3.1954e-09	1.9897e-09	3.4736e-06	-3.407e-06
0.03	-0.035814	-1.76558e-08	0.03583	3.7167e-06	-3.6562e-06	-0.016844	-1.09798e-08	0.016858	3.5587e-06	-3.501e-06	-0.004105	-6.1349e-09	0.004106	3.4889e-06	-3.4302e-06	-0.0001794	-1.9766e-09	0.00017972	3.4733e-06	-3.4125e-06	-1.8445e-06	7.941e-10	1.7829e-06	3.4701e-06	-3.404e-06	-8.26214e-08	2.1598e-09	1.7561e-08	3.4738e-06	-3.4127e-06	-6.92554e-08	3.173e-09	1.9861e-09	3.4707e-06	-3.4091e-06
0.035	-0.035796	-1.76636e-08	0.03581	3.7153e-06	-3.651e-06	-0.016836	-1.1061e-08	0.01685	3.5592e-06	-3.4964e-06	-0.0041054	-6.1485e-09	0.0041048	3.4927e-06	-3.4316e-06	-0.00017936	-2.0013e-09	0.00017952	3.4762e-06	-3.414e-06	-1.8445e-06	7.7476e-10	1.7842e-06	3.4721e-06	-3.4069e-06	-8.1408e-08	2.1375e-09	1.75438e-08	3.4747e-06	-3.4093e-06	-6.79576e-08	3.146e-09	1.9853e-09	3.4709e-06	-3.4068e-06
0.04	-0.03578	-1.76638e-08	0.03579	3.7073e-06	-3.6502e-06	-0.016828	-1.10586e-08	0.016842	3.5558e-06	-3.4959e-06	-0.0041006	-6.1654e-09	0.0041024	3.4959e-06	-3.4346e-06	-0.00017924	-2.0045e-09	0.00017934	3.4758e-06	-3.4141e-06	-1.8417e-06	7.6208e-10	1.7838e-06	3.4701e-06	-3.4107e-06	-8.02664e-08	2.1268e-09	1.75524e-08	3.4759e-06	-3.4104e-06	-6.67372e-08	3.1271e-09	1.9779e-09	3.4694e-06	-3.4074e-06
0.045	-0.035754	-1.76948e-08	0.035772	3.7112e-06	-3.6489e-06	-0.01682	-1.10738e-08	0.016828	3.5553e-06	-3.4939e-06	-0.0040978	-6.1737e-09	0.0040966	3.4953e-06	-3.4379e-06	-0.0001791	-2.0222e-09	0.00017912	3.4739e-06	-3.4121e-06	-1.8407e-06	7.4499e-10	1.7803e-06	3.4693e-06	-3.407e-06	-7.90124e-08	2.1053e-09	1.75336e-08	3.4769e-06	-3.414e-06	-6.54786e-08	3.1134e-09	1.9762e-09	3.4669e-06	-3.4054e-06
0.05	-0.035744	-1.76978e-08	0.035752	3.7019e-06	-3.6433e-06	-0.016808	-1.1079e-08	0.01682	3.554e-06	-3.4938e-06	-0.004094	-6.2107e-09	0.0040956	3.4934e-06	-3.4358e-06	-0.00017906	-2.0497e-09	0.00017922	3.4707e-06	-3.4069e-06	-1.8376e-06	7.2805e-10	1.7832e-06	3.4716e-06	-3.4073e-06	-7.7895e-08	2.089e-09	1.75426e-08	3.4753e-06	-3.4122e-06	-6.42612e-08	3.0936e-09	1.9753e-09	3.473e-06	-3.4129e-06
0.055	-0.03572	-1.7817e-08	0.035732	3.701e-06	-3.6424e-06	-0.0168	-1.1106e-08	0.01681	3.5505e-06	-3.4989e-06	-0.0040926	-6.2269e-09	0.004095	3.4941e-06	-3.4343e-06	-0.00017886	-2.0488e-09	0.00017906	3.4671e-06	-3.4088e-06	-1.8373e-06	7.1675e-10	1.7794e-06	3.4736e-06	-3.4112e-06	-7.67734e-08	2.0629e-09	1.75104e-08	3.4682e-06	-3.4098e-06	-6.31284e-08	3.0731e-09	1.9654e-09	3.4722e-06	-3.415e-06
0.06	-0.035704	-1.78252e-08	0.035716	3.695e-06	-3.6408e-06	-0.016792	-1.11276e-08	0.016802	3.5531e-06	-3.4971e-06	-0.0040898	-6.2287e-09	0.0040898	3.4962e-06	-3.4363e-06	-0.00017874	-2.0577e-09	0.00017896	3.4669e-06	-3.4113e-06	-1.8324e-06	7.0735e-10	1.7759e-06	3.4685e-06	-3.4124e-06	-7.56774e-08	2.0576e-09	1.74894e-08	3.467e-06	-3.408e-06	-6.1936e-08	3.058e-09	1.9727e-09	3.4719e-06	-3.4141e-06
0.065	-0.035686	-1.7833e-08	0.035698	3.6943e-06	-3.6427e-06	-0.01678	-1.1141e-08	0.0168	3.5537e-06	-3.4991e-06	-0.0040866	-6.2599e-09	0.0040872	3.487e-06	-3.4323e-06	-0.00017858	-2.0638e-09	0.0001787	3.4673e-06	-3.4126e-06	-1.8324e-06	6.9417e-10	1.7771e-06	3.4645e-06	-3.4069e-06	-7.45482e-08	2.037e-09	1.74814e-08	3.4641e-06	-3.413e-06	-6.07924e-08	3.0352e-09	1.9665e-09	3.4666e-06	-3.4084e-06
0.07	-0.035662	-1.78168e-08	0.035676	3.6893e-06	-3.6403e-06	-0.016774	-1.11466e-08	0.016788	3.5525e-06	-3.4984e-06	-0.0040858	-6.2506e-09	0.0040836	3.4911e-06	-3.4317e-06	-0.00017834	-2.0798e-09	0.00017854	3.4661e-06	-3.4104e-06	-1.8305e-06	6.8028e-10	1.7754e-06	3.4682e-06	-3.4119e-06	-7.33978e-08	2.0266e-09	1.7473e-08	3.4721e-06	-3.4153e-06	-5.96864e-08	3.0236e-09	1.9656e-09	3.4709e-06	-3.414e-06
0.075	-0.035646	-1.7797e-08	0.03566	3.6841e-06	-3.6333e-06	-0.016764	-1.11588e-08	0.016772	3.5496e-06	-3.4982e-06	-0.004081	-6.2415e-09	0.0040808	3.4854e-06	-3.432e-06	-0.00017832	-2.0922e-09	0.00017846	3.4679e-06	-3.4123e-06	-1.8265e-06	6.6874e-10	1.7748e-06	3.4634e-06	-3.4108e-06	-7.2278e-08	2.0094e-09	1.74672e-08	3.4654e-06	-3.4113e-06	-5.86732e-08	2.9989e-09	1.9699e-09	3.4646e-06	-3.4036e-06
