|Vgs|	Gm_|Vds|=0.15V	Gm_|Vds|=0.3V	Gm_|Vds|=0.45V	Gm_|Vds|=0.6V	Gm_|Vds|=0.75V	Gm_|Vds|=0.9V
-0.3	5.6400000000002e-09	-4.76000000000007e-09	-5.24000000000023e-09	-2.88400000000004e-08	-3.21600000000006e-08	-2.56000000000005e-07
-0.295	3.07333333333341e-09	-6.80000000000005e-10	7.06666666666588e-10	-1.61266666666667e-08	-1.26966666666667e-08	-1.78333333333334e-07
-0.29	8.22000000000049e-10	1.42499999999999e-09	4.54599999999993e-09	-1.04000000000002e-09	6.81599999999996e-09	-1.136e-07
-0.285	-8.38999999999992e-10	4.01700000000001e-09	8.79999999999996e-09	1.0882e-08	2.18520000000001e-08	-5.99999999999995e-08
-0.28	-2.893e-09	7.074e-09	1.274e-08	2.16939999999999e-08	3.69099999999999e-08	-9.20000000000023e-09
-0.275	-3.608e-09	8.21499999999999e-09	1.5942e-08	3.0052e-08	4.99799999999999e-08	2.47999999999998e-08
-0.27	-3.759e-09	9.63399999999999e-09	1.9838e-08	3.65940000000001e-08	6.25779999999999e-08	5.85999999999998e-08
-0.265	-5.49800000000001e-09	1.2735e-08	2.3882e-08	4.28300000000001e-08	7.65699999999999e-08	1.018e-07
-0.26	-6.94200000000001e-09	1.4434e-08	2.7154e-08	4.99920000000001e-08	9.16259999999999e-08	1.392e-07
-0.255	-7.07300000000001e-09	1.5087e-08	3.0628e-08	5.79260000000001e-08	1.06212e-07	1.664e-07
-0.25	-8.49000000000001e-09	1.7223e-08	3.5244e-08	6.6102e-08	1.19128e-07	1.906e-07
-0.245	-1.0618e-08	1.975e-08	3.98e-08	7.59619999999999e-08	1.3367e-07	2.222e-07
-0.24	-1.1137e-08	2.1652e-08	4.44119999999999e-08	8.69959999999999e-08	1.51908e-07	2.614e-07
-0.235	-1.2065e-08	2.46780000000001e-08	5.04240000000002e-08	9.87320000000004e-08	1.74852000000001e-07	3.04400000000002e-07
-0.23	-1.4798e-08	2.95520000000001e-08	5.73160000000002e-08	1.12856e-07	2.02546000000001e-07	3.55400000000002e-07
-0.225	-1.7196e-08	3.44220000000001e-08	6.42580000000002e-08	1.28842e-07	2.32818000000001e-07	4.15000000000001e-07
-0.22	-1.9211e-08	3.89670000000001e-08	7.26700000000002e-08	1.4462e-07	2.65968000000001e-07	4.73400000000001e-07
-0.215	-2.1913e-08	4.40500000000001e-08	8.35140000000002e-08	1.61776e-07	3.03502000000001e-07	5.36200000000001e-07
-0.21	-2.4896e-08	4.979e-08	9.56979999999999e-08	1.82146e-07	3.42796e-07	6.12199999999999e-07
-0.205	-2.7697e-08	5.5807e-08	1.08742e-07	2.04706e-07	3.84387999999999e-07	6.95399999999999e-07
-0.2	-3.0928e-08	6.25559999999999e-08	1.22986e-07	2.3017e-07	4.33664e-07	7.89799999999999e-07
