vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
0	-0.036494	-7.2921e-10	0.036488	5.2336e-07	-4.519e-07	-0.023294	-3.8021e-10	0.02331	5.2832e-07	-4.5368e-07	-0.010802	-1.7576e-10	0.01081	5.2856e-07	-4.5156e-07	-0.0021464	-2.757e-11	0.0021462	5.2754e-07	-4.49e-07	-7.4198e-05	1.1895e-10	7.407e-05	5.2736e-07	-4.4838e-07	-1.0442e-06	2.605e-10	9.636e-07	5.2808e-07	-4.487e-07	-9.04944e-08	4.2337e-10	1.08746e-08	5.2862e-07	-4.4924e-07
0.005	-0.036434	-7.3237e-10	0.036448	5.238e-07	-4.5224e-07	-0.02327	-3.8423e-10	0.023278	5.2726e-07	-4.538e-07	-0.010782	-1.7457e-10	0.010792	5.2752e-07	-4.5154e-07	-0.0021384	-2.95e-11	0.0021386	5.2628e-07	-4.4902e-07	-7.3714e-05	1.1925e-10	7.363e-05	5.2632e-07	-4.4836e-07	-1.0317e-06	2.5971e-10	9.5772e-07	5.2684e-07	-4.4896e-07	-8.92666e-08	4.163e-10	1.07148e-08	5.2742e-07	-4.492e-07
0.01	-0.036404	-7.2795e-10	0.036414	5.2282e-07	-4.526e-07	-0.023242	-3.8495e-10	0.023254	5.2626e-07	-4.5386e-07	-0.010758	-1.7718e-10	0.010768	5.2628e-07	-4.5154e-07	-0.0021294	-2.478e-11	0.0021306	5.2496e-07	-4.4892e-07	-7.3292e-05	1.1729e-10	7.3188e-05	5.2504e-07	-4.4854e-07	-1.0274e-06	2.5201e-10	9.528e-07	5.255e-07	-4.4874e-07	-8.80782e-08	4.122e-10	1.06664e-08	5.263e-07	-4.4938e-07
0.015	-0.036372	-7.3067e-10	0.03638	5.2198e-07	-4.5278e-07	-0.023214	-3.8236e-10	0.023228	5.2514e-07	-4.5398e-07	-0.010738	-1.7582e-10	0.010746	5.2534e-07	-4.516e-07	-0.0021224	-2.84e-11	0.0021232	5.2382e-07	-4.489e-07	-7.2928e-05	1.1363e-10	7.2842e-05	5.2374e-07	-4.4848e-07	-1.018e-06	2.4926e-10	9.445e-07	5.2428e-07	-4.4894e-07	-8.65498e-08	4.1011e-10	1.05832e-08	5.2486e-07	-4.4926e-07
0.02	-0.036336	-7.3346e-10	0.036344	5.2108e-07	-4.5296e-07	-0.023188	-3.8427e-10	0.0232	5.2418e-07	-4.541e-07	-0.010718	-1.743e-10	0.010724	5.2384e-07	-4.5144e-07	-0.0021146	-3.047e-11	0.0021148	5.2256e-07	-4.4898e-07	-7.2512e-05	1.1355e-10	7.2392e-05	5.2274e-07	-4.4854e-07	-1.0113e-06	2.4843e-10	9.39e-07	5.2296e-07	-4.4878e-07	-8.54364e-08	4.0828e-10	1.0468e-08	5.2352e-07	-4.492e-07
0.025	-0.0363	-7.3377e-10	0.036314	5.2024e-07	-4.5306e-07	-0.023156	-3.8549e-10	0.023166	5.232e-07	-4.5414e-07	-0.010698	-1.7648e-10	0.01071	5.2286e-07	-4.5154e-07	-0.0021072	-3.228e-11	0.0021084	5.215e-07	-4.489e-07	-7.2066e-05	1.1346e-10	7.2002e-05	5.2144e-07	-4.4854e-07	-1.0033e-06	2.4673e-10	9.3274e-07	5.2184e-07	-4.4882e-07	-8.41924e-08	4.0491e-10	1.04346e-08	5.2264e-07	-4.4928e-07
0.03	-0.036266	-7.3334e-10	0.036278	5.1942e-07	-4.5338e-07	-0.023124	-3.88e-10	0.023134	5.22e-07	-4.5428e-07	-0.010676	-1.7716e-10	0.010688	5.2154e-07	-4.5152e-07	-0.0021002	-3.234e-11	0.0020998	5.2032e-07	-4.49e-07	-7.1628e-05	1.0821e-10	7.156e-05	5.202e-07	-4.485e-07	-9.9914e-07	2.4284e-10	9.271e-07	5.2078e-07	-4.4874e-07	-8.29524e-08	3.9868e-10	1.04094e-08	5.2104e-07	-4.4918e-07
0.035	-0.036234	-7.3319e-10	0.036244	5.1834e-07	-4.5348e-07	-0.023098	-3.8597e-10	0.023104	5.2104e-07	-4.5422e-07	-0.010656	-1.7907e-10	0.010668	5.2068e-07	-4.5152e-07	-0.0020916	-3.235e-11	0.002093	5.1898e-07	-4.4886e-07	-7.1228e-05	1.0823e-10	7.1188e-05	5.1914e-07	-4.4856e-07	-9.9272e-07	2.3842e-10	9.2178e-07	5.1962e-07	-4.4882e-07	-8.19966e-08	3.937e-10	1.03142e-08	5.2044e-07	-4.4926e-07
0.04	-0.036198	-7.3419e-10	0.03621	5.1768e-07	-4.5364e-07	-0.023068	-3.8513e-10	0.023076	5.2e-07	-4.5418e-07	-0.010636	-1.7488e-10	0.010646	5.1966e-07	-4.5158e-07	-0.0020842	-3.534e-11	0.002086	5.1798e-07	-4.4908e-07	-7.0828e-05	1.0575e-10	7.074e-05	5.1824e-07	-4.4864e-07	-1.01032e-06	2.363e-10	9.18e-07	5.186e-07	-4.4884e-07	-8.06812e-08	3.8875e-10	1.0199e-08	5.1918e-07	-4.493e-07
0.045	-0.036162	-7.314e-10	0.036168	5.1672e-07	-4.537e-07	-0.023038	-3.8536e-10	0.02305	5.1924e-07	-4.5428e-07	-0.010614	-1.7883e-10	0.010628	5.186e-07	-4.5166e-07	-0.0020758	-3.469e-11	0.0020784	5.1692e-07	-4.4886e-07	-7.0354e-05	1.0217e-10	7.0368e-05	5.171e-07	-4.4854e-07	-9.808e-07	2.3469e-10	9.0992e-07	5.1768e-07	-4.4884e-07	-7.95226e-08	3.8402e-10	1.0131e-08	5.1824e-07	-4.4924e-07
0.05	-0.036124	-7.348e-10	0.036138	5.1596e-07	-4.539e-07	-0.023012	-3.8855e-10	0.023018	5.1836e-07	-4.5434e-07	-0.010596	-1.8196e-10	0.010606	5.172e-07	-4.5154e-07	-0.0020688	-3.826e-11	0.00207	5.1596e-07	-4.4898e-07	-6.9966e-05	1.0021e-10	6.9944e-05	5.1602e-07	-4.4856e-07	-9.7016e-07	2.3094e-10	9.0796e-07	5.165e-07	-4.4882e-07	-7.83352e-08	3.8121e-10	1.00728e-08	5.1698e-07	-4.4938e-07
0.055	-0.03609	-7.371e-10	0.0361	5.1498e-07	-4.539e-07	-0.022984	-3.8885e-10	0.022992	5.1748e-07	-4.5434e-07	-0.010574	-1.8106e-10	0.010582	5.165e-07	-4.516e-07	-0.0020618	-3.539e-11	0.0020628	5.1484e-07	-4.4892e-07	-6.9532e-05	1.0147e-10	6.9496e-05	5.1482e-07	-4.4854e-07	-9.6732e-07	2.313e-10	8.9966e-07	5.1528e-07	-4.4882e-07	-7.71742e-08	3.8018e-10	1.00716e-08	5.1606e-07	-4.4926e-07
