vg	id_vd = 0.8V	ig_vd = 0.8V	is_vd = 0.8V	iavdd_vd = 0.8V	ignd_vd = 0.8V	id_vd = 0.81V	ig_vd = 0.81V	is_vd = 0.81V	iavdd_vd = 0.81V	ignd_vd = 0.81V	id_vd = 0.82V	ig_vd = 0.82V	is_vd = 0.82V	iavdd_vd = 0.82V	ignd_vd = 0.82V	id_vd = 0.83V	ig_vd = 0.83V	is_vd = 0.83V	iavdd_vd = 0.83V	ignd_vd = 0.83V	id_vd = 0.84V	ig_vd = 0.84V	is_vd = 0.84V	iavdd_vd = 0.84V	ignd_vd = 0.84V	id_vd = 0.85V	ig_vd = 0.85V	is_vd = 0.85V	iavdd_vd = 0.85V	ignd_vd = 0.85V	id_vd = 0.86V	ig_vd = 0.86V	is_vd = 0.86V	iavdd_vd = 0.86V	ignd_vd = 0.86V	id_vd = 0.87V	ig_vd = 0.87V	is_vd = 0.87V	iavdd_vd = 0.87V	ignd_vd = 0.87V	id_vd = 0.88V	ig_vd = 0.88V	is_vd = 0.88V	iavdd_vd = 0.88V	ignd_vd = 0.88V	id_vd = 0.89V	ig_vd = 0.89V	is_vd = 0.89V	iavdd_vd = 0.89V	ignd_vd = 0.89V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
1.2	-1.1092e-07	1.03506e-08	1.7395e-08	4.5488e-07	-3.7154e-07	-1.1036e-07	1.06864e-08	1.74278e-08	4.6458e-07	-3.8266e-07	-1.055e-07	1.06216e-08	1.66588e-08	4.6172e-07	-3.838e-07	-1.01e-07	1.05512e-08	1.59018e-08	4.593e-07	-3.8518e-07	-9.65708e-08	1.05154e-08	1.52086e-08	4.571e-07	-3.8668e-07	-9.22382e-08	1.04356e-08	1.44766e-08	4.544e-07	-3.8748e-07	-8.79034e-08	1.03274e-08	1.36344e-08	4.5154e-07	-3.878e-07	-8.4087e-08	1.02706e-08	1.29202e-08	4.49e-07	-3.8838e-07	-8.06222e-08	1.01408e-08	1.25272e-08	4.4606e-07	-3.8844e-07	-7.68976e-08	1.00618e-08	1.1892e-08	4.4356e-07	-3.8872e-07	-7.38168e-08	9.897e-09	1.12408e-08	4.4028e-07	-3.8774e-07
1.195	-1.1186e-07	9.7216e-09	1.90348e-08	4.5476e-07	-3.7168e-07	-1.1064e-07	9.9856e-09	1.905e-08	4.6398e-07	-3.8236e-07	-1.0584e-07	9.9056e-09	1.8204e-08	4.6134e-07	-3.8348e-07	-1.0144e-07	9.831e-09	1.7429e-08	4.5896e-07	-3.8486e-07	-9.67886e-08	9.7644e-09	1.65426e-08	4.5654e-07	-3.8602e-07	-9.25882e-08	9.6626e-09	1.57844e-08	4.536e-07	-3.8672e-07	-8.82974e-08	9.5878e-09	1.4912e-08	4.5086e-07	-3.8706e-07	-8.431e-08	9.4994e-09	1.4085e-08	4.484e-07	-3.8768e-07	-8.0831e-08	9.3766e-09	1.36696e-08	4.454e-07	-3.8778e-07	-7.71332e-08	9.3163e-09	1.29694e-08	4.4272e-07	-3.881e-07	-7.4268e-08	9.1716e-09	1.23236e-08	4.4012e-07	-3.8732e-07
1.19	-1.1286e-07	9.1299e-09	2.09502e-08	4.5466e-07	-3.7174e-07	-1.116e-07	9.328e-09	2.08178e-08	4.6312e-07	-3.8176e-07	-1.0674e-07	9.2598e-09	1.98686e-08	4.607e-07	-3.8314e-07	-1.0228e-07	9.1809e-09	1.90462e-08	4.5822e-07	-3.8426e-07	-9.77228e-08	9.1049e-09	1.81544e-08	4.559e-07	-3.8546e-07	-9.33062e-08	9.0186e-09	1.73374e-08	4.5302e-07	-3.8612e-07	-8.91148e-08	8.9347e-09	1.6362e-08	4.5032e-07	-3.8652e-07	-8.49728e-08	8.8621e-09	1.5427e-08	4.48e-07	-3.8712e-07	-8.15772e-08	8.7589e-09	1.50086e-08	4.4486e-07	-3.8722e-07	-7.77744e-08	8.6684e-09	1.42312e-08	4.4252e-07	-3.8758e-07	-7.49698e-08	8.5507e-09	1.35618e-08	4.3982e-07	-3.8696e-07
1.185	-1.1416e-07	8.6088e-09	2.2963e-08	4.5446e-07	-3.7184e-07	-1.1248e-07	8.7709e-09	2.27692e-08	4.6226e-07	-3.8122e-07	-1.0786e-07	8.7018e-09	2.17356e-08	4.5996e-07	-3.825e-07	-1.0344e-07	8.6091e-09	2.0881e-08	4.5782e-07	-3.8386e-07	-9.8667e-08	8.5399e-09	1.98478e-08	4.5532e-07	-3.8506e-07	-9.43742e-08	8.4424e-09	1.89474e-08	4.5258e-07	-3.8572e-07	-9.00852e-08	8.3643e-09	1.795e-08	4.5002e-07	-3.861e-07	-8.5928e-08	8.2728e-09	1.68698e-08	4.475e-07	-3.8676e-07	-8.2467e-08	8.1857e-09	1.6394e-08	4.4466e-07	-3.8672e-07	-7.8686e-08	8.1014e-09	1.55842e-08	4.4214e-07	-3.8708e-07	-7.58776e-08	7.9888e-09	1.49004e-08	4.3976e-07	-3.8664e-07
1.18	-1.1566e-07	8.1405e-09	2.5224e-08	4.5426e-07	-3.7198e-07	-1.1406e-07	8.2499e-09	2.50372e-08	4.6162e-07	-3.8086e-07	-1.0926e-07	8.1748e-09	2.38722e-08	4.595e-07	-3.822e-07	-1.0476e-07	8.085e-09	2.28652e-08	4.572e-07	-3.8346e-07	-9.99388e-08	8.013e-09	2.18146e-08	4.5476e-07	-3.8458e-07	-9.55934e-08	7.9221e-09	2.08138e-08	4.522e-07	-3.8522e-07	-9.12646e-08	7.8492e-09	1.9642e-08	4.4978e-07	-3.8572e-07	-8.71284e-08	7.7526e-09	1.8519e-08	4.473e-07	-3.8656e-07	-8.35566e-08	7.6616e-09	1.80302e-08	4.4444e-07	-3.8636e-07	-7.99082e-08	7.5844e-09	1.71172e-08	4.4194e-07	-3.8682e-07	-7.70058e-08	7.4737e-09	1.6345e-08	4.3952e-07	-3.8634e-07
1.175	-1.1746e-07	7.7008e-09	2.77002e-08	4.5414e-07	-3.7204e-07	-1.1558e-07	7.7862e-09	2.73768e-08	4.609e-07	-3.8054e-07	-1.1064e-07	7.7183e-09	2.61566e-08	4.587e-07	-3.819e-07	-1.0626e-07	7.6234e-09	2.51324e-08	4.5658e-07	-3.8324e-07	-1.01508e-07	7.5377e-09	2.3957e-08	4.54e-07	-3.8394e-07	-9.70412e-08	7.4527e-09	2.27636e-08	4.5156e-07	-3.8512e-07	-9.2853e-08	7.3779e-09	2.15672e-08	4.4926e-07	-3.8534e-07	-8.8527e-08	7.2857e-09	2.0337e-08	4.4686e-07	-3.8596e-07	-8.49996e-08	7.1831e-09	1.98092e-08	4.4416e-07	-3.861e-07	-8.117e-08	7.1089e-09	1.88052e-08	4.4172e-07	-3.8642e-07	-7.81938e-08	7.0127e-09	1.79804e-08	4.3934e-07	-3.8612e-07
1.17	-1.194e-07	7.2988e-09	3.03894e-08	4.5386e-07	-3.7204e-07	-1.1748e-07	7.35e-09	3.0066e-08	4.6022e-07	-3.803e-07	-1.1272e-07	7.2842e-09	2.87748e-08	4.5828e-07	-3.8184e-07	-1.0818e-07	7.1848e-09	2.75894e-08	4.5604e-07	-3.8286e-07	-1.032604e-07	7.1051e-09	2.6261e-08	4.5384e-07	-3.8392e-07	-9.86954e-08	7.0206e-09	2.50354e-08	4.5138e-07	-3.8464e-07	-9.45754e-08	6.9462e-09	2.3783e-08	4.489e-07	-3.8508e-07	-8.9978e-08	6.8494e-09	2.23452e-08	4.4654e-07	-3.856e-07	-8.6577e-08	6.761e-09	2.18094e-08	4.439e-07	-3.8586e-07	-8.27026e-08	6.6822e-09	2.06806e-08	4.4156e-07	-3.8612e-07	-7.97198e-08	6.5813e-09	1.9768e-08	4.3916e-07	-3.8584e-07
1.165	-1.2184e-07	6.9368e-09	3.34518e-08	4.5362e-07	-3.7206e-07	-1.197e-07	6.9735e-09	3.2945e-08	4.597e-07	-3.7994e-07	-1.148e-07	6.8999e-09	3.15426e-08	4.577e-07	-3.8132e-07	-1.1018e-07	6.8e-09	3.03162e-08	4.5566e-07	-3.826e-07	-1.054096e-07	6.7176e-09	2.88794e-08	4.534e-07	-3.8362e-07	-1.00699e-07	6.6342e-09	2.75762e-08	4.5088e-07	-3.8422e-07	-9.6422e-08	6.5651e-09	2.61026e-08	4.4852e-07	-3.8482e-07	-9.17364e-08	6.4673e-09	2.4588e-08	4.46e-07	-3.8534e-07	-8.83552e-08	6.3755e-09	2.39526e-08	4.4352e-07	-3.8548e-07	-8.44242e-08	6.3057e-09	2.2782e-08	4.4118e-07	-3.8584e-07	-8.13018e-08	6.2042e-09	2.17356e-08	4.391e-07	-3.8566e-07
1.16	-1.2456e-07	6.5932e-09	3.6848e-08	4.5318e-07	-3.7208e-07	-1.2224e-07	6.6116e-09	3.6258e-08	4.591e-07	-3.7976e-07	-1.1742e-07	6.537e-09	3.47586e-08	4.5722e-07	-3.8104e-07	-1.1264e-07	6.4444e-09	3.33968e-08	4.5524e-07	-3.8242e-07	-1.076926e-07	6.3666e-09	3.17332e-08	4.5292e-07	-3.8334e-07	-1.03171e-07	6.2786e-09	3.03056e-08	4.5044e-07	-3.8398e-07	-9.85992e-08	6.2036e-09	2.88084e-08	4.483e-07	-3.8456e-07	-9.39372e-08	6.1101e-09	2.70666e-08	4.4582e-07	-3.851e-07	-9.05172e-08	6.0211e-09	2.64432e-08	4.4324e-07	-3.8524e-07	-8.63888e-08	5.9493e-09	2.51038e-08	4.411e-07	-3.8564e-07	-8.32164e-08	5.8524e-09	2.39742e-08	4.3876e-07	-3.8536e-07
1.155	-1.2744e-07	6.2952e-09	4.06036e-08	4.5298e-07	-3.7218e-07	-1.255e-07	6.2943e-09	3.99136e-08	4.5864e-07	-3.7952e-07	-1.2038e-07	6.2177e-09	3.81962e-08	4.5674e-07	-3.8086e-07	-1.1284e-07	6.1237e-09	3.4056e-08	4.5476e-07	-3.8216e-07	-1.103956e-07	6.0425e-09	3.49194e-08	4.5244e-07	-3.8312e-07	-1.056092e-07	5.9538e-09	3.32888e-08	4.5016e-07	-3.8382e-07	-1.01077e-07	5.8864e-09	3.16772e-08	4.4782e-07	-3.8426e-07	-9.61612e-08	5.7869e-09	2.97266e-08	4.4558e-07	-3.8484e-07	-9.28472e-08	5.6997e-09	2.91334e-08	4.4302e-07	-3.8498e-07	-8.8776e-08	5.6255e-09	2.77096e-08	4.4072e-07	-3.854e-07	-8.53778e-08	5.5335e-09	2.63912e-08	4.3862e-07	-3.8518e-07
