vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-0.049988	-3.1522e-10	0.049984	3.7954e-07	-3.1978e-07	-0.035468	-1.5961e-10	0.035474	3.8078e-07	-3.182e-07	-0.020842	-6.939e-11	0.020854	3.8156e-07	-3.1632e-07	-0.0081766	-1.03e-12	0.0081754	3.8162e-07	-3.1484e-07	-0.0013088	7.843e-11	0.0013082	3.8178e-07	-3.1382e-07	-6.6022e-05	1.5992e-10	6.578e-05	3.8188e-07	-3.1352e-07	-2.0915e-06	2.701e-10	2.0264e-06	3.822e-07	-3.1342e-07
0.005	-0.049896	-3.18e-10	0.0499	3.7892e-07	-3.1984e-07	-0.035402	-1.6023e-10	0.035406	3.7964e-07	-3.1828e-07	-0.02079	-6.972e-11	0.02079	3.7996e-07	-3.1638e-07	-0.008136	-1.26e-12	0.008136	3.8072e-07	-3.1486e-07	-0.0012948	7.032e-11	0.0012954	3.8072e-07	-3.1384e-07	-6.4946e-05	1.5897e-10	6.4918e-05	3.8042e-07	-3.1356e-07	-2.0532e-06	2.7204e-10	1.9876e-06	3.8076e-07	-3.134e-07
0.01	-0.049826	-3.173e-10	0.04983	3.7818e-07	-3.1988e-07	-0.035332	-1.6206e-10	0.035334	3.7874e-07	-3.1836e-07	-0.020732	-7.128e-11	0.020732	3.7928e-07	-3.164e-07	-0.0080958	-4.47e-12	0.0080952	3.7954e-07	-3.1478e-07	-0.0012826	6.525e-11	0.0012828	3.7954e-07	-3.1376e-07	-6.3994e-05	1.523e-10	6.3956e-05	3.7966e-07	-3.136e-07	-2.0163e-06	2.6337e-10	1.9502e-06	3.8008e-07	-3.1344e-07
0.015	-0.049752	-3.15e-10	0.04975	3.7678e-07	-3.1998e-07	-0.035266	-1.6099e-10	0.035266	3.7762e-07	-3.184e-07	-0.020672	-7.325e-11	0.020674	3.7814e-07	-3.1646e-07	-0.0080556	-3.43e-12	0.0080552	3.7848e-07	-3.1488e-07	-0.0012702	6.806e-11	0.0012704	3.7852e-07	-3.1378e-07	-6.312e-05	1.5204e-10	6.303e-05	3.7856e-07	-3.1352e-07	-1.9771e-06	2.596e-10	1.9151e-06	3.7868e-07	-3.1346e-07
0.02	-0.049678	-3.1751e-10	0.049682	3.7614e-07	-3.2004e-07	-0.0352	-1.5938e-10	0.035196	3.7634e-07	-3.1836e-07	-0.020614	-7.406e-11	0.020614	3.7682e-07	-3.1652e-07	-0.0080154	-5.94e-12	0.0080146	3.7706e-07	-3.149e-07	-0.001258	6.892e-11	0.0012584	3.7742e-07	-3.1378e-07	-6.2162e-05	1.5033e-10	6.2106e-05	3.7756e-07	-3.136e-07	-1.9469e-06	2.5851e-10	1.8809e-06	3.7742e-07	-3.1348e-07
0.025	-0.049602	-3.1815e-10	0.049606	3.7482e-07	-3.2002e-07	-0.035126	-1.602e-10	0.035132	3.757e-07	-3.185e-07	-0.020552	-7.2e-11	0.020554	3.7604e-07	-3.1658e-07	-0.007972	-7.71e-12	0.007974	3.765e-07	-3.1492e-07	-0.001246	6.687e-11	0.0012466	3.7624e-07	-3.1368e-07	-6.1308e-05	1.4983e-10	6.1206e-05	3.7612e-07	-3.1352e-07	-1.9145e-06	2.5558e-10	1.8489e-06	3.766e-07	-3.1348e-07
0.03	-0.049532	-3.1773e-10	0.049528	3.7424e-07	-3.2004e-07	-0.03506	-1.6243e-10	0.035056	3.7484e-07	-3.185e-07	-0.020494	-7.24e-11	0.020496	3.75e-07	-3.1652e-07	-0.0079322	-4.89e-12	0.0079332	3.7524e-07	-3.1484e-07	-0.0012338	6.278e-11	0.0012344	3.7504e-07	-3.1378e-07	-6.0396e-05	1.4476e-10	6.0372e-05	3.753e-07	-3.1356e-07	-1.8808e-06	2.5167e-10	1.8173e-06	3.7522e-07	-3.1354e-07
0.035	-0.04945	-3.1717e-10	0.049452	3.7292e-07	-3.2006e-07	-0.034984	-1.6149e-10	0.034994	3.7384e-07	-3.1852e-07	-0.020434	-7.442e-11	0.020436	3.7394e-07	-3.1646e-07	-0.0078938	-6.62e-12	0.007892	3.7394e-07	-3.1488e-07	-0.001222	6.002e-11	0.001222	3.7386e-07	-3.1376e-07	-5.949e-05	1.4206e-10	5.9474e-05	3.7392e-07	-3.1354e-07	-1.8471e-06	2.4594e-10	1.7864e-06	3.744e-07	-3.1334e-07
0.04	-0.049376	-3.1756e-10	0.04938	3.7202e-07	-3.2012e-07	-0.034922	-1.6197e-10	0.034926	3.729e-07	-3.1848e-07	-0.020376	-7.58e-11	0.020374	3.7304e-07	-3.1652e-07	-0.0078542	-8.33e-12	0.0078516	3.7316e-07	-3.1488e-07	-0.00121	6.025e-11	0.0012098	3.7284e-07	-3.1378e-07	-5.8664e-05	1.4094e-10	5.8624e-05	3.7314e-07	-3.1356e-07	-1.813e-06	2.4455e-10	1.7532e-06	3.734e-07	-3.134e-07
0.045	-0.049298	-3.1879e-10	0.049302	3.7114e-07	-3.2012e-07	-0.034854	-1.6221e-10	0.034856	3.7186e-07	-3.1848e-07	-0.02031	-7.512e-11	0.020312	3.7202e-07	-3.1648e-07	-0.0078114	-1.249e-11	0.0078122	3.7238e-07	-3.1482e-07	-0.001198	6.021e-11	0.0011978	3.718e-07	-3.1368e-07	-5.7794e-05	1.4004e-10	5.7708e-05	3.7214e-07	-3.1356e-07	-1.781e-06	2.4156e-10	1.724e-06	3.7234e-07	-3.1346e-07
