|Vgs|	Gm_|Vds|=0.15V	Gm_|Vds|=0.3V	Gm_|Vds|=0.45V	Gm_|Vds|=0.6V	Gm_|Vds|=0.75V	Gm_|Vds|=0.9V
-0.3	-1.5999999999997e-10	-9.70000000000029e-09	-1.61600000000003e-08	-6.86800000000015e-08	-1.27520000000003e-07	-9.68800000000023e-08
-0.295	-1.45666666666665e-09	-7.92333333333341e-09	-1.74266666666667e-08	-5.0276666666667e-08	-1.10033333333334e-07	-1.1196e-07
-0.29	-1.98199999999999e-09	-6.25800000000004e-09	-1.256e-08	-3.73260000000002e-08	-8.53620000000002e-08	-1.19094e-07
-0.285	-2.399e-09	-5.26099999999999e-09	-1.0094e-08	-2.65319999999999e-08	-6.84739999999996e-08	-1.26536e-07
-0.28	-2.546e-09	-4.448e-09	-6.95600000000001e-09	-1.9082e-08	-5.25779999999999e-08	-1.30194e-07
-0.275	-2.369e-09	-4.227e-09	-4.75600000000002e-09	-1.693e-08	-4.19559999999999e-08	-1.25006e-07
-0.27	-2.154e-09	-4.43400000000001e-09	-5.06600000000002e-09	-1.5352e-08	-3.8592e-08	-1.18698e-07
-0.265	-2.005e-09	-4.32000000000001e-09	-5.82000000000003e-09	-1.3748e-08	-3.84399999999999e-08	-1.1483e-07
-0.26	-1.887e-09	-4.021e-09	-6.45800000000002e-09	-1.45879999999999e-08	-3.79879999999999e-08	-1.08502e-07
-0.255	-1.739e-09	-3.98e-09	-7.60399999999999e-09	-1.5016e-08	-3.77519999999999e-08	-1.01744e-07
-0.25	-1.606e-09	-3.8e-09	-7.78999999999998e-09	-1.3694e-08	-3.8066e-08	-1.00842e-07
-0.245	-1.501e-09	-3.31499999999999e-09	-7.40199999999997e-09	-1.6126e-08	-3.645e-08	-1.03724e-07
-0.24	-1.438e-09	-3.154e-09	-7.39799999999999e-09	-1.964e-08	-3.29140000000001e-08	-1.01428e-07
-0.235	-1.46200000000001e-09	-3.24100000000001e-09	-6.81000000000001e-09	-1.5776e-08	-3.14100000000002e-08	-9.57580000000002e-08
-0.23	-1.40200000000001e-09	-2.984e-09	-5.88999999999999e-09	-1.0924e-08	-3.17280000000001e-08	-9.38980000000003e-08
-0.225	-1.26200000000001e-09	-2.805e-09	-5.422e-09	-1.2366e-08	-3.00060000000001e-08	-8.87460000000004e-08
-0.22	-1.10000000000001e-09	-2.854e-09	-5.20400000000002e-09	-1.4244e-08	-2.7964e-08	-7.82680000000004e-08
-0.215	-8.4600000000001e-10	-2.691e-09	-4.99800000000002e-09	-1.186e-08	-2.8414e-08	-7.61460000000004e-08
-0.21	-5.37000000000001e-10	-2.27099999999999e-09	-4.47999999999998e-09	-9.77800000000002e-09	-2.7088e-08	-8.10439999999999e-08
-0.205	-4.39999999999998e-10	-1.828e-09	-4.182e-09	-1.03340000000001e-08	-2.34360000000001e-08	-8.02859999999998e-08
-0.2	-3.17999999999998e-10	-1.51900000000001e-09	-3.76000000000001e-09	-8.68200000000005e-09	-2.21180000000001e-08	-7.68959999999998e-08
-0.195	-2.99999999999988e-11	-1.38000000000001e-09	-1.86799999999999e-09	-3.42800000000001e-09	-2.23520000000001e-08	-7.49339999999999e-08
-0.19	1.97000000000002e-10	-1.096e-09	-4.37999999999993e-10	-2.21800000000003e-09	-2.11800000000001e-08	-6.9238e-08
-0.185	4.99000000000002e-10	-3.76000000000007e-10	-6.68000000000006e-10	-6.35000000000001e-09	-1.9146e-08	-6.0244e-08
-0.18	9.54e-10	1.67999999999994e-10	-1.9600000000001e-10	-6.71999999999997e-09	-1.7896e-08	-5.5796e-08
-0.175	1.619e-09	6.73999999999999e-10	3.79999999999984e-10	-4.12799999999997e-09	-1.7282e-08	-5.49699999999999e-08
-0.17	1.994e-09	1.81e-09	-8.20000000000167e-11	-2.88799999999999e-09	-1.45939999999999e-08	-5.24059999999999e-08
-0.165	2.318e-09	2.80499999999999e-09	4.07999999999993e-10	-6.97999999999957e-10	-9.99399999999989e-09	-4.96539999999998e-08
-0.16	3.335e-09	3.266e-09	1.74e-09	7.82000000000066e-10	-7.00799999999996e-09	-4.79159999999998e-08
-0.155	4.433e-09	4.15500000000001e-09	2.94400000000001e-09	6.32000000000028e-10	-5.59599999999998e-09	-4.34019999999999e-08
-0.15	5.21299999999999e-09	5.45100000000001e-09	4.57200000000001e-09	1.83799999999999e-09	-3.308e-09	-3.57560000000001e-08
-0.145	6.41299999999999e-09	6.541e-09	6.53600000000001e-09	4.65399999999999e-09	-8.60000000000114e-10	-2.96820000000001e-08
-0.14	7.96399999999999e-09	7.936e-09	8.72e-09	8.93199999999997e-09	9.53999999999837e-10	-2.62300000000001e-08
-0.135	9.12199999999999e-09	9.73e-09	1.1308e-08	1.38919999999999e-08	3.71999999999991e-09	-2.2888e-08
-0.13	1.0464e-08	1.1633e-08	1.3888e-08	1.73359999999999e-08	8.7e-09	-1.70000000000001e-08
-0.125	1.2249e-08	1.3952e-08	1.6616e-08	1.7812e-08	1.4516e-08	-9.9220000000001e-09
-0.12	1.4486e-08	1.7011e-08	1.959e-08	1.8708e-08	1.83020000000001e-08	-1.42800000000006e-09
-0.115	1.7112e-08	2.0564e-08	2.231e-08	2.3048e-08	2.25520000000001e-08	1.02959999999999e-08
-0.11	1.995e-08	2.4311e-08	2.62220000000001e-08	2.99860000000001e-08	3.00580000000002e-08	2.42780000000001e-08
-0.105	2.3407e-08	2.8552e-08	3.1908e-08	3.90340000000001e-08	3.91000000000001e-08	3.66380000000002e-08
-0.1	2.7503e-08	3.3692e-08	3.8292e-08	5.03880000000001e-08	4.8098e-08	4.48360000000001e-08
-0.095	3.2185e-08	3.9527e-08	4.6332e-08	6.15840000000001e-08	5.95200000000001e-08	5.40240000000001e-08
-0.09	3.7689e-08	4.6007e-08	5.6228e-08	7.01660000000001e-08	7.48140000000001e-08	6.82180000000003e-08
-0.085	4.4183e-08	5.40719999999999e-08	6.64799999999999e-08	8.00859999999999e-08	9.05259999999999e-08	8.53400000000001e-08
-0.08	5.1666e-08	6.3847e-08	7.81219999999999e-08	9.33519999999999e-08	1.07216e-07	1.0722e-07
-0.075	6.0464e-08	7.4913e-08	9.23959999999999e-08	1.09294e-07	1.28674e-07	1.36798e-07
-0.07	7.03189999999999e-08	8.76729999999999e-08	1.07946e-07	1.28878e-07	1.5374e-07	1.68468e-07
-0.0649999999999999	8.15479999999999e-08	1.0254e-07	1.25372e-07	1.5245e-07	1.79668e-07	2.0069e-07
-0.0599999999999999	9.49079999999999e-08	1.19511e-07	1.46202e-07	1.7871e-07	2.09886e-07	2.3856e-07
-0.0549999999999999	1.10393e-07	1.39218e-07	1.69862e-07	2.09312e-07	2.48178e-07	2.84058e-07
-0.0499999999999999	1.28426e-07	1.62231e-07	1.96676e-07	2.45226000000001e-07	2.93106000000001e-07	3.36612000000001e-07
-0.0449999999999999	1.49653000000001e-07	1.88631000000001e-07	2.29864000000001e-07	2.84214000000001e-07	3.44464000000002e-07	3.98684000000002e-07
