vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
1.2	-9.0848e-08	1.22968e-08	1.7811e-10	9.4512e-07	-8.671e-07	-5.75178e-08	1.25274e-08	1.6148e-10	9.4582e-07	-9.0078e-07	-3.53462e-08	1.22564e-08	1.6645e-10	9.267e-07	-9.0364e-07	-2.01466e-08	1.21914e-08	1.6159e-10	9.1302e-07	-9.0508e-07	-9.1132e-09	1.20756e-08	1.5897e-10	9.0242e-07	-9.0548e-07	-1.7264e-09	1.19196e-08	1.5641e-10	8.956e-07	-9.0598e-07	3.1732e-09	1.18706e-08	1.5611e-10	8.9e-07	-9.049e-07
1.195	-9.13458e-08	1.12066e-08	1.7986e-10	9.476e-07	-8.6758e-07	-5.72516e-08	1.13466e-08	1.7152e-10	9.4618e-07	-9.005e-07	-3.52634e-08	1.10978e-08	1.6552e-10	9.2732e-07	-9.0342e-07	-2.01102e-08	1.10208e-08	1.6481e-10	9.1382e-07	-9.0472e-07	-9.0876e-09	1.0932e-08	1.6409e-10	9.036e-07	-9.0568e-07	-1.7179e-09	1.07944e-08	1.632e-10	8.9642e-07	-9.0568e-07	3.1683e-09	1.07422e-08	1.621e-10	8.9096e-07	-9.0514e-07
1.19	-9.1289e-08	1.02132e-08	1.8274e-10	9.4876e-07	-8.6792e-07	-5.7288e-08	1.02868e-08	1.6827e-10	9.468e-07	-9.0006e-07	-3.51714e-08	1.00616e-08	1.6607e-10	9.2762e-07	-9.027e-07	-2.00946e-08	9.9716e-09	1.634e-10	9.1434e-07	-9.0446e-07	-9.0681e-09	9.897e-09	1.5757e-10	9.0434e-07	-9.0524e-07	-1.7104e-09	9.7934e-09	1.5992e-10	8.9742e-07	-9.0578e-07	3.1678e-09	9.7422e-09	1.6256e-10	8.9166e-07	-9.0482e-07
1.185	-9.12328e-08	9.3076e-09	1.8082e-10	9.5002e-07	-8.6846e-07	-5.72184e-08	9.3232e-09	1.6632e-10	9.4698e-07	-8.9896e-07	-3.51584e-08	9.1209e-09	1.6924e-10	9.279e-07	-9.0216e-07	-2.00336e-08	9.0277e-09	1.6891e-10	9.1494e-07	-9.038e-07	-9.0476e-09	8.9664e-09	1.6356e-10	9.05e-07	-9.052e-07	-1.7043e-09	8.8524e-09	1.6474e-10	8.9802e-07	-9.0548e-07	3.1723e-09	8.8282e-09	1.6582e-10	8.9286e-07	-9.0506e-07
1.18	-9.12182e-08	8.4889e-09	1.8628e-10	9.5184e-07	-8.6908e-07	-5.71206e-08	8.4918e-09	1.7264e-10	9.4696e-07	-8.987e-07	-3.51168e-08	8.2585e-09	1.7016e-10	9.285e-07	-9.0144e-07	-2.00086e-08	8.1966e-09	1.6867e-10	9.1542e-07	-9.0378e-07	-9.0254e-09	8.1183e-09	1.6614e-10	9.0548e-07	-9.0484e-07	-1.7036e-09	8.0125e-09	1.6405e-10	8.9862e-07	-9.0496e-07	3.17e-09	7.9739e-09	1.6777e-10	8.9364e-07	-9.0494e-07
1.175	-9.1124e-08	7.765e-09	1.8596e-10	9.5308e-07	-8.6972e-07	-5.71538e-08	7.74e-09	1.7556e-10	9.4684e-07	-8.9774e-07	-3.5105e-08	7.532e-09	1.7103e-10	9.2854e-07	-9.0162e-07	-2.0024e-08	7.4492e-09	1.7301e-10	9.1568e-07	-9.0348e-07	-9.0097e-09	7.3974e-09	1.6813e-10	9.059e-07	-9.0448e-07	-1.7025e-09	7.3038e-09	1.6697e-10	8.9908e-07	-9.0454e-07	3.1708e-09	7.2344e-09	1.6574e-10	8.944e-07	-9.054e-07
1.17	-9.09386e-08	7.0772e-09	1.8403e-10	9.5404e-07	-8.705e-07	-5.70672e-08	7.0226e-09	1.7862e-10	9.4726e-07	-8.9748e-07	-3.50552e-08	6.8463e-09	1.7268e-10	9.2886e-07	-9.0074e-07	-2.00154e-08	6.7469e-09	1.7345e-10	9.1614e-07	-9.028e-07	-8.9992e-09	6.6939e-09	1.7315e-10	9.0658e-07	-9.0434e-07	-1.7056e-09	6.5934e-09	1.7264e-10	8.9986e-07	-9.0486e-07	3.1696e-09	6.5371e-09	1.7061e-10	8.9494e-07	-9.0512e-07
1.165	-9.08646e-08	6.4881e-09	1.8911e-10	9.5508e-07	-8.706e-07	-5.69576e-08	6.408e-09	1.7773e-10	9.4736e-07	-8.9702e-07	-3.50082e-08	6.2336e-09	1.7771e-10	9.2896e-07	-9.0048e-07	-1.99774e-08	6.1514e-09	1.7391e-10	9.1654e-07	-9.0282e-07	-9.0184e-09	6.0929e-09	1.73e-10	9.0698e-07	-9.0412e-07	-1.6895e-09	5.9925e-09	1.7328e-10	9.0042e-07	-9.0464e-07	3.1706e-09	5.958e-09	1.7179e-10	8.9558e-07	-9.049e-07
1.16	-9.07248e-08	5.9366e-09	1.918e-10	9.558e-07	-8.7128e-07	-5.69152e-08	5.8543e-09	1.8363e-10	9.4756e-07	-8.9646e-07	-3.4991e-08	5.6748e-09	1.775e-10	9.2934e-07	-9.0018e-07	-1.99828e-08	5.5807e-09	1.7406e-10	9.1682e-07	-9.0258e-07	-9.0126e-09	5.5294e-09	1.81e-10	9.0738e-07	-9.0398e-07	-1.6955e-09	5.4444e-09	1.7678e-10	9.0086e-07	-9.0466e-07	3.1717e-09	5.3982e-09	1.71e-10	8.962e-07	-9.0484e-07
1.155	-9.07228e-08	5.4295e-09	1.9503e-10	9.5652e-07	-8.7174e-07	-5.69402e-08	5.3483e-09	1.7775e-10	9.4738e-07	-8.9598e-07	-3.49302e-08	5.1675e-09	1.81e-10	9.2962e-07	-9.0016e-07	-1.99712e-08	5.0943e-09	1.8025e-10	9.169e-07	-9.0214e-07	-8.9977e-09	5.0245e-09	1.7583e-10	9.0778e-07	-9.0386e-07	-1.6918e-09	4.9488e-09	1.7446e-10	9.0066e-07	-9.0454e-07	3.1698e-09	4.9113e-09	1.7161e-10	8.9638e-07	-9.046e-07
