vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-0.04359	-4.9672e-10	0.04359	7.1876e-07	-6.5554e-07	-0.029822	-2.5755e-10	0.02983	7.1534e-07	-6.4868e-07	-0.016344	-1.1888e-10	0.016356	7.1064e-07	-6.4146e-07	-0.0055122	-2.786e-11	0.0055102	7.0412e-07	-6.3382e-07	-0.00068358	5.237e-11	0.00068346	7.0068e-07	-6.2974e-07	-3.0098e-05	1.8301e-10	3.0056e-05	7.0018e-07	-6.2928e-07	-9.9842e-07	3.33e-10	9.2684e-07	7.0056e-07	-6.285e-07
0.005	-0.043502	-4.8883e-10	0.043512	7.1912e-07	-6.556e-07	-0.02976	-2.5767e-10	0.02977	7.1458e-07	-6.4854e-07	-0.016294	-1.2104e-10	0.016304	7.0914e-07	-6.4138e-07	-0.0054794	-2.774e-11	0.0054774	7.0296e-07	-6.3386e-07	-0.000676	4.977e-11	0.00067594	6.9932e-07	-6.2966e-07	-2.9682e-05	1.7845e-10	2.9602e-05	6.9924e-07	-6.2904e-07	-9.8138e-07	3.2647e-10	9.1048e-07	6.9916e-07	-6.288e-07
0.01	-0.043434	-4.8892e-10	0.043444	7.1872e-07	-6.562e-07	-0.029702	-2.5873e-10	0.029712	7.138e-07	-6.488e-07	-0.016242	-1.2117e-10	0.016246	7.0842e-07	-6.415e-07	-0.0054478	-2.974e-11	0.0054452	7.0188e-07	-6.3404e-07	-0.0006689	4.866e-11	0.00066854	6.9868e-07	-6.3002e-07	-2.9216e-05	1.7225e-10	2.9196e-05	6.984e-07	-6.2922e-07	-9.64e-07	3.239e-10	8.9346e-07	6.982e-07	-6.2878e-07
0.015	-0.043364	-4.887e-10	0.043376	7.1828e-07	-6.5632e-07	-0.029638	-2.5823e-10	0.029652	7.1304e-07	-6.489e-07	-0.016192	-1.2033e-10	0.016196	7.0722e-07	-6.4134e-07	-0.0054132	-2.985e-11	0.0054122	7.0108e-07	-6.3376e-07	-0.00066152	4.722e-11	0.00066162	6.976e-07	-6.2986e-07	-2.8816e-05	1.6716e-10	2.8722e-05	6.9728e-07	-6.2926e-07	-9.479e-07	3.1844e-10	8.7864e-07	6.9742e-07	-6.2876e-07
0.02	-0.043286	-4.8781e-10	0.0433	7.1716e-07	-6.5656e-07	-0.02958	-2.5826e-10	0.02958	7.1218e-07	-6.491e-07	-0.016136	-1.2045e-10	0.016144	7.0592e-07	-6.4108e-07	-0.0053818	-2.979e-11	0.0053804	6.9988e-07	-6.3386e-07	-0.00065492	4.506e-11	0.00065478	6.968e-07	-6.301e-07	-2.8356e-05	1.6401e-10	2.8318e-05	6.9586e-07	-6.2888e-07	-9.3158e-07	3.1393e-10	8.629e-07	6.9636e-07	-6.288e-07
0.025	-0.04322	-4.8902e-10	0.043222	7.1676e-07	-6.57e-07	-0.029516	-2.5983e-10	0.029522	7.1116e-07	-6.4938e-07	-0.016082	-1.2113e-10	0.016092	7.0514e-07	-6.414e-07	-0.0053502	-3.092e-11	0.0053512	6.9894e-07	-6.3392e-07	-0.00064724	4.372e-11	0.00064756	6.9568e-07	-6.299e-07	-2.7958e-05	1.5819e-10	2.7914e-05	6.9512e-07	-6.2898e-07	-9.1518e-07	3.1144e-10	8.4784e-07	6.9522e-07	-6.287e-07
0.03	-0.043154	-4.8802e-10	0.043162	7.1556e-07	-6.5686e-07	-0.029448	-2.5862e-10	0.029452	7.102e-07	-6.4926e-07	-0.016032	-1.209e-10	0.01604	7.0396e-07	-6.415e-07	-0.0053206	-3.137e-11	0.0053208	6.9796e-07	-6.3388e-07	-0.00064038	4.218e-11	0.00064048	6.946e-07	-6.299e-07	-2.755e-05	1.5309e-10	2.7498e-05	6.942e-07	-6.2938e-07	-8.993e-07	3.0608e-10	8.3318e-07	6.9438e-07	-6.2876e-07
0.035	-0.043082	-4.8753e-10	0.043092	7.151e-07	-6.5672e-07	-0.029382	-2.5917e-10	0.02939	7.0962e-07	-6.4948e-07	-0.015972	-1.2243e-10	0.015988	7.0304e-07	-6.412e-07	-0.0052894	-3.213e-11	0.0052922	6.9686e-07	-6.3398e-07	-0.00063348	4.082e-11	0.00063318	6.934e-07	-6.298e-07	-2.7132e-05	1.4823e-10	2.7066e-05	6.931e-07	-6.2912e-07	-8.8342e-07	3.0318e-10	8.1862e-07	6.9316e-07	-6.2878e-07
0.04	-0.043012	-4.8878e-10	0.043024	7.1426e-07	-6.5696e-07	-0.029316	-2.5992e-10	0.029322	7.0846e-07	-6.494e-07	-0.015922	-1.2182e-10	0.015934	7.0258e-07	-6.4166e-07	-0.005258	-3.295e-11	0.0052584	6.9604e-07	-6.3382e-07	-0.00062658	4.034e-11	0.00062708	6.925e-07	-6.298e-07	-2.6702e-05	1.4427e-10	2.664e-05	6.9202e-07	-6.2918e-07	-8.6762e-07	2.9954e-10	8.0434e-07	6.9258e-07	-6.2888e-07
0.045	-0.04294	-4.8703e-10	0.042952	7.134e-07	-6.5708e-07	-0.02925	-2.5954e-10	0.029264	7.0792e-07	-6.4984e-07	-0.015872	-1.2193e-10	0.015882	7.0162e-07	-6.4166e-07	-0.0052284	-3.433e-11	0.005228	6.9468e-07	-6.3358e-07	-0.00062002	3.873e-11	0.00061982	6.9178e-07	-6.2986e-07	-2.6286e-05	1.3949e-10	2.629e-05	6.9076e-07	-6.2918e-07	-8.5238e-07	2.9402e-10	7.8962e-07	6.9154e-07	-6.2878e-07
