vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
1.2	-8.00924e-08	2.3215e-09	1.3653e-09	7.0318e-07	-6.2666e-07	-4.85472e-08	2.209e-09	6.6052e-10	6.8216e-07	-6.3674e-07	-2.84764e-08	2.0639e-09	3.2554e-10	6.6216e-07	-6.3618e-07	-1.58118e-08	1.9097e-09	1.6271e-10	6.4842e-07	-6.3448e-07	-7.5843e-09	1.7959e-09	8.183e-11	6.3892e-07	-6.3316e-07	-2.6679e-09	1.7472e-09	4.363e-11	6.3172e-07	-6.3082e-07	3.889e-10	1.7205e-09	6.41e-12	6.2814e-07	-6.3028e-07
1.195	-8.01586e-08	2.1469e-09	1.4991e-09	7.0344e-07	-6.2686e-07	-4.79918e-08	2.0092e-09	7.3541e-10	6.815e-07	-6.3624e-07	-2.83132e-08	1.8677e-09	3.6169e-10	6.617e-07	-6.3558e-07	-1.5763e-08	1.728e-09	1.8189e-10	6.482e-07	-6.34e-07	-7.5868e-09	1.6098e-09	9.332e-11	6.3868e-07	-6.3248e-07	-2.6718e-09	1.5704e-09	4.97e-11	6.3202e-07	-6.3094e-07	3.8493e-10	1.5455e-09	5.07e-12	6.2838e-07	-6.301e-07
1.19	-8.00394e-08	1.9903e-09	1.6524e-09	7.033e-07	-6.2684e-07	-4.8075e-08	1.8414e-09	8.1568e-10	6.81e-07	-6.356e-07	-2.83264e-08	1.7075e-09	4.0303e-10	6.6138e-07	-6.3514e-07	-1.57714e-08	1.5613e-09	2.037e-10	6.4794e-07	-6.3402e-07	-7.5979e-09	1.4508e-09	1.0495e-10	6.3848e-07	-6.3244e-07	-2.6703e-09	1.4098e-09	5.462e-11	6.3212e-07	-6.3082e-07	3.8516e-10	1.3897e-09	9.12e-12	6.2844e-07	-6.3e-07
1.185	-7.9992e-08	1.8345e-09	1.8274e-09	7.0288e-07	-6.2684e-07	-4.80796e-08	1.695e-09	9.0036e-10	6.8042e-07	-6.3502e-07	-2.83518e-08	1.557e-09	4.4657e-10	6.6108e-07	-6.3476e-07	-1.5851e-08	1.4093e-09	2.2449e-10	6.4806e-07	-6.336e-07	-7.6102e-09	1.3033e-09	1.1956e-10	6.3844e-07	-6.3228e-07	-2.6624e-09	1.268e-09	5.987e-11	6.319e-07	-6.3058e-07	3.8559e-10	1.2459e-09	9.82e-12	6.2844e-07	-6.3034e-07
1.18	-8.00102e-08	1.7012e-09	2.0218e-09	7.0324e-07	-6.2676e-07	-4.80864e-08	1.5717e-09	9.9956e-10	6.8048e-07	-6.346e-07	-2.83826e-08	1.4265e-09	4.9726e-10	6.6088e-07	-6.3438e-07	-1.57902e-08	1.2746e-09	2.5271e-10	6.4766e-07	-6.3346e-07	-7.6015e-09	1.1755e-09	1.2933e-10	6.388e-07	-6.3226e-07	-2.6809e-09	1.1427e-09	6.979e-11	6.3254e-07	-6.3092e-07	3.8544e-10	1.1206e-09	9.12e-12	6.289e-07	-6.305e-07
1.175	-7.98654e-08	1.5886e-09	2.2352e-09	7.0336e-07	-6.2706e-07	-4.80272e-08	1.4478e-09	1.10563e-09	6.7964e-07	-6.3422e-07	-2.83534e-08	1.3056e-09	5.5256e-10	6.6094e-07	-6.3432e-07	-1.58076e-08	1.1565e-09	2.7814e-10	6.4752e-07	-6.334e-07	-7.6094e-09	1.0611e-09	1.4339e-10	6.3878e-07	-6.3232e-07	-2.698e-09	1.0246e-09	7.899e-11	6.322e-07	-6.3046e-07	3.8378e-10	1.0044e-09	1.146e-11	6.2896e-07	-6.303e-07
1.17	-7.99772e-08	1.4881e-09	2.4783e-09	7.0288e-07	-6.2674e-07	-4.80028e-08	1.3387e-09	1.228e-09	6.7924e-07	-6.3376e-07	-2.84414e-08	1.1952e-09	6.1463e-10	6.6082e-07	-6.34e-07	-1.5855e-08	1.048e-09	3.1118e-10	6.4744e-07	-6.3268e-07	-7.6016e-09	9.5566e-10	1.639e-10	6.385e-07	-6.3206e-07	-2.6928e-09	9.2347e-10	8.257e-11	6.322e-07	-6.3054e-07	3.8535e-10	9.0602e-10	1.126e-11	6.2862e-07	-6.2992e-07
1.165	-8.00748e-08	1.3841e-09	2.7412e-09	7.0292e-07	-6.2688e-07	-4.81182e-08	1.2387e-09	1.3699e-09	6.7886e-07	-6.3358e-07	-2.84718e-08	1.098e-09	6.8633e-10	6.6046e-07	-6.3388e-07	-1.58596e-08	9.4944e-10	3.4842e-10	6.4732e-07	-6.325e-07	-7.5967e-09	8.6114e-10	1.7947e-10	6.3838e-07	-6.3184e-07	-2.704e-09	8.3253e-10	9.6e-11	6.3222e-07	-6.3038e-07	3.8345e-10	8.1162e-10	9.2e-12	6.2888e-07	-6.3e-07
1.16	-8.00152e-08	1.2952e-09	3.0377e-09	7.0274e-07	-6.269e-07	-4.82746e-08	1.1451e-09	1.5081e-09	6.7886e-07	-6.3318e-07	-2.8521e-08	1.0115e-09	7.6615e-10	6.6e-07	-6.3304e-07	-1.58794e-08	8.6258e-10	3.9057e-10	6.4736e-07	-6.3234e-07	-7.574e-09	7.797e-10	2.0136e-10	6.3856e-07	-6.3182e-07	-2.7094e-09	7.4804e-10	1.0679e-10	6.321e-07	-6.303e-07	3.8703e-10	7.2865e-10	1.107e-11	6.288e-07	-6.2996e-07
1.155	-8.03824e-08	1.2164e-09	3.3597e-09	7.0256e-07	-6.2682e-07	-4.83574e-08	1.0661e-09	1.6852e-09	6.7838e-07	-6.3292e-07	-2.85718e-08	9.325e-10	8.5261e-10	6.6004e-07	-6.332e-07	-1.59064e-08	7.8495e-10	4.3572e-10	6.4694e-07	-6.323e-07	-7.5809e-09	7.0398e-10	2.2778e-10	6.3852e-07	-6.3142e-07	-2.7179e-09	6.7301e-10	1.1936e-10	6.3236e-07	-6.303e-07	3.8713e-10	6.5597e-10	1.434e-11	6.2896e-07	-6.3018e-07
