|Vgs|	Gm_|Vds|=0.15V	Gm_|Vds|=0.3V	Gm_|Vds|=0.45V	Gm_|Vds|=0.6V	Gm_|Vds|=0.75V	Gm_|Vds|=0.9V
-0.3	-4.46000000000014e-09	-8.4800000000003e-09	-1.30800000000002e-08	-5.31200000000015e-08	-1.55760000000003e-07	-1.80000000000004e-07
-0.295	-3.45500000000003e-09	-6.56666666666676e-09	-1.19066666666667e-08	-4.21366666666671e-08	-1.31526666666667e-07	-1.92333333333334e-07
-0.29	-2.22800000000002e-09	-4.50200000000005e-09	-1.2084e-08	-3.47460000000003e-08	-1.07588e-07	-1.98938e-07
-0.285	-1.49099999999999e-09	-3.53599999999999e-09	-1.14959999999999e-08	-2.9018e-08	-9.11339999999995e-08	-2.04497999999999e-07
-0.28	-1.194e-09	-3.309e-09	-1.0472e-08	-2.4638e-08	-7.5114e-08	-2.06238e-07
-0.275	-1.171e-09	-3.463e-09	-9.69599999999999e-09	-2.3702e-08	-6.5872e-08	-2.01828e-07
-0.27	-1.238e-09	-3.47899999999999e-09	-9.04199999999996e-09	-2.3966e-08	-6.3822e-08	-1.95178e-07
-0.265	-1.39900000000001e-09	-3.4e-09	-8.35599999999996e-09	-2.3588e-08	-6.118e-08	-1.87034e-07
-0.26	-1.40300000000001e-09	-3.164e-09	-7.93399999999997e-09	-2.2866e-08	-5.65699999999999e-08	-1.76914e-07
-0.255	-1.18900000000001e-09	-2.09299999999999e-09	-7.63399999999996e-09	-2.121e-08	-5.48319999999998e-08	-1.6813e-07
-0.25	-1.04900000000001e-09	-1.12399999999999e-09	-7.13399999999996e-09	-1.9204e-08	-5.50079999999998e-08	-1.60122e-07
-0.245	-1.013e-09	-1.44199999999999e-09	-6.354e-09	-1.7504e-08	-5.21099999999999e-08	-1.51454e-07
-0.24	-1.00799999999999e-09	-1.68899999999999e-09	-5.53800000000005e-09	-1.593e-08	-4.931e-08	-1.44036e-07
-0.235	-9.60999999999995e-10	-1.46099999999999e-09	-5.5280000000001e-09	-1.50100000000001e-08	-5.04420000000003e-08	-1.37998000000001e-07
-0.23	-7.91999999999993e-10	-1.817e-09	-6.08000000000011e-09	-1.42860000000001e-08	-4.96040000000003e-08	-1.33884e-07
-0.225	-5.44999999999996e-10	-1.91300000000001e-09	-6.04200000000007e-09	-1.31160000000001e-08	-4.56820000000002e-08	-1.33072e-07
