|Vgs|	Gm_|Vds|=0.15V	Gm_|Vds|=0.3V	Gm_|Vds|=0.45V	Gm_|Vds|=0.6V	Gm_|Vds|=0.75V	Gm_|Vds|=0.9V
-0.3	5.6400000000002e-09	-2.20000000000006e-09	-4.20000000000022e-09	-2.86400000000008e-08	-4.52400000000014e-08	-1.8320000000001e-08
-0.295	1.30666666666674e-09	-6.12999999999999e-09	-2.64333333333343e-09	-1.97200000000001e-08	-3.58333333333337e-08	-2.32666666666671e-08
-0.29	5.0000000000036e-11	-2.65999999999999e-09	-2.82800000000003e-09	-1.30820000000001e-08	-2.64360000000003e-08	-3.0004e-08
-0.285	-9.57000000000007e-10	-1.14399999999999e-09	-2.52599999999998e-09	-8.19399999999994e-09	-1.9958e-08	-3.29099999999997e-08
-0.28	-6.33000000000008e-10	-3.83999999999994e-10	-2.42599999999997e-09	-4.94000000000001e-09	-1.42340000000001e-08	-3.52659999999996e-08
-0.275	1.79999999999989e-10	1.23e-09	-2.536e-09	-4.39400000000003e-09	-1.13080000000001e-08	-3.36659999999997e-08
-0.27	8.14999999999993e-10	1.973e-09	-2.27600000000002e-09	-4.56999999999998e-09	-1.1214e-08	-2.74779999999998e-08
-0.265	1.205e-09	3.45999999999998e-10	-1.82800000000001e-09	-4.32799999999993e-09	-1.1656e-08	-2.2948e-08
-0.26	1.49000000000004e-10	-1.21999999999999e-09	-1.69000000000001e-09	-4.19799999999995e-09	-1.14560000000001e-08	-2.13720000000001e-08
-0.255	-1.465e-09	-8.98999999999998e-10	-1.89399999999999e-09	-3.94799999999997e-09	-1.1124e-08	-1.91660000000002e-08
-0.25	-1.992e-09	-1.31000000000011e-10	-2.20599999999996e-09	-3.31199999999995e-09	-9.36199999999993e-09	-1.86180000000002e-08
-0.245	-2.037e-09	-4.39000000000014e-10	-2.10799999999995e-09	-3.02999999999999e-09	-7.35400000000001e-09	-2.16020000000001e-08
-0.24	-1.34200000000001e-09	-7.80000000000015e-10	-1.43799999999997e-09	-3.28000000000004e-09	-7.95400000000003e-09	-2.5128e-08
-0.235	2.85000000000008e-10	-2.08000000000012e-10	-1.13999999999999e-09	-3.36400000000004e-09	-8.95000000000003e-09	-2.61420000000002e-08
-0.23	1.38600000000001e-09	-2.17000000000002e-10	-1.51400000000001e-09	-2.982e-09	-9.1e-09	-2.39620000000001e-08
-0.225	1.22100000000002e-09	-1.19999999999999e-09	-1.89800000000003e-09	-2.722e-09	-1.0126e-08	-2.3374e-08
-0.22	7.88000000000017e-10	-1.27299999999999e-09	-2.33200000000002e-09	-2.566e-09	-1.0274e-08	-2.3844e-08
-0.215	3.25000000000024e-10	-5.54999999999982e-10	-3.00000000000001e-09	-2.50200000000001e-09	-7.75800000000002e-09	-2.03780000000001e-08
-0.21	-1.02199999999999e-09	-7.89999999999993e-10	4.27799999999998e-09	-3.34200000000002e-09	-5.57400000000004e-09	-1.7926e-08
-0.205	-1.96599999999999e-09	-1.226e-09	2.0004e-08	-4.04000000000001e-09	-4.8800000000001e-09	-1.9214e-08
-0.2	-9.13999999999994e-10	-5.52999999999999e-10	2.8374e-08	-3.75000000000001e-09	-5.37800000000003e-09	-1.79040000000001e-08
-0.195	-1.28999999999998e-10	-1.5300000000001e-10	2.0972e-08	-3.67200000000003e-09	-6.94399999999994e-09	-1.61700000000002e-08
-0.19	-7.59000000000005e-10	-8.59000000000019e-10	6.73999999999998e-09	-3.87600000000001e-09	-7.96799999999992e-09	-1.70300000000001e-08
-0.185	-2.69000000000008e-10	-1.044e-09	-5.96399999999999e-09	-2.98e-09	-8.09199999999994e-09	-1.574e-08
-0.18	8.84999999999994e-10	-3.57999999999994e-10	-1.9518e-08	-2.15800000000002e-09	-8.10199999999996e-09	-1.2108e-08
-0.175	2.03999999999992e-10	-4.23999999999997e-10	-2.6718e-08	-2.436e-09	-7.91999999999997e-09	-1.2948e-08
-0.17	-7.72000000000005e-10	-1.026e-09	-1.8834e-08	-2.41399999999997e-09	-7.36599999999999e-09	-1.71479999999999e-08
-0.165	-7.74999999999997e-10	-6.33999999999996e-10	-4.73799999999999e-09	-1.75199999999997e-09	-6.55999999999996e-09	-1.75939999999998e-08
-0.16	-1.346e-09	-1.0199999999999e-10	2.78000000000011e-10	-1.90399999999999e-09	-5.36599999999991e-09	-1.72419999999998e-08
-0.155	-1.91e-09	-6.01999999999994e-10	-1.40599999999999e-09	-3.3e-09	-4.10199999999999e-09	-2.02939999999998e-08
-0.15	-1.131e-09	-8.41000000000005e-10	5.54800000000001e-09	-4.23e-09	-3.09600000000012e-09	-2.05859999999998e-08
-0.145	-4.40000000000011e-11	-2.92000000000007e-10	1.9354e-08	-3.79599999999999e-09	-2.75400000000016e-09	-1.476e-08
-0.14	4.20999999999997e-10	4.44299999999999e-09	2.639e-08	-3.18999999999997e-09	-3.35800000000013e-09	-1.18320000000003e-08
-0.135	2.66e-09	1.3546e-08	2.829e-08	-2.83399999999995e-09	-4.60800000000009e-09	-1.15560000000003e-08
-0.13	6.63399999999999e-09	1.8713e-08	2.2276e-08	-1.17799999999997e-09	-5.78599999999999e-09	-9.68600000000017e-09
-0.125	8.57199999999999e-09	1.4608e-08	7.99999999998922e-12	6.15999999999957e-10	-6.0999999999999e-09	-9.47599999999994e-09
-0.12	8.698e-09	4.84800000000002e-09	-2.1106e-08	3.31999999999953e-10	-5.54999999999994e-09	-1.07739999999998e-08
-0.115	6.557e-09	-5.21999999999998e-09	-2.7464e-08	-6.64000000000005e-10	-4.75400000000004e-09	-8.95799999999985e-09
-0.11	2.63999999999949e-10	-1.4575e-08	-2.8614e-08	-5.54000000000017e-10	-4.58000000000004e-09	-6.33199999999973e-09
-0.105	-6.41500000000004e-09	-1.919e-08	-2.2306e-08	-9.1000000000001e-10	-5.17200000000002e-09	-7.44999999999983e-09
-0.1	-9.32400000000004e-09	-1.5089e-08	-7.57399999999999e-09	-2.38999999999997e-09	-5.43000000000008e-09	-8.88600000000018e-09
-0.095	-9.74000000000005e-09	-5.599e-09	-4.11999999999975e-10	-2.97999999999997e-09	-4.60400000000002e-09	-1.04620000000002e-08
-0.09	-7.22200000000005e-09	1.85000000000002e-10	-8.73999999999992e-10	-2.65000000000003e-09	-3.08999999999994e-09	2.23800000000006e-09
