vd	id_vg = 0V	ig_vg = 0V	is_vg = 0V	iavdd_vg = 0V	ignd_vg = 0V	id_vg = 0.15V	ig_vg = 0.15V	is_vg = 0.15V	iavdd_vg = 0.15V	ignd_vg = 0.15V	id_vg = 0.3V	ig_vg = 0.3V	is_vg = 0.3V	iavdd_vg = 0.3V	ignd_vg = 0.3V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6V	ig_vg = 0.6V	is_vg = 0.6V	iavdd_vg = 0.6V	ignd_vg = 0.6V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0	-0.099978	-7.8919e-10	0.100006	3.7414e-07	-3.3152e-07	-0.099982	-6.5746e-10	0.100004	3.7914e-07	-3.3472e-07	-0.068408	-3.925e-10	0.06849	3.8662e-07	-3.3234e-07	-0.02989	-8.775e-11	0.02988	3.9704e-07	-3.2846e-07	-0.0056956	3.3647e-10	0.0056834	4.0334e-07	-3.2486e-07	-0.00029362	8.5424e-10	0.00029346	4.0488e-07	-3.2366e-07	-9.8524e-06	1.5037e-09	9.7716e-06	4.0674e-07	-3.2332e-07
0.005	-0.099978	-7.9066e-10	0.100002	3.7402e-07	-3.3176e-07	-0.09998	-6.5777e-10	0.100004	3.7896e-07	-3.3494e-07	-0.06829	-4.0122e-10	0.068308	3.8628e-07	-3.3248e-07	-0.02972	-9.497e-11	0.029742	3.9574e-07	-3.284e-07	-0.005631	3.1519e-10	0.0056314	4.0186e-07	-3.2486e-07	-0.00028928	8.4223e-10	0.00028924	4.032e-07	-3.236e-07	-9.6912e-06	1.4719e-09	9.6121e-06	4.0502e-07	-3.2342e-07
0.01	-0.099978	-7.9215e-10	0.100006	3.7324e-07	-3.3182e-07	-0.099982	-6.6088e-10	0.100004	3.782e-07	-3.3504e-07	-0.068106	-4.0069e-10	0.068126	3.8534e-07	-3.3258e-07	-0.029588	-9.672e-11	0.02961	3.9434e-07	-3.2842e-07	-0.0055794	3.0619e-10	0.0055786	4.003e-07	-3.2478e-07	-0.0002851	8.2761e-10	0.00028512	4.0164e-07	-3.2356e-07	-9.5408e-06	1.455e-09	9.4626e-06	4.034e-07	-3.2338e-07
0.015	-0.099978	-7.9709e-10	0.100006	3.7258e-07	-3.3192e-07	-0.09998	-6.6127e-10	0.100002	3.7762e-07	-3.352e-07	-0.067928	-3.984e-10	0.067954	3.8442e-07	-3.3268e-07	-0.029454	-1.0016e-10	0.029474	3.9312e-07	-3.284e-07	-0.0055268	3.0289e-10	0.0055312	3.9878e-07	-3.2482e-07	-0.0002812	8.0917e-10	0.000281	4.0016e-07	-3.2358e-07	-9.3877e-06	1.4385e-09	9.3124e-06	4.0154e-07	-3.233e-07
0.02	-0.09998	-8.0897e-10	0.100004	3.7192e-07	-3.321e-07	-0.099982	-6.6388e-10	0.100006	3.7678e-07	-3.353e-07	-0.067748	-4.0336e-10	0.067766	3.834e-07	-3.3268e-07	-0.029324	-1.0613e-10	0.029344	3.9178e-07	-3.2826e-07	-0.0054766	3.002e-10	0.0054786	3.968e-07	-3.2474e-07	-0.0002767	7.9247e-10	0.00027692	3.9844e-07	-3.236e-07	-9.2379e-06	1.4153e-09	9.1597e-06	4.0014e-07	-3.2338e-07
0.025	-0.099978	-8.1228e-10	0.100006	3.7124e-07	-3.3212e-07	-0.09998	-6.7227e-10	0.100004	3.7614e-07	-3.3542e-07	-0.067574	-4.1092e-10	0.06759	3.8262e-07	-3.328e-07	-0.029194	-1.11e-10	0.029214	3.9038e-07	-3.2818e-07	-0.005429	2.8597e-10	0.0054282	3.9568e-07	-3.2478e-07	-0.00027286	7.7926e-10	0.00027304	3.97e-07	-3.2356e-07	-9.0876e-06	1.3919e-09	9.0154e-06	3.9862e-07	-3.2336e-07
0.03	-0.099978	-8.1334e-10	0.100006	3.7044e-07	-3.3222e-07	-0.099978	-6.7483e-10	0.100006	3.7538e-07	-3.3552e-07	-0.067392	-4.122e-10	0.06741	3.816e-07	-3.3278e-07	-0.029056	-1.1502e-10	0.029082	3.8908e-07	-3.2824e-07	-0.005378	2.6975e-10	0.0053788	3.9424e-07	-3.247e-07	-0.0002688	7.6714e-10	0.00026914	3.9516e-07	-3.2362e-07	-8.9412e-06	1.3653e-09	8.8662e-06	3.9706e-07	-3.2336e-07
0.035	-0.099978	-8.1339e-10	0.100004	3.6974e-07	-3.3222e-07	-0.099982	-6.7202e-10	0.100004	3.7464e-07	-3.3562e-07	-0.067202	-4.0929e-10	0.067232	3.8068e-07	-3.3288e-07	-0.028934	-1.1973e-10	0.028956	3.879e-07	-3.2822e-07	-0.0053306	2.6077e-10	0.0053298	3.9276e-07	-3.2474e-07	-0.00026496	7.5637e-10	0.00026522	3.9406e-07	-3.2356e-07	-8.8039e-06	1.3472e-09	8.7283e-06	3.956e-07	-3.234e-07
0.04	-0.099982	-8.1922e-10	0.100004	3.6902e-07	-3.3228e-07	-0.09998	-6.7509e-10	0.100004	3.7384e-07	-3.3568e-07	-0.067022	-4.0747e-10	0.067054	3.7972e-07	-3.328e-07	-0.028802	-1.2099e-10	0.028822	3.8666e-07	-3.2818e-07	-0.0052776	2.5623e-10	0.0052808	3.914e-07	-3.2462e-07	-0.00026108	7.37e-10	0.0002614	3.9264e-07	-3.235e-07	-8.6599e-06	1.3321e-09	8.5877e-06	3.9406e-07	-3.2338e-07
0.045	-0.099978	-8.291e-10	0.100006	3.6826e-07	-3.3228e-07	-0.099978	-6.8107e-10	0.100006	3.7318e-07	-3.3574e-07	-0.066844	-4.1022e-10	0.066866	3.7876e-07	-3.3286e-07	-0.028668	-1.2503e-10	0.028696	3.855e-07	-3.2822e-07	-0.0052306	2.5552e-10	0.0052278	3.9004e-07	-3.2466e-07	-0.00025742	7.1808e-10	0.00025742	3.9116e-07	-3.236e-07	-8.517e-06	1.3098e-09	8.4505e-06	3.9258e-07	-3.2336e-07
0.05	-0.099978	-8.4136e-10	0.100004	3.6762e-07	-3.3236e-07	-0.099982	-6.8768e-10	0.100002	3.7242e-07	-3.3574e-07	-0.066662	-4.1915e-10	0.066682	3.7796e-07	-3.3288e-07	-0.028538	-1.3333e-10	0.028562	3.8424e-07	-3.2814e-07	-0.0051822	2.4433e-10	0.0051802	3.8856e-07	-3.247e-07	-0.00025364	7.0937e-10	0.00025382	3.8984e-07	-3.2358e-07	-8.3821e-06	1.284e-09	8.3146e-06	3.9122e-07	-3.2338e-07
0.055	-0.099978	-8.4163e-10	0.100004	3.6692e-07	-3.325e-07	-0.099982	-6.9116e-10	0.100004	3.7176e-07	-3.3578e-07	-0.066482	-4.2086e-10	0.066502	3.7704e-07	-3.3282e-07	-0.028406	-1.3654e-10	0.028426	3.831e-07	-3.2808e-07	-0.0051316	2.2954e-10	0.0051324	3.8732e-07	-3.2468e-07	-0.0002499	6.9953e-10	0.00025004	3.8846e-07	-3.2358e-07	-8.2491e-06	1.2616e-09	8.1818e-06	3.8982e-07	-3.2342e-07
0.06	-0.09998	-8.4192e-10	0.100006	3.6628e-07	-3.3242e-07	-0.099978	-6.8896e-10	0.100004	3.71e-07	-3.3582e-07	-0.066296	-4.16e-10	0.066318	3.7616e-07	-3.3286e-07	-0.028282	-1.3886e-10	0.0283	3.8196e-07	-3.2814e-07	-0.0050852	2.1602e-10	0.0050862	3.8602e-07	-3.2464e-07	-0.00024632	6.8734e-10	0.00024626	3.8718e-07	-3.236e-07	-8.1174e-06	1.2513e-09	8.0534e-06	3.8838e-07	-3.2336e-07
0.065	-0.099978	-8.4569e-10	0.100004	3.6552e-07	-3.325e-07	-0.09998	-6.898e-10	0.100004	3.7026e-07	-3.358e-07	-0.066118	-4.147e-10	0.066136	3.7532e-07	-3.328e-07	-0.028148	-1.4163e-10	0.028172	3.808e-07	-3.281e-07	-0.005038	2.1563e-10	0.00504	3.8468e-07	-3.2462e-07	-0.0002427	6.7233e-10	0.00024292	3.8578e-07	-3.2362e-07	-7.984e-06	1.2346e-09	7.9236e-06	3.8712e-07	-3.2332e-07
0.07	-0.099978	-8.5227e-10	0.100004	3.649e-07	-3.3246e-07	-0.09998	-7.04e-10	0.100004	3.696e-07	-3.3588e-07	-0.06593	-4.2131e-10	0.065964	3.7444e-07	-3.3282e-07	-0.028018	-1.444e-10	0.028036	3.7966e-07	-3.2806e-07	-0.004991	2.1392e-10	0.0049908	3.8352e-07	-3.2464e-07	-0.00023912	6.5122e-10	0.00023948	3.8462e-07	-3.2358e-07	-7.8562e-06	1.2097e-09	7.7957e-06	3.8576e-07	-3.2332e-07
0.075	-0.099978	-8.6032e-10	0.100004	3.6422e-07	-3.3246e-07	-0.099982	-7.0617e-10	0.100006	3.6886e-07	-3.3594e-07	-0.065752	-4.277e-10	0.065774	3.7358e-07	-3.328e-07	-0.027886	-1.5077e-10	0.027904	3.787e-07	-3.28e-07	-0.004942	2.0442e-10	0.004943	3.8232e-07	-3.2468e-07	-0.00023568	6.4113e-10	0.00023582	3.8334e-07	-3.2356e-07	-7.7319e-06	1.183e-09	7.6717e-06	3.8446e-07	-3.2336e-07
0.08	-0.099978	-8.6169e-10	0.100004	3.6358e-07	-3.325e-07	-0.099982	-7.0581e-10	0.100006	3.6816e-07	-3.3588e-07	-0.06556	-4.286e-10	0.065588	3.7278e-07	-3.328e-07	-0.027756	-1.5647e-10	0.027778	3.777e-07	-3.2794e-07	-0.0048962	1.9238e-10	0.0048978	3.8108e-07	-3.2466e-07	-0.00023212	6.3637e-10	0.00023238	3.8212e-07	-3.2356e-07	-7.6138e-06	1.1678e-09	7.5506e-06	3.8316e-07	-3.2332e-07
0.085	-0.099982	-8.6066e-10	0.100004	3.6284e-07	-3.3246e-07	-0.09998	-7.0394e-10	0.100002	3.675e-07	-3.359e-07	-0.065382	-4.2454e-10	0.065406	3.7186e-07	-3.3274e-07	-0.02763	-1.5699e-10	0.027648	3.7662e-07	-3.2792e-07	-0.0048494	1.7945e-10	0.004851	3.7996e-07	-3.246e-07	-0.00022866	6.2437e-10	0.00022906	3.8088e-07	-3.2356e-07	-7.4877e-06	1.1555e-09	7.4285e-06	3.8184e-07	-3.2334e-07
0.09	-0.099982	-8.6521e-10	0.100004	3.6226e-07	-3.3252e-07	-0.09998	-7.0931e-10	0.100004	3.6684e-07	-3.359e-07	-0.065198	-4.2314e-10	0.06522	3.7106e-07	-3.3276e-07	-0.027502	-1.5805e-10	0.027526	3.757e-07	-3.28e-07	-0.0048046	1.7415e-10	0.0048058	3.7872e-07	-3.246e-07	-0.00022548	6.0861e-10	0.00022562	3.797e-07	-3.2344e-07	-7.3668e-06	1.138e-09	7.3091e-06	3.8074e-07	-3.2338e-07
0.095	-0.099978	-8.7577e-10	0.100004	3.6166e-07	-3.3256e-07	-0.099982	-7.1505e-10	0.100004	3.6622e-07	-3.3592e-07	-0.065012	-4.296e-10	0.065042	3.703e-07	-3.3276e-07	-0.027366	-1.6338e-10	0.02739	3.747e-07	-3.2796e-07	-0.0047576	1.7563e-10	0.0047562	3.7758e-07	-3.245e-07	-0.00022208	5.9031e-10	0.00022242	3.7862e-07	-3.2354e-07	-7.2459e-06	1.1128e-09	7.192e-06	3.7954e-07	-3.234e-07
0.1	-0.099978	-8.869e-10	0.100004	3.6106e-07	-3.3254e-07	-0.099984	-7.2222e-10	0.100006	3.6552e-07	-3.358e-07	-0.064832	-4.3528e-10	0.064856	3.695e-07	-3.3268e-07	-0.027244	-1.6953e-10	0.027262	3.7368e-07	-3.2796e-07	-0.0047134	1.6819e-10	0.0047134	3.7652e-07	-3.245e-07	-0.0002188	5.7602e-10	0.00021912	3.7744e-07	-3.2354e-07	-7.133e-06	1.0916e-09	7.0766e-06	3.7834e-07	-3.234e-07
0.105	-0.09998	-8.8776e-10	0.100004	3.6048e-07	-3.3258e-07	-0.099982	-7.2216e-10	0.100006	3.6486e-07	-3.3586e-07	-0.064644	-4.3703e-10	0.064676	3.6874e-07	-3.3266e-07	-0.02711	-1.7082e-10	0.027138	3.728e-07	-3.279e-07	-0.0046664	1.5583e-10	0.004666	3.7544e-07	-3.2448e-07	-0.0002155	5.7204e-10	0.00021576	3.7626e-07	-3.235e-07	-7.0186e-06	1.0811e-09	6.9621e-06	3.7716e-07	-3.2336e-07
0.11	-0.09998	-8.9038e-10	0.100004	3.5986e-07	-3.3258e-07	-0.099978	-7.2107e-10	0.100006	3.642e-07	-3.3586e-07	-0.064466	-4.3149e-10	0.064488	3.6794e-07	-3.3258e-07	-0.026976	-1.7296e-10	0.027006	3.7188e-07	-3.2792e-07	-0.0046228	1.4558e-10	0.0046234	3.744e-07	-3.2446e-07	-0.00021248	5.6455e-10	0.00021262	3.7524e-07	-3.2354e-07	-6.901e-06	1.067e-09	6.8525e-06	3.761e-07	-3.2342e-07
0.115	-0.099978	-8.9693e-10	0.100002	3.593e-07	-3.3256e-07	-0.099978	-7.2573e-10	0.100006	3.635e-07	-3.3582e-07	-0.064276	-4.3117e-10	0.064308	3.673e-07	-3.3262e-07	-0.026852	-1.7453e-10	0.026872	3.7092e-07	-3.2776e-07	-0.0045778	1.3994e-10	0.0045768	3.734e-07	-3.2452e-07	-0.00020928	5.4971e-10	0.00020952	3.7408e-07	-3.2348e-07	-6.7933e-06	1.0447e-09	6.7393e-06	3.7502e-07	-3.2348e-07
