vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.01V	ig_vd = 0.01V	is_vd = 0.01V	iavdd_vd = 0.01V	ignd_vd = 0.01V	id_vd = 0.02V	ig_vd = 0.02V	is_vd = 0.02V	iavdd_vd = 0.02V	ignd_vd = 0.02V	id_vd = 0.03V	ig_vd = 0.03V	is_vd = 0.03V	iavdd_vd = 0.03V	ignd_vd = 0.03V	id_vd = 0.04V	ig_vd = 0.04V	is_vd = 0.04V	iavdd_vd = 0.04V	ignd_vd = 0.04V	id_vd = 0.05V	ig_vd = 0.05V	is_vd = 0.05V	iavdd_vd = 0.05V	ignd_vd = 0.05V	id_vd = 0.06V	ig_vd = 0.06V	is_vd = 0.06V	iavdd_vd = 0.06V	ignd_vd = 0.06V	id_vd = 0.07V	ig_vd = 0.07V	is_vd = 0.07V	iavdd_vd = 0.07V	ignd_vd = 0.07V	id_vd = 0.08V	ig_vd = 0.08V	is_vd = 0.08V	iavdd_vd = 0.08V	ignd_vd = 0.08V	id_vd = 0.09V	ig_vd = 0.09V	is_vd = 0.09V	iavdd_vd = 0.09V	ignd_vd = 0.09V	id_vd = 0.1V	ig_vd = 0.1V	is_vd = 0.1V	iavdd_vd = 0.1V	ignd_vd = 0.1V
1.2	-1.3217e-09	6.7876e-10	-9.974e-11	3.235e-07	-3.2256e-07	-1.2156e-09	6.7094e-10	-1.0269e-10	3.2326e-07	-3.2254e-07	-1.0836e-09	6.6533e-10	-1.0238e-10	3.2294e-07	-3.2236e-07	-9.5413e-10	6.4743e-10	-1.0228e-10	3.2272e-07	-3.2228e-07	-8.2841e-10	6.4058e-10	-1.0218e-10	3.2282e-07	-3.224e-07	-7.1517e-10	6.316e-10	-1.03e-10	3.2262e-07	-3.2232e-07	-5.9743e-10	6.2525e-10	-1.029e-10	3.2242e-07	-3.2228e-07	-4.7213e-10	6.1493e-10	-1.0285e-10	3.2236e-07	-3.2234e-07	-3.3644e-10	6.0426e-10	-1.0318e-10	3.2206e-07	-3.2218e-07	-2.0222e-10	5.9444e-10	-1.0363e-10	3.22e-07	-3.2216e-07	-2.299e-11	5.8481e-10	-1.0411e-10	3.218e-07	-3.222e-07
1.195	-1.3355e-09	6.386e-10	-9.713e-11	3.2342e-07	-3.2266e-07	-1.1799e-09	6.3035e-10	-9.685e-11	3.2322e-07	-3.2252e-07	-1.0546e-09	6.155e-10	-9.832e-11	3.2284e-07	-3.223e-07	-9.5054e-10	6.0782e-10	-9.81e-11	3.227e-07	-3.2224e-07	-8.3015e-10	5.9026e-10	-9.901e-11	3.2274e-07	-3.2234e-07	-6.9292e-10	5.8571e-10	-9.804e-11	3.2266e-07	-3.2242e-07	-5.855e-10	5.7394e-10	-9.851e-11	3.2242e-07	-3.2234e-07	-4.6045e-10	5.618e-10	-9.868e-11	3.2246e-07	-3.2236e-07	-3.2957e-10	5.5716e-10	-9.836e-11	3.2204e-07	-3.2216e-07	-1.8731e-10	5.5338e-10	-9.921e-11	3.2202e-07	-3.2224e-07	-1.977e-11	5.4286e-10	-1.0063e-10	3.218e-07	-3.222e-07
1.19	-1.3281e-09	5.9265e-10	-9.298e-11	3.2344e-07	-3.2264e-07	-1.1957e-09	5.8477e-10	-9.373e-11	3.2324e-07	-3.2246e-07	-1.0508e-09	5.7793e-10	-9.384e-11	3.2296e-07	-3.2234e-07	-9.5878e-10	5.6075e-10	-9.488e-11	3.228e-07	-3.2224e-07	-8.0908e-10	5.56e-10	-9.406e-11	3.2282e-07	-3.2252e-07	-7.0492e-10	5.4422e-10	-9.465e-11	3.2264e-07	-3.2238e-07	-5.853e-10	5.3747e-10	-9.453e-11	3.2252e-07	-3.2228e-07	-4.5468e-10	5.3132e-10	-9.477e-11	3.2232e-07	-3.2232e-07	-3.2031e-10	5.1882e-10	-9.573e-11	3.2216e-07	-3.2228e-07	-2.0547e-10	5.0758e-10	-9.532e-11	3.2208e-07	-3.2228e-07	-2.614e-11	5.0347e-10	-9.574e-11	3.2182e-07	-3.2216e-07
1.185	-1.3076e-09	5.6029e-10	-8.83e-11	3.2342e-07	-3.2262e-07	-1.1935e-09	5.4807e-10	-8.997e-11	3.2324e-07	-3.2246e-07	-1.0671e-09	5.3621e-10	-9.012e-11	3.2294e-07	-3.2234e-07	-9.3223e-10	5.2787e-10	-9.083e-11	3.2272e-07	-3.2228e-07	-8.1331e-10	5.1389e-10	-9.06e-11	3.2282e-07	-3.224e-07	-7.0151e-10	5.0627e-10	-9.098e-11	3.2266e-07	-3.224e-07	-5.6226e-10	4.956e-10	-9.032e-11	3.2254e-07	-3.2228e-07	-4.3468e-10	4.8508e-10	-9.123e-11	3.224e-07	-3.223e-07	-2.9986e-10	4.8114e-10	-9.077e-11	3.2218e-07	-3.2214e-07	-1.7271e-10	4.7459e-10	-9.266e-11	3.2202e-07	-3.2216e-07	-3.417e-11	4.6437e-10	-9.239e-11	3.2184e-07	-3.2218e-07
1.18	-1.3118e-09	5.1872e-10	-8.485e-11	3.235e-07	-3.2258e-07	-1.172e-09	5.0842e-10	-8.591e-11	3.2324e-07	-3.225e-07	-1.0534e-09	5.0176e-10	-8.742e-11	3.2308e-07	-3.2234e-07	-9.2602e-10	4.9079e-10	-8.547e-11	3.2278e-07	-3.2228e-07	-8.1926e-10	4.8315e-10	-8.697e-11	3.229e-07	-3.2242e-07	-6.7577e-10	4.7318e-10	-8.72e-11	3.2276e-07	-3.2234e-07	-5.5894e-10	4.6835e-10	-8.654e-11	3.2252e-07	-3.222e-07	-4.3301e-10	4.626e-10	-8.618e-11	3.2244e-07	-3.223e-07	-3.0569e-10	4.5264e-10	-8.797e-11	3.2218e-07	-3.2224e-07	-1.5797e-10	4.392e-10	-8.791e-11	3.2212e-07	-3.223e-07	-1.261e-11	4.3134e-10	-8.939e-11	3.2196e-07	-3.2222e-07
1.175	-1.32e-09	4.9283e-10	-8.198e-11	3.235e-07	-3.2258e-07	-1.1667e-09	4.8285e-10	-8.13e-11	3.2324e-07	-3.2248e-07	-1.0316e-09	4.717e-10	-8.166e-11	3.2304e-07	-3.2236e-07	-9.3896e-10	4.6016e-10	-8.246e-11	3.2288e-07	-3.2236e-07	-7.9977e-10	4.4739e-10	-8.219e-11	3.2282e-07	-3.2242e-07	-6.8412e-10	4.3983e-10	-8.248e-11	3.2276e-07	-3.2242e-07	-5.7645e-10	4.2938e-10	-8.269e-11	3.2246e-07	-3.2222e-07	-4.4788e-10	4.2105e-10	-8.32e-11	3.224e-07	-3.2228e-07	-3.1886e-10	4.1463e-10	-8.423e-11	3.2226e-07	-3.2226e-07	-1.7298e-10	4.0997e-10	-8.357e-11	3.2216e-07	-3.223e-07	-3.31e-12	4.0227e-10	-8.572e-11	3.2198e-07	-3.2224e-07
1.17	-1.3037e-09	4.544e-10	-7.736e-11	3.2352e-07	-3.2258e-07	-1.1781e-09	4.454e-10	-7.777e-11	3.2332e-07	-3.2242e-07	-1.0365e-09	4.4084e-10	-7.769e-11	3.2308e-07	-3.224e-07	-9.3098e-10	4.2691e-10	-7.816e-11	3.2296e-07	-3.2222e-07	-7.8935e-10	4.2476e-10	-7.868e-11	3.2284e-07	-3.223e-07	-6.8507e-10	4.1328e-10	-7.914e-11	3.2276e-07	-3.2236e-07	-5.4823e-10	4.0699e-10	-7.923e-11	3.2258e-07	-3.2228e-07	-4.2734e-10	4.0088e-10	-8.034e-11	3.2246e-07	-3.2232e-07	-2.938e-10	3.9147e-10	-8.125e-11	3.2228e-07	-3.223e-07	-1.6619e-10	3.7897e-10	-8.142e-11	3.2214e-07	-3.2224e-07	-1.997e-11	3.727e-10	-8.21e-11	3.2202e-07	-3.2218e-07
1.165	-1.2806e-09	4.3832e-10	-7.347e-11	3.2346e-07	-3.2252e-07	-1.1686e-09	4.2326e-10	-7.476e-11	3.2326e-07	-3.224e-07	-1.0474e-09	4.1378e-10	-7.36e-11	3.2308e-07	-3.2246e-07	-9.0944e-10	4.038e-10	-7.485e-11	3.2294e-07	-3.2234e-07	-8.0289e-10	3.9227e-10	-7.427e-11	3.2288e-07	-3.2236e-07	-6.6876e-10	3.8387e-10	-7.429e-11	3.2278e-07	-3.224e-07	-5.4664e-10	3.7633e-10	-7.473e-11	3.2254e-07	-3.223e-07	-4.1724e-10	3.6628e-10	-7.47e-11	3.2246e-07	-3.223e-07	-2.8863e-10	3.6246e-10	-7.495e-11	3.2224e-07	-3.2228e-07	-1.5164e-10	3.551e-10	-7.725e-11	3.2224e-07	-3.2234e-07	-9.94e-12	3.4858e-10	-7.945e-11	3.2208e-07	-3.2222e-07
1.16	-1.2957e-09	4.0282e-10	-6.81e-11	3.235e-07	-3.225e-07	-1.1542e-09	3.9352e-10	-6.965e-11	3.2324e-07	-3.224e-07	-1.0322e-09	3.8665e-10	-7.107e-11	3.2308e-07	-3.2236e-07	-9.1612e-10	3.7613e-10	-7.06e-11	3.2292e-07	-3.2234e-07	-7.9394e-10	3.7159e-10	-7.065e-11	3.2286e-07	-3.223e-07	-6.5993e-10	3.6506e-10	-7.099e-11	3.2278e-07	-3.224e-07	-5.6053e-10	3.564e-10	-7.165e-11	3.2254e-07	-3.2224e-07	-4.2967e-10	3.4819e-10	-7.161e-11	3.2252e-07	-3.2236e-07	-3.0317e-10	3.4044e-10	-7.179e-11	3.2234e-07	-3.2226e-07	-1.4965e-10	3.3236e-10	-7.387e-11	3.2218e-07	-3.2228e-07	1.472e-11	3.2526e-10	-7.56e-11	3.22e-07	-3.2222e-07
1.155	-1.2949e-09	3.8862e-10	-6.585e-11	3.2358e-07	-3.2256e-07	-1.1567e-09	3.7815e-10	-6.608e-11	3.2332e-07	-3.2242e-07	-1.0155e-09	3.6693e-10	-6.629e-11	3.2312e-07	-3.223e-07	-9.2545e-10	3.5472e-10	-6.661e-11	3.2296e-07	-3.2234e-07	-7.7481e-10	3.4567e-10	-6.682e-11	3.2282e-07	-3.2228e-07	-6.7872e-10	3.3684e-10	-6.664e-11	3.2276e-07	-3.2234e-07	-5.512e-10	3.2718e-10	-6.767e-11	3.226e-07	-3.2226e-07	-4.2891e-10	3.1869e-10	-6.821e-11	3.2252e-07	-3.2234e-07	-2.9614e-10	3.1229e-10	-6.935e-11	3.223e-07	-3.2228e-07	-1.6559e-10	3.0905e-10	-7e-11	3.2224e-07	-3.2228e-07	2.43e-12	3.0507e-10	-7.18e-11	3.2206e-07	-3.2222e-07
