vg	id_vd = 0V	ig_vd = 0V	is_vd = 0V	iavdd_vd = 0V	ignd_vd = 0V	id_vd = 0.15V	ig_vd = 0.15V	is_vd = 0.15V	iavdd_vd = 0.15V	ignd_vd = 0.15V	id_vd = 0.3V	ig_vd = 0.3V	is_vd = 0.3V	iavdd_vd = 0.3V	ignd_vd = 0.3V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6V	ig_vd = 0.6V	is_vd = 0.6V	iavdd_vd = 0.6V	ignd_vd = 0.6V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
1.2	-1.1664e-07	4.0581e-09	1.85e-12	4.3826e-07	-3.2564e-07	-6.14278e-08	3.0819e-09	-1.44e-12	3.8364e-07	-3.2532e-07	-3.18366e-08	2.3488e-09	-2.8e-13	3.5472e-07	-3.2528e-07	-1.56278e-08	1.8137e-09	9.2e-13	3.3912e-07	-3.2526e-07	-6.7907e-09	1.4257e-09	5.8e-13	3.3076e-07	-3.2542e-07	-2.1264e-09	1.1634e-09	-6e-13	3.2652e-07	-3.2554e-07	4.9145e-10	1.0047e-09	5.4e-13	3.2404e-07	-3.2564e-07
1.195	-1.1572e-07	3.9398e-09	1.52e-12	4.376e-07	-3.2558e-07	-6.10986e-08	2.966e-09	-2.27e-12	3.8338e-07	-3.253e-07	-3.1658e-08	2.2379e-09	1.5e-13	3.5468e-07	-3.2526e-07	-1.55762e-08	1.7154e-09	-8.2e-13	3.3918e-07	-3.253e-07	-6.7491e-09	1.3312e-09	-1.09e-12	3.3084e-07	-3.2536e-07	-2.1198e-09	1.0693e-09	9e-14	3.2656e-07	-3.2552e-07	4.8691e-10	9.1741e-10	-1.06e-12	3.2408e-07	-3.2546e-07
1.19	-1.1498e-07	3.8193e-09	4.5e-13	4.3684e-07	-3.2556e-07	-6.08646e-08	2.8647e-09	1.43e-12	3.834e-07	-3.253e-07	-3.15746e-08	2.1438e-09	1.16e-12	3.547e-07	-3.2524e-07	-1.54866e-08	1.6249e-09	-1.21e-12	3.3926e-07	-3.254e-07	-6.7605e-09	1.2455e-09	-1.8e-12	3.3088e-07	-3.2542e-07	-2.1167e-09	9.898e-10	1.07e-12	3.2668e-07	-3.2556e-07	4.9559e-10	8.3557e-10	-2.4e-13	3.2424e-07	-3.2558e-07
1.185	-1.1442e-07	3.7197e-09	1.4e-13	4.3622e-07	-3.2556e-07	-6.06e-08	2.7682e-09	1.55e-12	3.8326e-07	-3.2542e-07	-3.1506e-08	2.0558e-09	5.4e-13	3.5474e-07	-3.2522e-07	-1.54748e-08	1.5418e-09	-7.3e-13	3.3922e-07	-3.2526e-07	-6.7497e-09	1.164e-09	6e-14	3.3106e-07	-3.2546e-07	-2.1101e-09	9.1668e-10	-1.88e-12	3.2662e-07	-3.2546e-07	4.8955e-10	7.6652e-10	6.7e-13	3.2426e-07	-3.255e-07
1.18	-1.1366e-07	3.6234e-09	-8.8e-13	4.3556e-07	-3.2558e-07	-6.03666e-08	2.681e-09	-1.16e-12	3.8302e-07	-3.2536e-07	-3.1453e-08	1.9741e-09	-7e-14	3.5478e-07	-3.2526e-07	-1.54586e-08	1.4666e-09	1.37e-12	3.393e-07	-3.2528e-07	-6.7626e-09	1.0966e-09	3.9e-13	3.3102e-07	-3.2542e-07	-2.1117e-09	8.4757e-10	-3.5e-13	3.2666e-07	-3.2546e-07	4.9691e-10	7.0414e-10	-3.1e-13	3.2434e-07	-3.255e-07
1.175	-1.132e-07	3.5278e-09	2.47e-12	4.352e-07	-3.2562e-07	-6.02554e-08	2.596e-09	-1.37e-12	3.8302e-07	-3.2534e-07	-3.14372e-08	1.8967e-09	-1.49e-12	3.5486e-07	-3.253e-07	-1.54562e-08	1.3953e-09	6.7e-13	3.3938e-07	-3.253e-07	-6.709e-09	1.0304e-09	-1.29e-12	3.3106e-07	-3.2534e-07	-2.1255e-09	7.8727e-10	4.6e-13	3.2678e-07	-3.2548e-07	5.0202e-10	6.4343e-10	2.2e-13	3.2446e-07	-3.256e-07
1.17	-1.1266e-07	3.4433e-09	1.56e-12	4.3474e-07	-3.2554e-07	-5.99906e-08	2.5218e-09	-4.6e-13	3.8286e-07	-3.2526e-07	-3.13832e-08	1.8284e-09	-2.7e-13	3.5488e-07	-3.253e-07	-1.54028e-08	1.3347e-09	-3.2e-13	3.394e-07	-3.2534e-07	-6.7086e-09	9.7069e-10	-4.8e-13	3.3112e-07	-3.2546e-07	-2.0849e-09	7.3375e-10	-1.22e-12	3.2684e-07	-3.255e-07	5.0004e-10	5.8985e-10	1.05e-12	3.244e-07	-3.2554e-07
1.165	-1.1184e-07	3.3616e-09	-1.78e-12	4.3414e-07	-3.2564e-07	-5.9922e-08	2.4452e-09	-1.03e-12	3.828e-07	-3.253e-07	-3.13548e-08	1.7655e-09	9.7e-13	3.5484e-07	-3.2528e-07	-1.53676e-08	1.2745e-09	1.1e-13	3.3944e-07	-3.2532e-07	-6.6831e-09	9.18e-10	1.74e-12	3.3124e-07	-3.2544e-07	-2.0917e-09	6.8359e-10	2e-14	3.2686e-07	-3.2546e-07	5.0765e-10	5.4339e-10	3.2e-13	3.2446e-07	-3.2562e-07
1.16	-1.1118e-07	3.2827e-09	4.7e-13	4.3354e-07	-3.256e-07	-5.9713e-08	2.3784e-09	4.2e-13	3.826e-07	-3.2532e-07	-3.12328e-08	1.7017e-09	-8.4e-13	3.5478e-07	-3.2524e-07	-1.53188e-08	1.2204e-09	-8.6e-13	3.3938e-07	-3.2532e-07	-6.6525e-09	8.6802e-10	-1.25e-12	3.3118e-07	-3.254e-07	-2.0776e-09	6.335e-10	2.7e-13	3.2694e-07	-3.2546e-07	5.06e-10	5.0204e-10	-5.7e-13	3.245e-07	-3.2554e-07
1.155	-1.1062e-07	3.2127e-09	9.7e-13	4.3294e-07	-3.2556e-07	-5.95606e-08	2.3145e-09	1.36e-12	3.8268e-07	-3.2534e-07	-3.11728e-08	1.6499e-09	-1.15e-12	3.5482e-07	-3.2528e-07	-1.52876e-08	1.1662e-09	-1.13e-12	3.3952e-07	-3.2534e-07	-6.6417e-09	8.1969e-10	-1.07e-12	3.3124e-07	-3.2542e-07	-2.0748e-09	5.9524e-10	3.9e-13	3.269e-07	-3.2542e-07	5.1531e-10	4.5858e-10	7.6e-13	3.2452e-07	-3.255e-07
1.15	-1.1014e-07	3.1456e-09	-7.5e-13	4.3262e-07	-3.256e-07	-5.94366e-08	2.2588e-09	8.4e-13	3.8236e-07	-3.252e-07	-3.11176e-08	1.6002e-09	1.43e-12	3.548e-07	-3.2536e-07	-1.53e-08	1.1201e-09	-4.1e-13	3.3948e-07	-3.2534e-07	-6.6789e-09	7.7789e-10	1.01e-12	3.3124e-07	-3.2534e-07	-2.0626e-09	5.551e-10	4.8e-13	3.2706e-07	-3.2546e-07	5.1014e-10	4.2599e-10	-6.1e-13	3.2454e-07	-3.2548e-07
1.145	-1.0948e-07	3.0786e-09	1.46e-12	4.3202e-07	-3.2562e-07	-5.92682e-08	2.1999e-09	4.7e-13	3.8236e-07	-3.252e-07	-3.10962e-08	1.5488e-09	-2.01e-12	3.5482e-07	-3.2526e-07	-1.5257e-08	1.074e-09	1.69e-12	3.3946e-07	-3.2532e-07	-6.6115e-09	7.4032e-10	-3.8e-13	3.313e-07	-3.2536e-07	-2.0396e-09	5.1996e-10	-8.1e-13	3.27e-07	-3.2542e-07	5.1616e-10	3.9206e-10	-1.14e-12	3.246e-07	-3.2552e-07
1.14	-1.0902e-07	3.0204e-09	1.7e-13	4.3142e-07	-3.256e-07	-5.91576e-08	2.1503e-09	-2.2e-13	3.8232e-07	-3.2532e-07	-3.0964e-08	1.5006e-09	-1.31e-12	3.5482e-07	-3.2526e-07	-1.52628e-08	1.0355e-09	-1.5e-13	3.3948e-07	-3.2524e-07	-6.6045e-09	7.0428e-10	-2.22e-12	3.3124e-07	-3.2536e-07	-2.0476e-09	4.8601e-10	2.3e-13	3.2714e-07	-3.255e-07	5.1322e-10	3.6047e-10	1.9e-13	3.2464e-07	-3.2548e-07
