|Vgs|	Gm_|Vds|=0.01V	Gm_|Vds|=0.02V	Gm_|Vds|=0.03V	Gm_|Vds|=0.04V	Gm_|Vds|=0.05V	Gm_|Vds|=0.06V	Gm_|Vds|=0.07V	Gm_|Vds|=0.08V	Gm_|Vds|=0.09V	Gm_|Vds|=0.1V
-0.3	-3.52600000000007e-09	2.49600000000005e-09	6.28000000000014e-10	-1.91600000000005e-09	-1.66800000000006e-09	-5.70000000000001e-10	7.16000000000016e-10	-4.94000000000009e-10	-2.55600000000004e-09	-6.80000000000058e-11
-0.295	-1.90300000000001e-09	1.09666666666667e-09	-3.98333333333306e-11	-7.13666666666677e-10	-1.63466666666668e-09	-1.75766666666666e-09	1.46666666666671e-10	-1.12616666666667e-09	-3.026e-09	-1.36666666666704e-11
-0.29	-1.11550000000001e-09	4.06000000000042e-11	-4.12899999999998e-10	-6.75600000000007e-10	-1.20470000000001e-09	-1.1659e-09	-9.6499999999998e-11	-1.1906e-09	-7.67900000000001e-10	-6.98400000000005e-10
-0.285	-5.99499999999992e-10	-5.72000000000006e-10	-5.05500000000001e-10	-4.33299999999997e-10	-1.1499e-09	-1.1563e-09	-4.925e-10	-1.2058e-09	-1.34899999999992e-10	-1.0272e-09
-0.28	-5.39e-10	-8.79399999999999e-10	-7.65199999999999e-10	-5.804e-10	-1.0115e-09	-9.97500000000001e-10	-7.57599999999999e-10	-1.1487e-09	-4.18099999999998e-10	-1.1845e-09
-0.275	-6.525e-10	-8.44799999999999e-10	-8.25999999999999e-10	-8.63199999999999e-10	-8.816e-10	-8.07700000000002e-10	-7.15600000000001e-10	-9.91099999999999e-10	-9.08299999999997e-10	-1.2016e-09
-0.27	-6.972e-10	-7.059e-10	-6.568e-10	-8.84899999999999e-10	-9.27e-10	-9.13000000000001e-10	-7.56500000000001e-10	-8.523e-10	-1.3424e-09	-1.0334e-09
-0.265	-9.70599999999999e-10	-6.03799999999999e-10	-7.257e-10	-7.33499999999999e-10	-8.82100000000001e-10	-1.1047e-09	-8.89e-10	-8.55700000000001e-10	-1.8752e-09	-7.67999999999999e-10
-0.26	-1.0451e-09	-6.38e-10	-8.47099999999999e-10	-6.65799999999999e-10	-6.54800000000001e-10	-1.001e-09	-8.427e-10	-9.82000000000001e-10	-1.8121e-09	-6.58999999999999e-10
-0.255	-4.005e-10	-7.451e-10	-6.424e-10	-4.012e-10	-6.537e-10	-7.43699999999999e-10	-8.738e-10	-1.003e-09	-6.102e-10	-8.32999999999998e-10
-0.25	2.29999999999999e-11	-6.93299999999999e-10	-3.907e-10	-2.698e-10	-7.10499999999999e-10	-7.26899999999999e-10	-9.82699999999999e-10	-8.82399999999999e-10	3.11899999999999e-10	-9.96499999999998e-10
-0.245	-3.164e-10	-5.383e-10	-5.312e-10	1.03399999999999e-10	-6.24999999999999e-10	-9.09799999999998e-10	-7.46199999999999e-10	-8.11699999999998e-10	-4.27899999999999e-10	-9.52599999999998e-10
-0.24	-8.144e-10	-5.678e-10	-7.112e-10	5.67799999999998e-10	-6.22999999999998e-10	-8.53699999999998e-10	-5.798e-10	-6.99299999999996e-10	-1.201e-09	-9.42999999999998e-10
-0.235	-8.66800000000007e-10	-6.02900000000004e-10	-7.26300000000002e-10	-8.56500000000033e-10	-7.70300000000003e-10	-8.39799999999998e-10	-7.10300000000007e-10	-6.229e-10	-8.45299999999985e-10	-8.31100000000001e-10
-0.23	-5.86400000000006e-10	-5.50600000000004e-10	-8.13800000000002e-10	-2.22820000000003e-09	-7.58900000000004e-10	-9.62699999999999e-10	-8.27000000000006e-10	-7.59700000000001e-10	-5.87399999999986e-10	-6.61600000000001e-10
-0.225	-4.70600000000007e-10	-4.84400000000004e-10	-7.81500000000002e-10	-9.14700000000032e-10	-6.02900000000005e-10	-6.81699999999999e-10	-8.29000000000006e-10	-9.02800000000002e-10	-5.32499999999987e-10	-6.69200000000001e-10
-0.22	-4.92500000000007e-10	-4.35700000000004e-10	-5.10800000000002e-10	-3.62400000000033e-10	-6.14600000000006e-10	-3.603e-10	-8.51900000000006e-10	-9.05600000000003e-10	-5.55699999999989e-10	-7.94300000000002e-10
-0.215	-4.31000000000007e-10	-4.34400000000004e-10	-3.23200000000002e-10	-1.47900000000003e-09	-5.32100000000006e-10	-5.342e-10	-7.90700000000006e-10	-8.35400000000004e-10	-9.05299999999988e-10	-9.42800000000002e-10
-0.21	-4.406e-10	-4.38899999999999e-10	-4.56399999999999e-10	-4.36599999999998e-10	-4.113e-10	-7.835e-10	-4.55799999999999e-10	-6.60700000000001e-10	-1.0425e-09	-9.96399999999999e-10
-0.205	-6.71599999999999e-10	-4.79299999999999e-10	-5.45199999999999e-10	2.39700000000001e-10	-4.53499999999999e-10	-6.73499999999999e-10	-3.579e-10	-4.71800000000001e-10	-9.576e-10	-9.138e-10
-0.2	-6.93699999999999e-10	-3.722e-10	-5.21299999999998e-10	-1.0155e-09	-4.88799999999998e-10	-5.22099999999999e-10	-5.232e-10	-4.96799999999999e-10	-8.635e-10	-7.74200000000001e-10
-0.195	-4.523e-10	-2.252e-10	-5.81299999999999e-10	-6.15699999999999e-10	-4.45599999999998e-10	-5.45599999999999e-10	-6.02299999999999e-10	-6.26599999999999e-10	-4.431e-10	-6.54200000000001e-10
-0.19	-2.235e-10	-2.768e-10	-5.14899999999999e-10	-1.78499999999999e-10	-4.11999999999999e-10	-4.95699999999999e-10	-7.33199999999998e-10	-7.16700000000001e-10	-3.79e-10	-5.55900000000002e-10
-0.185	-1.081e-10	-3.342e-10	-4.249e-10	-7.65999999999999e-10	-4.837e-10	-4.292e-10	-8.48799999999998e-10	-7.755e-10	-9.50600000000001e-10	-5.94000000000002e-10
-0.18	-3.973e-10	-3.648e-10	-4.337e-10	-1.671e-10	-4.279e-10	-5.227e-10	-6.47499999999998e-10	-6.586e-10	-8.27400000000001e-10	-7.18800000000001e-10
-0.175	-5.21499999999999e-10	-5.20799999999999e-10	-5.26699999999999e-10	-9.60000000000001e-11	-4.342e-10	-5.40000000000001e-10	-2.30099999999999e-10	-4.012e-10	-3.54799999999999e-10	-7.37e-10
-0.17	-2.495e-10	-5.49499999999999e-10	-4.35399999999999e-10	-7.292e-10	-4.89100000000001e-10	-3.35000000000001e-10	-1.673e-10	-3.41200000000001e-10	-3.37899999999998e-10	-6.15999999999999e-10
-0.165	-2.658e-10	-2.06799999999999e-10	-1.12099999999999e-10	1.75299999999999e-10	-2.56300000000001e-10	-1.86000000000001e-10	-3.04200000000001e-10	-4.76e-10	-2.90299999999998e-10	-3.98299999999998e-10
-0.16	-3.541e-10	6.38000000000005e-11	4.99e-11	7.27699999999999e-10	-5.67000000000003e-11	-1.797e-10	-2.88000000000001e-10	-4.78799999999999e-10	-3.86899999999997e-10	-2.35499999999998e-10
-0.155	-2.637e-10	-1.86e-11	3.8999999999999e-12	-7.90000000000005e-12	-7.98000000000005e-11	-2.56299999999998e-10	-2.59400000000001e-10	-4.05899999999998e-10	-6.13199999999997e-10	-2.39599999999998e-10
-0.15	-3.665e-10	-1.619e-10	-2.657e-10	-4.35499999999999e-10	-1.961e-10	-3.82499999999998e-10	-2.705e-10	-3.84999999999998e-10	-5.14799999999999e-10	-2.77599999999998e-10
-0.145	-4.61299999999999e-10	-2.109e-10	-4.70300000000001e-10	-7.15399999999998e-10	-1.90399999999999e-10	-3.55199999999999e-10	-2.848e-10	-2.06799999999998e-10	-1.35800000000002e-10	-2.67999999999999e-10
-0.14	-1.148e-10	-2.693e-10	-2.83100000000001e-10	-6.13399999999999e-10	-2.60099999999999e-10	-1.029e-10	-1.68899999999999e-10	1.06400000000001e-10	1.32499999999997e-10	-3.34100000000001e-10
-0.135	5.77000000000001e-11	-2.313e-10	1.891e-10	1.89000000000001e-11	-2.93199999999999e-10	1.52099999999999e-10	-1.17999999999999e-10	9.97000000000001e-11	2.23999999999978e-11	-2.59300000000001e-10
-0.13	-2.113e-10	5.32999999999997e-11	4.386e-10	1.96e-10	7.63000000000005e-11	1.82799999999998e-10	-7.24000000000006e-11	-8.14000000000013e-11	-1.78100000000002e-10	-1.40000000000012e-11
-0.125	-3.389e-10	2.677e-10	2.05199999999999e-10	1.14799999999999e-10	3.687e-10	1.41899999999999e-10	1.00699999999998e-10	1.03999999999982e-11	-1.80700000000001e-10	8.08999999999991e-11
-0.12	-2.267e-10	1.778e-10	-4.34000000000005e-11	1.198e-10	3.09399999999999e-10	1.76e-10	1.71699999999999e-10	1.20599999999999e-10	1.24700000000001e-10	1.343e-10
-0.115	2.17000000000001e-11	1.153e-10	-1.141e-10	2.077e-10	1.859e-10	2.79900000000001e-10	3.09399999999999e-10	1.994e-10	4.80700000000002e-10	3.524e-10
-0.11	2.08700000000001e-10	2.49800000000002e-10	1.36700000000008e-10	3.73500000000003e-10	3.36400000000001e-10	5.06700000000005e-10	4.90799999999999e-10	4.98700000000003e-10	6.20799999999998e-10	5.65600000000002e-10
-0.105	4.605e-10	3.74500000000002e-10	6.73100000000008e-10	3.87600000000003e-10	5.145e-10	8.26800000000005e-10	5.946e-10	8.29700000000003e-10	5.60699999999998e-10	6.85900000000001e-10
-0.1	6.783e-10	5.84000000000002e-10	9.97200000000007e-10	6.66800000000002e-10	6.67500000000001e-10	9.98700000000004e-10	7.91000000000001e-10	9.46700000000002e-10	4.97599999999998e-10	8.75400000000001e-10
-0.095	4.923e-10	8.37200000000002e-10	9.58200000000008e-10	9.80500000000002e-10	1.1098e-09	9.69100000000003e-10	1.1001e-09	1.1168e-09	8.06699999999998e-10	1.0291e-09
-0.09	3.705e-10	8.39900000000002e-10	8.08500000000008e-10	7.92700000000003e-10	1.372e-09	1.1594e-09	1.3781e-09	1.3923e-09	1.4221e-09	1.0832e-09
-0.085	5.52999999999999e-10	8.40299999999999e-10	9.92899999999999e-10	1.1632e-09	1.3876e-09	1.5141e-09	1.6279e-09	1.5315e-09	1.899e-09	1.1951e-09
-0.08	7.43299999999999e-10	1.0827e-09	1.4856e-09	1.955e-09	1.6342e-09	1.9004e-09	1.905e-09	1.8355e-09	2.123e-09	1.718e-09
-0.075	9.074e-10	1.4513e-09	2.0826e-09	2.0303e-09	2.0447e-09	2.4579e-09	2.1637e-09	2.3695e-09	2.2803e-09	2.4781e-09
-0.07	1.3079e-09	1.8098e-09	2.6126e-09	2.2048e-09	2.4308e-09	2.8822e-09	2.571e-09	2.9266e-09	2.4119e-09	2.9161e-09
