vd	id_vg = 0.0V	ig_vg = 0.0V	is_vg = 0.0V	iavdd_vg = 0.0V	ignd_vg = 0.0V	id_vg = 0.15000000000000002V	ig_vg = 0.15000000000000002V	is_vg = 0.15000000000000002V	iavdd_vg = 0.15000000000000002V	ignd_vg = 0.15000000000000002V	id_vg = 0.30000000000000004V	ig_vg = 0.30000000000000004V	is_vg = 0.30000000000000004V	iavdd_vg = 0.30000000000000004V	ignd_vg = 0.30000000000000004V	id_vg = 0.45V	ig_vg = 0.45V	is_vg = 0.45V	iavdd_vg = 0.45V	ignd_vg = 0.45V	id_vg = 0.6000000000000001V	ig_vg = 0.6000000000000001V	is_vg = 0.6000000000000001V	iavdd_vg = 0.6000000000000001V	ignd_vg = 0.6000000000000001V	id_vg = 0.75V	ig_vg = 0.75V	is_vg = 0.75V	iavdd_vg = 0.75V	ignd_vg = 0.75V	id_vg = 0.9V	ig_vg = 0.9V	is_vg = 0.9V	iavdd_vg = 0.9V	ignd_vg = 0.9V
0.0	-0.053952	-6.8789e-09	0.053952	3.6864e-07	-3.2018e-07	-0.030888	-4.1036e-09	0.030956	3.7594e-07	-3.1818e-07	-0.01189	-2.2328e-09	0.01191	3.823e-07	-3.1624e-07	-0.0014268	-9.163099999999999e-10	0.0014258	3.8604e-07	-3.1462e-07	-2.0488e-05	3.179e-11	2.0374e-05	3.8716e-07	-3.1412e-07	-2.3158e-07	6.5845e-10	1.5536e-07	3.8814e-07	-3.1408e-07	-7.82254e-08	1.1828e-09	1.1485e-09	3.903e-07	-3.1422e-07
0.005	-0.053884	-6.9026e-09	0.05391	3.6822e-07	-3.2e-07	-0.03091	-4.1053e-09	0.030942	3.7492e-07	-3.1822e-07	-0.011876	-2.2373e-09	0.011904	3.8108e-07	-3.1614e-07	-0.0014242	-9.1614e-10	0.0014252	3.8474e-07	-3.1478e-07	-2.0396e-05	2.198e-11	2.0336e-05	3.8586e-07	-3.1412e-07	-2.2888e-07	6.4653e-10	1.563e-07	3.8686e-07	-3.14e-07	-7.69032e-08	1.1598e-09	1.1514e-09	3.8868e-07	-3.1404e-07
0.01	-0.053856	-6.9096e-09	0.053886	3.6718e-07	-3.2002e-07	-0.030896	-4.1169e-09	0.030924	3.7382e-07	-3.1822e-07	-0.011866	-2.2355e-09	0.011894	3.7972e-07	-3.1598e-07	-0.0014234	-9.231e-10	0.0014232	3.8358e-07	-3.1482e-07	-2.0346e-05	1.611e-11	2.0348e-05	3.8452e-07	-3.141e-07	-2.2738e-07	6.3727e-10	1.5656e-07	3.858e-07	-3.141e-07	-7.54546e-08	1.1334e-09	1.1527e-09	3.872e-07	-3.1394e-07
0.015	-0.053828	-6.9138e-09	0.053858	3.6642e-07	-3.2012e-07	-0.030882	-4.1178e-09	0.03091	3.7288e-07	-3.183e-07	-0.011862	-2.2292e-09	0.01189	3.7874e-07	-3.1602e-07	-0.0014214	-9.3326e-10	0.0014226	3.8212e-07	-3.1454e-07	-2.0324e-05	3.2600000000000002e-12	2.0318e-05	3.8324e-07	-3.1408e-07	-2.2702e-07	6.241400000000001e-10	1.5634e-07	3.843e-07	-3.1406e-07	-7.403919999999999e-08	1.1236e-09	1.1477e-09	3.8586e-07	-3.1404e-07
0.02	-0.0538	-6.9187e-09	0.053832	3.655e-07	-3.2024e-07	-0.030866	-4.1324e-09	0.030896	3.718e-07	-3.1826e-07	-0.011856	-2.235e-09	0.011882	3.7744e-07	-3.1596e-07	-0.0014208	-9.3342e-10	0.0014212	3.8078e-07	-3.1444e-07	-2.0298e-05	-3.2700000000000004e-12	2.03e-05	3.8196e-07	-3.1408e-07	-2.2542e-07	6.0916e-10	1.5574e-07	3.8292e-07	-3.1404e-07	-7.259679999999999e-08	1.1004e-09	1.1449e-09	3.8446e-07	-3.14e-07
0.025	-0.05378	-6.8575e-09	0.053808	3.6458e-07	-3.2026e-07	-0.03085	-4.1503e-09	0.03088	3.7078e-07	-3.182e-07	-0.011848	-2.2429e-09	0.01187	3.7622e-07	-3.1602e-07	-0.00142	-9.4009e-10	0.0014196	3.7958e-07	-3.1446e-07	-2.0304e-05	-9.13e-12	2.0248e-05	3.8054e-07	-3.141e-07	-2.24e-07	6.0187e-10	1.5544e-07	3.8174e-07	-3.1402e-07	-7.12116e-08	1.095e-09	1.1438e-09	3.8298e-07	-3.1404e-07
0.03	-0.053756	-6.8608e-09	0.05378	3.6368e-07	-3.2028e-07	-0.030838	-4.1524e-09	0.030864	3.6984e-07	-3.1832e-07	-0.01184	-2.2472e-09	0.011866	3.7502e-07	-3.1598e-07	-0.0014186	-9.4878e-10	0.0014192	3.7828e-07	-3.1448e-07	-2.0294e-05	-1.896e-11	2.0254e-05	3.793e-07	-3.1408e-07	-2.2264e-07	5.884000000000001e-10	1.5506e-07	3.803e-07	-3.1404e-07	-6.98812e-08	1.0622e-09	1.1501e-09	3.8168e-07	-3.1404e-07
0.035	-0.053728	-6.8708e-09	0.053754	3.6296e-07	-3.203e-07	-0.03082	-4.1537e-09	0.030846	3.6868e-07	-3.1832e-07	-0.011836	-2.2526e-09	0.011858	3.739e-07	-3.1598e-07	-0.0014172	-9.4606e-10	0.0014178	3.771e-07	-3.1446e-07	-2.0226e-05	-2.568e-11	2.0274e-05	3.7804e-07	-3.141e-07	-2.2116e-07	5.7638e-10	1.5534000000000001e-07	3.7898e-07	-3.1402e-07	-6.8524e-08	1.0497e-09	1.1358e-09	3.804e-07	-3.1392e-07
0.04	-0.053698	-6.8836e-09	0.053732	3.623e-07	-3.206e-07	-0.03081	-4.1612e-09	0.030834	3.6776e-07	-3.1822e-07	-0.011822	-2.2513e-09	0.011854	3.7284e-07	-3.1604e-07	-0.0014158	-9.5217e-10	0.001417	3.7578e-07	-3.1446e-07	-2.0214e-05	-3.253e-11	2.0292e-05	3.7668e-07	-3.1408e-07	-2.1936e-07	5.7162e-10	1.5552e-07	3.7788e-07	-3.1408e-07	-6.71966e-08	1.0395e-09	1.136e-09	3.7896e-07	-3.1404e-07
0.045	-0.053678	-6.9557e-09	0.053702	3.6112e-07	-3.204e-07	-0.030792	-4.1603e-09	0.030818	3.667e-07	-3.1822e-07	-0.01182	-2.2534e-09	0.011846	3.7158e-07	-3.1604e-07	-0.0014154	-9.6333e-10	0.0014154	3.7462e-07	-3.1442e-07	-2.0236e-05	-4.108e-11	2.0218e-05	3.7542e-07	-3.1404e-07	-2.1814e-07	5.5513e-10	1.546e-07	3.765e-07	-3.14e-07	-6.590179999999999e-08	1.0226e-09	1.1448e-09	3.7774e-07	-3.1412e-07
