vg	id_vd = 0.0V	ig_vd = 0.0V	is_vd = 0.0V	iavdd_vd = 0.0V	ignd_vd = 0.0V	id_vd = 0.15000000000000002V	ig_vd = 0.15000000000000002V	is_vd = 0.15000000000000002V	iavdd_vd = 0.15000000000000002V	ignd_vd = 0.15000000000000002V	id_vd = 0.30000000000000004V	ig_vd = 0.30000000000000004V	is_vd = 0.30000000000000004V	iavdd_vd = 0.30000000000000004V	ignd_vd = 0.30000000000000004V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6000000000000001V	ig_vd = 0.6000000000000001V	is_vd = 0.6000000000000001V	iavdd_vd = 0.6000000000000001V	ignd_vd = 0.6000000000000001V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
1.2	-9.80986e-08	4.1038e-09	7.3e-13	4.0902e-07	-3.1474e-07	-4.73266e-08	2.8427e-09	3.18e-12	3.5792e-07	-3.136e-07	-2.26642e-08	1.9202e-09	4.72e-12	3.3434e-07	-3.1366e-07	-1.05446e-08	1.2603e-09	-4.42e-12	3.2284e-07	-3.1354e-07	-4.5561e-09	7.8368e-10	4.290000000000001e-12	3.1738e-07	-3.1352e-07	-1.7355e-09	4.692800000000001e-10	-8.93e-12	3.1492e-07	-3.1366e-07	-2.2451e-10	2.3451e-10	-7.17e-12	3.1368e-07	-3.1364e-07
1.195	-9.75304e-08	4.0744e-09	4.88e-12	4.0818e-07	-3.1466e-07	-4.668e-08	2.8087e-09	-8.64e-12	3.5768e-07	-3.1364e-07	-2.23842e-08	1.8887e-09	-8.25e-12	3.3424e-07	-3.1364e-07	-1.04466e-08	1.2305e-09	1.043e-11	3.2288e-07	-3.1354e-07	-4.5338e-09	7.7176e-10	-7.2300000000000005e-12	3.1676e-07	-3.1358e-07	-1.719e-09	4.6298e-10	4.850000000000001e-12	3.1492e-07	-3.1364e-07	-2.2087e-10	2.4524e-10	-4.47e-12	3.1294e-07	-3.136e-07
1.19	-9.6667e-08	4.0338e-09	-4.5400000000000004e-12	4.0744e-07	-3.147e-07	-4.646499999999999e-08	2.7604e-09	4.26e-12	3.574e-07	-3.1366e-07	-2.23164e-08	1.8622e-09	4.07e-12	3.3412e-07	-3.1364e-07	-1.03886e-08	1.2129e-09	-5.9e-12	3.2286e-07	-3.1352e-07	-4.524e-09	7.6353e-10	-1.59e-12	3.1664e-07	-3.1286e-07	-1.7195e-09	4.4446e-10	9.200000000000001e-13	3.1486e-07	-3.135e-07	-2.0375e-10	2.3557e-10	5.2500000000000004e-12	3.1364e-07	-3.1366e-07
1.185	-9.5891e-08	3.9715e-09	4.610000000000001e-12	4.0672e-07	-3.146e-07	-4.624519999999999e-08	2.7293e-09	-7.890000000000001e-12	3.5736e-07	-3.1374e-07	-2.22378e-08	1.8274e-09	-3.4000000000000005e-12	3.3406e-07	-3.1364e-07	-1.03844e-08	1.1895e-09	8.56e-12	3.2282e-07	-3.1358e-07	-4.5385e-09	7.4507e-10	8.810000000000001e-12	3.1746e-07	-3.1364e-07	-1.6984e-09	4.3831e-10	-9.000000000000001e-12	3.149e-07	-3.1358e-07	-1.9759e-10	2.1763000000000003e-10	1.2000000000000002e-13	3.1356e-07	-3.1366e-07
1.1800000000000002	-9.5271e-08	3.9231e-09	-5.830000000000001e-12	4.0614e-07	-3.1464e-07	-4.604119999999999e-08	2.6881e-09	9.76e-12	3.5706e-07	-3.1376e-07	-2.21366e-08	1.8081e-09	4.83e-12	3.3404e-07	-3.1368e-07	-1.03292e-08	1.1693e-09	-8.990000000000003e-12	3.2282e-07	-3.136e-07	-4.5158e-09	7.2531e-10	4.3000000000000004e-13	3.1744e-07	-3.1364e-07	-1.7054e-09	4.3085e-10	-2.0000000000000003e-14	3.1506e-07	-3.1334e-07	-1.9132e-10	2.0666e-10	-1.015e-11	3.1362e-07	-3.1366e-07
1.175	-9.44846e-08	3.8641e-09	6.96e-12	4.0522e-07	-3.1464e-07	-4.579239999999999e-08	2.6535e-09	-8.14e-12	3.569e-07	-3.1372e-07	-2.2094e-08	1.773e-09	1.26e-12	3.3398e-07	-3.1364e-07	-1.03252e-08	1.146e-09	6.1e-12	3.2286e-07	-3.137e-07	-4.5067e-09	7.173800000000001e-10	-9.000000000000001e-13	3.1742e-07	-3.1358e-07	-1.6871e-09	4.1465e-10	6.420000000000001e-12	3.15e-07	-3.136e-07	-1.7217e-10	1.9418e-10	-3.5e-13	3.1356e-07	-3.1364e-07
1.1700000000000002	-9.38e-08	3.8172e-09	-8.380000000000001e-12	4.0466e-07	-3.1462e-07	-4.569719999999999e-08	2.613e-09	1.043e-11	3.5684e-07	-3.137e-07	-2.2004e-08	1.7549e-09	-1.7500000000000002e-12	3.3402e-07	-3.1366e-07	-1.0284e-08	1.1296e-09	-6.1100000000000004e-12	3.2284e-07	-3.1366e-07	-4.4647e-09	7.0074e-10	9.64e-12	3.1746e-07	-3.1354e-07	-1.6882e-09	4.046e-10	-5.8700000000000014e-12	3.1492e-07	-3.1302e-07	-1.9001e-10	1.7561e-10	4.78e-12	3.1356e-07	-3.1362e-07
1.165	-9.31462e-08	3.7628e-09	1.022e-11	4.0406e-07	-3.1464e-07	-4.550579999999999e-08	2.5721e-09	-6.790000000000001e-12	3.566e-07	-3.1366e-07	-2.19556e-08	1.7189e-09	5.710000000000001e-12	3.3386e-07	-3.136e-07	-1.02684e-08	1.112e-09	4.450000000000001e-12	3.2284e-07	-3.1364e-07	-4.4626e-09	6.842700000000001e-10	5.960000000000001e-12	3.1742e-07	-3.1358e-07	-1.6801e-09	3.9936000000000006e-10	-4.550000000000001e-12	3.1488e-07	-3.1342e-07	-1.7558e-10	1.7087000000000003e-10	-4.62e-12	3.1364e-07	-3.1364e-07
1.16	-9.256e-08	3.7144e-09	-5.830000000000001e-12	4.0348e-07	-3.1464e-07	-4.53212e-08	2.5374e-09	6.430000000000001e-12	3.5642e-07	-3.1362e-07	-2.1865e-08	1.6951e-09	-8.44e-12	3.3384e-07	-3.1344e-07	-1.0234e-08	1.0913e-09	-5.14e-12	3.2292e-07	-3.137e-07	-4.4578e-09	6.7466e-10	-7.84e-12	3.1742e-07	-3.1364e-07	-1.6708e-09	3.9121e-10	8.45e-12	3.1428e-07	-3.136e-07	-1.6137e-10	1.7847e-10	-1.128e-11	3.1368e-07	-3.136e-07
1.155	-9.189639999999999e-08	3.6643e-09	7.25e-12	4.0286e-07	-3.1468e-07	-4.51202e-08	2.5e-09	-7.94e-12	3.5626e-07	-3.1364e-07	-2.18258e-08	1.6626e-09	6.290000000000001e-12	3.338e-07	-3.1368e-07	-1.01994e-08	1.072e-09	3.3400000000000007e-12	3.229e-07	-3.1368e-07	-4.4469e-09	6.7541e-10	-3.2200000000000004e-12	3.1746e-07	-3.137e-07	-1.6774e-09	3.7732000000000005e-10	-3.4e-13	3.1494e-07	-3.1362e-07	-1.7239e-10	1.7553e-10	-3.5400000000000007e-12	3.137e-07	-3.1366e-07
