|Vds|	Gm_|Vgs|=0.15V	Gm_|Vgs|=0.3V	Gm_|Vgs|=0.45V	Gm_|Vgs|=0.6V	Gm_|Vgs|=0.75V	Gm_|Vgs|=0.9V
0.9	2.44000000000001e-07	8.00000000000059e-07	9.60000000000153e-05	0.000640000000000015	0.000400000000000053	0.00680000000000055
0.895	2.59666666666667e-07	1.20500000000002e-06	8.86666666666767e-05	0.000626666666666689	0.00063333333333333	0.00526666666666701
0.89	2.76e-07	1.18300000000001e-06	9.10000000000038e-05	0.000624000000000015	0.000940000000000002	0.0041200000000002
0.885	2.832e-07	1.208e-06	9.2e-05	0.000611999999999999	0.00107999999999999	0.00324000000000008
0.88	2.886e-07	1.243e-06	8.97999999999979e-05	0.000625999999999985	0.00127999999999998	0.00258000000000001
0.875	2.902e-07	1.416e-06	9.1599999999997e-05	0.000647999999999976	0.00141999999999998	0.00236
0.87	2.86e-07	1.563e-06	9.07999999999985e-05	0.000655999999999972	0.00141999999999998	0.00236
0.865	2.828e-07	1.56399999999999e-06	8.52000000000014e-05	0.000667999999999979	0.00143999999999998	0.00238000000000002
0.86	2.82199999999999e-07	1.56e-06	8.50000000000015e-05	0.000695999999999995	0.00149999999999999	0.00238000000000002
0.855	2.792e-07	1.502e-06	8.24000000000008e-05	0.000702000000000013	0.00152000000000001	0.00235999999999997
0.85	2.772e-07	1.30599999999999e-06	7.8000000000002e-05	0.000674000000000023	0.00152000000000003	0.00237999999999995
0.845	2.75600000000001e-07	1.204e-06	8.18000000000022e-05	0.000664000000000021	0.00150000000000003	0.00239999999999997
0.84	2.69800000000001e-07	1.24e-06	8.36000000000015e-05	0.000664000000000014	0.00150000000000003	0.00237999999999996
0.835	2.64600000000001e-07	1.326e-06	8.14000000000015e-05	0.000640000000000009	0.00154000000000002	0.00237999999999996
0.83	2.61800000000001e-07	1.38699999999999e-06	8.52000000000016e-05	0.000648000000000004	0.00152	0.00240000000000001
0.825	2.562e-07	1.448e-06	8.92000000000006e-05	0.000677999999999999	0.00145999999999999	0.00242000000000003
0.82	2.49e-07	1.55500000000001e-06	8.89999999999985e-05	0.000661999999999999	0.00147999999999999	0.00246
0.815	2.45e-07	1.613e-06	9.21999999999966e-05	0.000648000000000002	0.00149999999999999	0.00245999999999999
0.81	2.432e-07	1.6e-06	9.07999999999974e-05	0.000660000000000009	0.00144	0.00246000000000003
0.805	2.402e-07	1.51e-06	8.51999999999992e-05	0.000668000000000005	0.00144000000000002	0.00250000000000003
0.8	2.366e-07	1.403e-06	8.59999999999999e-05	0.000683999999999997	0.00152000000000001	0.00248000000000001
0.795	2.348e-07	1.304e-06	8.82000000000009e-05	0.000695999999999995	0.00154	0.00242000000000002
0.79	2.322e-07	1.268e-06	8.62000000000019e-05	0.000699999999999988	0.00154	0.00246000000000003
0.785	2.282e-07	1.334e-06	8.86000000000007e-05	0.000701999999999985	0.00163999999999999	0.00254000000000001
0.78	2.244e-07	1.397e-06	9.55999999999992e-05	0.000669999999999993	0.00167999999999998	0.00257999999999998
0.775	2.196e-07	1.41e-06	9.43999999999998e-05	0.000639999999999998	0.00157999999999998	0.00257999999999998
0.77	2.16e-07	1.47e-06	8.88000000000006e-05	0.000668000000000005	0.00156	0.00255999999999999
0.765	2.15064e-07	1.508e-06	8.50000000000004e-05	0.000700000000000014	0.00162000000000001	0.00257999999999998
0.76	2.12866e-07	1.41700000000001e-06	8.1600000000001e-05	0.000698000000000009	0.0016	0.00257999999999998
0.755	2.09244e-07	1.437e-06	8.20000000000019e-05	0.000706000000000005	0.00158	0.00256000000000003
0.75	2.0676e-07	1.518e-06	8.66000000000006e-05	0.000720000000000008	0.00162000000000001	0.00264000000000004
0.745	2.0453e-07	1.403e-06	9.05999999999986e-05	0.000708000000000001	0.00162000000000001	0.00276000000000002
0.74	2.0092e-07	1.297e-06	9.75999999999984e-05	0.000692000000000003	0.00160000000000001	0.00278000000000004
0.735	1.9626e-07	1.36e-06	0.000101999999999999	0.000692000000000011	0.00158	0.00280000000000003
0.73	1.92502e-07	1.36600000000001e-06	9.88e-05	0.000710000000000008	0.00156	0.00281999999999998
0.725	1.89352e-07	1.297e-06	9.76000000000006e-05	0.000726	0.00162000000000001	0.00275999999999995
0.72	1.85302e-07	1.346e-06	9.32000000000018e-05	0.000727999999999997	0.00172	0.00279999999999996
0.715	1.81502e-07	1.43e-06	8.30000000000014e-05	0.000739999999999994	0.00173999999999999	0.00289999999999998
0.71	1.79614e-07	1.36099999999999e-06	8.12000000000002e-05	0.00076399999999999	0.00174	0.00283999999999999
0.705	1.7823e-07	1.258e-06	8.4e-05	0.000751999999999993	0.00178000000000001	0.00281999999999998
0.7	1.7589e-07	1.33900000000001e-06	8.27999999999996e-05	0.000714000000000002	0.00173999999999999	0.00292000000000001
0.695	1.73214e-07	1.45500000000001e-06	8.87999999999986e-05	0.000710000000000008	0.00163999999999999	0.00292000000000004
0.69	1.69594e-07	1.47399999999999e-06	9.71999999999997e-05	0.000724000000000003	0.00163999999999999	0.00292000000000001
0.685	1.64868e-07	1.56699999999999e-06	9.80000000000004e-05	0.000723999999999995	0.00171999999999999	0.00303999999999999
0.68	1.61318e-07	1.57599999999999e-06	9.59999999999979e-05	0.000719999999999991	0.00174	0.00310000000000001
0.675	1.59908e-07	1.39499999999999e-06	9.29999999999973e-05	0.00072599999999999	0.00174	0.00306
0.67	1.58042e-07	1.288e-06	9.21999999999988e-05	0.000743999999999987	0.00179999999999999	0.00303999999999998
0.665	1.55094e-07	1.29800000000002e-06	9.41999999999988e-05	0.000747999999999989	0.00182000000000001	0.00302
0.66	1.52764e-07	1.29300000000002e-06	9.73999999999994e-05	0.000743999999999996	0.00174000000000002	0.00302
0.655	1.50494e-07	1.21500000000001e-06	0.000102200000000001	0.000777999999999993	0.00172	0.00309999999999998
0.65	1.4755e-07	1.19899999999999e-06	0.000105400000000002	0.000809999999999994	0.00179999999999999	0.00319999999999997
0.645	1.4475e-07	1.30699999999999e-06	0.000104200000000001	0.000780000000000008	0.00182	0.00325999999999996
0.64	1.42648e-07	1.392e-06	0.000101000000000001	0.000744000000000013	0.00179999999999999	0.00339999999999993
0.635	1.40646e-07	1.403e-06	9.38000000000002e-05	0.00076200000000001	0.00182	0.00353999999999996
0.63	1.38534e-07	1.49e-06	8.43999999999996e-05	0.000780000000000016	0.00184	0.00352000000000005
0.625	1.3628e-07	1.58000000000002e-06	8.33999999999992e-05	0.00076800000000002	0.00184	0.00354000000000008
0.62	1.3352e-07	1.43800000000001e-06	8.5999999999999e-05	0.000776000000000007	0.00186000000000001	0.00364000000000007
0.615	1.30966e-07	1.31799999999999e-06	8.85999999999998e-05	0.000803999999999997	0.00190000000000001	0.00362000000000009
0.61	1.29554e-07	1.43499999999999e-06	9.40000000000013e-05	0.000789999999999993	0.00198000000000001	0.00360000000000007
0.605	1.2781e-07	1.56199999999999e-06	9.96000000000017e-05	0.000745999999999986	0.00204	0.00369999999999999
