I/V Sweep,id_vgs_P
RecordTime,04/14/2025 14:20:55
Device ID,
Count,1
Flag,
Remarks,
vg,vd,id,ig,is,iavdd,ignd
1.2,0,-1.0161999999999999E-07,3.3078E-09,5.9997E-10,4.2368E-07,-3.2624E-07
1.195,0,-1.0091999999999999E-07,3.082E-09,6.1323000000000006E-10,4.2337999999999997E-07,-3.2634E-07
1.19,0,-1.007E-07,2.9648E-09,6.2981E-10,4.2326E-07,-3.2626E-07
1.185,0,-1.0048E-07,2.8579E-09,6.2523E-10,4.2312E-07,-3.2616E-07
1.1800000000000002,0,-1.0022E-07,2.7638E-09,6.341700000000001E-10,4.2302E-07,-3.2617999999999997E-07
1.175,0,-9.9967799999999988E-08,2.6666E-09,6.4153000000000006E-10,4.2281999999999997E-07,-3.2612E-07
1.1700000000000002,0,-9.986699999999999E-08,2.5898E-09,6.4466E-10,4.229E-07,-3.2608E-07
1.165,0,-9.97398E-08,2.5079E-09,6.5306E-10,4.227E-07,-3.2614E-07
1.1600000000000001,0,-9.9501799999999989E-08,2.4331E-09,6.5701000000000009E-10,4.2246E-07,-3.2608E-07
1.155,0,-9.9256599999999992E-08,2.3639E-09,6.658100000000001E-10,4.2238E-07,-3.261E-07
1.1500000000000001,0,-9.9155399999999985E-08,2.3006E-09,6.6739E-10,4.2208E-07,-3.2584E-07
1.145,0,-9.9006399999999988E-08,2.2411E-09,6.7076000000000007E-10,4.2216E-07,-3.2606E-07
1.1400000000000001,0,-9.8868199999999993E-08,2.187E-09,6.8834E-10,4.2188E-07,-3.2603999999999997E-07
1.135,0,-9.8666199999999989E-08,2.1349E-09,6.8847000000000011E-10,4.2174E-07,-3.2596E-07
1.1300000000000001,0,-9.8486599999999992E-08,2.0833E-09,6.9036000000000009E-10,4.2178E-07,-3.2603999999999997E-07
1.125,0,-9.8318399999999989E-08,2.0343E-09,6.9591E-10,4.2164E-07,-3.2596E-07
1.12,0,-9.8193599999999991E-08,1.9883E-09,6.9935000000000007E-10,4.2144E-07,-3.2586E-07
1.115,0,-9.7903599999999993E-08,1.9459E-09,7.0322000000000008E-10,4.212E-07,-3.2588E-07
1.11,0,-9.78706E-08,1.9062E-09,7.0799000000000005E-10,4.2122E-07,-3.2592E-07
1.105,0,-9.76988E-08,1.8687E-09,7.1574000000000005E-10,4.2108E-07,-3.2594E-07
1.1,0,-9.7557599999999984E-08,1.8303E-09,7.218E-10,4.2099999999999997E-07,-3.2589999999999997E-07
1.095,0,-9.7456E-08,1.7928E-09,7.2796E-10,4.208E-07,-3.2589999999999997E-07
1.09,0,-9.73566E-08,1.7562E-09,7.2942E-10,4.2074E-07,-3.2584E-07
1.085,0,-9.7211399999999991E-08,1.7245E-09,7.3657000000000007E-10,4.2071999999999997E-07,-3.2584E-07
1.08,0,-9.7063599999999993E-08,1.6922E-09,7.4254000000000011E-10,4.2046E-07,-3.2586E-07
1.075,0,-9.6946199999999984E-08,1.6643E-09,7.515E-10,4.2026E-07,-3.258E-07
1.07,0,-9.6882E-08,1.6339E-09,7.6901E-10,4.2018E-07,-3.2584E-07
1.065,0,-9.6838999999999985E-08,1.6016E-09,7.6078E-10,4.2034E-07,-3.2576E-07
1.06,0,-9.6741599999999985E-08,1.5738E-09,7.7139000000000006E-10,4.201E-07,-3.2578E-07
1.0550000000000002,0,-9.6571999999999986E-08,1.5444E-09,7.7053E-10,4.201E-07,-3.2584E-07
1.05,0,-9.6599399999999986E-08,1.5178E-09,7.7204000000000006E-10,4.2018E-07,-3.2578E-07
1.0450000000000002,0,-9.6532199999999991E-08,1.4938E-09,7.805E-10,4.201E-07,-3.2586E-07
1.04,0,-9.6357199999999991E-08,1.4686E-09,7.8658000000000009E-10,4.2004E-07,-3.2584E-07
1.0350000000000001,0,-9.6319399999999986E-08,1.4442E-09,7.8996E-10,4.1996E-07,-3.258E-07
1.03,0,-9.6269199999999984E-08,1.4175E-09,7.980800000000001E-10,4.1978E-07,-3.2574E-07
1.0250000000000001,0,-9.6215599999999984E-08,1.392E-09,8.0588E-10,4.1984E-07,-3.258E-07
1.02,0,-9.61174E-08,1.3672E-09,8.1267E-10,4.1978E-07,-3.258E-07
1.0150000000000001,0,-9.6086999999999992E-08,1.345E-09,8.1503E-10,4.1973999999999997E-07,-3.2574E-07
1.01,0,-9.5986799999999987E-08,1.3253E-09,8.2404000000000008E-10,4.1978E-07,-3.258E-07
1.0050000000000001,0,-9.58854E-08,1.302E-09,8.307E-10,4.1944E-07,-3.2572E-07
1,0,-9.5961199999999992E-08,1.2791E-09,8.3614000000000007E-10,4.1954E-07,-3.257E-07
0.995,0,-9.5862799999999992E-08,1.2535E-09,8.3819000000000008E-10,4.1952E-07,-3.257E-07
0.9900000000000001,0,-9.58744E-08,1.2344E-09,8.4796E-10,4.1956E-07,-3.2572E-07
0.9850000000000001,0,-9.5941799999999989E-08,1.2092E-09,8.4744E-10,4.1956E-07,-3.2576E-07
0.98000000000000009,0,-9.58178E-08,1.1919E-09,8.5280000000000009E-10,4.1942E-07,-3.2588E-07
0.97500000000000009,0,-9.5684599999999991E-08,1.1717E-09,8.6827E-10,4.1931999999999997E-07,-3.2562E-07
0.97000000000000008,0,-9.56274E-08,1.1513E-09,8.7689000000000006E-10,4.1934E-07,-3.2562E-07
0.96500000000000008,0,-9.5524199999999987E-08,1.1267E-09,8.7733000000000011E-10,4.1917999999999997E-07,-3.2566E-07
0.96000000000000008,0,-9.5507399999999991E-08,1.1067E-09,8.8666E-10,4.1914E-07,-3.258E-07
0.95500000000000007,0,-9.5464599999999993E-08,1.0867E-09,8.9147E-10,4.192E-07,-3.2572E-07
0.95000000000000007,0,-9.54404E-08,1.0682E-09,8.9247E-10,4.1924E-07,-3.257E-07
0.94500000000000006,0,-9.5392799999999988E-08,1.0494E-09,8.9805000000000012E-10,4.1914E-07,-3.2568E-07
0.94000000000000006,0,-9.53758E-08,1.0313E-09,8.998E-10,4.191E-07,-3.2564E-07
0.935,0,-9.5417599999999993E-08,1.0114E-09,9.1541E-10,4.191E-07,-3.2572E-07
0.93,0,-9.53768E-08,9.9156E-10,9.2185000000000008E-10,4.1912E-07,-3.256E-07
0.925,0,-9.53344E-08,9.7139E-10,9.2238000000000008E-10,4.1914E-07,-3.2572E-07
0.92,0,-9.5217799999999989E-08,9.4993E-10,9.2486E-10,4.1903999999999997E-07,-3.2566E-07
0.915,0,-9.5225599999999987E-08,9.3338000000000014E-10,9.2997E-10,4.19E-07,-3.2552E-07
0.91,0,-9.5178399999999989E-08,9.1627000000000008E-10,9.6386E-10,4.19E-07,-3.2562E-07
0.905,0,-9.51406E-08,8.9973000000000006E-10,9.4851E-10,4.1894E-07,-3.2564E-07
0.9,0,-9.5118999999999993E-08,8.8015000000000011E-10,9.634E-10,4.1888E-07,-3.257E-07
0.895,0,-9.5078999999999987E-08,8.5581000000000007E-10,9.7294000000000016E-10,4.1888E-07,-3.2564E-07
0.89,0,-9.5093199999999988E-08,8.3799E-10,9.6973000000000012E-10,4.1875999999999997E-07,-3.257E-07
0.885,0,-9.5005599999999989E-08,8.2286000000000009E-10,9.7674E-10,4.1882E-07,-3.2558E-07
0.88,0,-9.4977999999999992E-08,8.0751E-10,9.8465000000000011E-10,4.188E-07,-3.2556E-07
0.875,0,-9.5017599999999989E-08,7.9005000000000008E-10,9.8504000000000015E-10,4.1866E-07,-3.2548E-07
0.87,0,-9.5010799999999992E-08,7.7191000000000008E-10,9.9947E-10,4.1912E-07,-3.2589999999999997E-07
0.865,0,-9.4888799999999986E-08,7.5207000000000007E-10,1.01531E-09,4.187E-07,-3.256E-07
0.86,0,-9.4925799999999988E-08,7.3471E-10,1.0102E-09,4.187E-07,-3.2564E-07
0.85500000000000009,0,-9.4842E-08,7.1619000000000009E-10,1.00668E-09,4.1866E-07,-3.256E-07
0.85000000000000009,0,-9.48026E-08,7.0138E-10,1.0162800000000001E-09,4.1866E-07,-3.2564E-07
0.84500000000000008,0,-9.4886E-08,6.8674E-10,1.0255E-09,4.1882E-07,-3.2558E-07
0.84000000000000008,0,-9.4992199999999992E-08,6.6966E-10,1.03396E-09,4.1884E-07,-3.2562E-07
0.83500000000000008,0,-9.49372E-08,6.4962000000000008E-10,1.04136E-09,4.1884E-07,-3.256E-07
0.83000000000000007,0,-9.48814E-08,6.3249000000000006E-10,1.0489000000000002E-09,4.1875999999999997E-07,-3.256E-07
0.82500000000000007,0,-9.4923199999999993E-08,6.1451000000000008E-10,1.05288E-09,4.1866E-07,-3.2546E-07
0.82000000000000006,0,-9.4869199999999985E-08,5.9993E-10,1.04995E-09,4.1888E-07,-3.2556E-07
0.81500000000000006,0,-9.4897399999999988E-08,5.8471E-10,1.05872E-09,4.1872E-07,-3.2548E-07
0.81,0,-9.4824199999999987E-08,5.6688E-10,1.0685200000000002E-09,4.1884E-07,-3.255E-07
0.805,0,-9.4790199999999988E-08,5.4979E-10,1.08095E-09,4.1866E-07,-3.255E-07
0.8,0,-9.477579999999999E-08,5.3203000000000007E-10,1.08623E-09,4.1884E-07,-3.2556E-07
0.795,0,-9.4738799999999988E-08,5.1600000000000008E-10,1.08728E-09,4.187E-07,-3.2556E-07
0.79,0,-9.45218E-08,5.0047E-10,1.09252E-09,4.1858E-07,-3.2542E-07
0.785,0,-9.4726E-08,4.8702E-10,1.09961E-09,4.1864E-07,-3.2554E-07
0.78,0,-9.4729799999999991E-08,4.7293E-10,1.1239600000000001E-09,4.186E-07,-3.2546E-07
0.775,0,-9.4643E-08,4.5517000000000004E-10,1.1157000000000002E-09,4.1864E-07,-3.256E-07
0.77,0,-9.4712799999999985E-08,4.3753000000000004E-10,1.12602E-09,4.1898E-07,-3.2582E-07
0.765,0,-9.4661399999999985E-08,4.2088000000000005E-10,1.1199E-09,4.1861999999999997E-07,-3.2556E-07
0.76,0,-9.4575999999999986E-08,4.1711E-10,1.1287E-09,4.1866E-07,-3.2554E-07
0.755,0,-9.4618399999999989E-08,3.9716000000000005E-10,1.1331E-09,4.1861999999999997E-07,-3.2556E-07
0.75,0,-9.45882E-08,3.7720000000000005E-10,1.1272E-09,4.1866E-07,-3.2546E-07
0.745,0,-9.4573599999999989E-08,3.6559000000000003E-10,1.1511E-09,4.186E-07,-3.258E-07
0.74,0,-9.4530999999999988E-08,3.5343000000000004E-10,1.1555E-09,4.1861999999999997E-07,-3.255E-07
0.735,0,-9.4517999999999986E-08,3.3839E-10,1.1499E-09,4.185E-07,-3.2548E-07
0.73,0,-9.45238E-08,3.2545000000000005E-10,1.1709E-09,4.187E-07,-3.2552E-07
0.72500000000000009,0,-9.46134E-08,3.0804E-10,1.1784E-09,4.1864E-07,-3.2544E-07
0.72000000000000008,0,-9.45446E-08,2.8981E-10,1.1865E-09,4.1864E-07,-3.256E-07
0.71500000000000008,0,-9.4551399999999993E-08,2.7631E-10,1.1902E-09,4.1852E-07,-3.256E-07
0.71000000000000008,0,-9.4566999999999989E-08,2.6176000000000003E-10,1.1896E-09,4.1868E-07,-3.254E-07
0.70500000000000007,0,-9.4575599999999991E-08,2.4394000000000004E-10,1.2159E-09,4.186E-07,-3.2538E-07
0.70000000000000007,0,-9.44964E-08,2.3373000000000003E-10,1.2154E-09,4.1856E-07,-3.255E-07
0.69500000000000006,0,-9.4455199999999992E-08,2.2184E-10,1.2109E-09,4.1854E-07,-3.2554E-07
0.69000000000000006,0,-9.4371199999999989E-08,2.0438000000000002E-10,1.2219E-09,4.1842E-07,-3.2552E-07
0.685,0,-9.4458599999999991E-08,1.8890000000000002E-10,1.2313E-09,4.1844E-07,-3.2548E-07
0.68,0,-9.4422599999999989E-08,1.753E-10,1.2355E-09,4.1846E-07,-3.2542E-07
0.675,0,-9.44004E-08,1.6419E-10,1.2316E-09,4.1836E-07,-3.255E-07
0.67,0,-9.4404399999999985E-08,1.4957E-10,1.246E-09,4.1854E-07,-3.2548E-07
0.665,0,-9.43238E-08,1.3789E-10,1.2606E-09,4.184E-07,-3.2546E-07
