vg	id_vd = 0.0V	ig_vd = 0.0V	is_vd = 0.0V	iavdd_vd = 0.0V	ignd_vd = 0.0V	id_vd = 0.15000000000000002V	ig_vd = 0.15000000000000002V	is_vd = 0.15000000000000002V	iavdd_vd = 0.15000000000000002V	ignd_vd = 0.15000000000000002V	id_vd = 0.30000000000000004V	ig_vd = 0.30000000000000004V	is_vd = 0.30000000000000004V	iavdd_vd = 0.30000000000000004V	ignd_vd = 0.30000000000000004V	id_vd = 0.45V	ig_vd = 0.45V	is_vd = 0.45V	iavdd_vd = 0.45V	ignd_vd = 0.45V	id_vd = 0.6000000000000001V	ig_vd = 0.6000000000000001V	is_vd = 0.6000000000000001V	iavdd_vd = 0.6000000000000001V	ignd_vd = 0.6000000000000001V	id_vd = 0.75V	ig_vd = 0.75V	is_vd = 0.75V	iavdd_vd = 0.75V	ignd_vd = 0.75V	id_vd = 0.9V	ig_vd = 0.9V	is_vd = 0.9V	iavdd_vd = 0.9V	ignd_vd = 0.9V
1.2	-1.2468e-07	6.6637e-09	2.6938e-10	4.4378e-07	-3.2624e-07	-6.194379999999999e-08	5.0032e-09	5.328e-11	3.8242e-07	-3.2548e-07	-3.11068e-08	3.9351e-09	-1.13e-12	3.5274e-07	-3.2544e-07	-1.5148599999999997e-08	3.1751e-09	-2.704e-11	3.3644e-07	-3.245e-07	-6.9609e-09	2.6251e-09	-4.629e-11	3.2882e-07	-3.2454e-07	-2.5499e-09	2.2822e-09	-7.795e-11	3.2488e-07	-3.239e-07	1.5111e-10	2.0123e-09	-7.624e-11	3.2252e-07	-3.2432e-07
1.195	-1.2336e-07	6.3587e-09	2.7542e-10	4.4294e-07	-3.2624e-07	-6.175999999999999e-08	4.8414e-09	6.985000000000001e-11	3.8242e-07	-3.255e-07	-3.1056199999999995e-08	3.7803e-09	1.774e-11	3.5274e-07	-3.2546e-07	-1.5032e-08	3.0291e-09	-2.3430000000000003e-11	3.366e-07	-3.2458e-07	-6.8524e-09	2.4918e-09	-5.336e-11	3.2888e-07	-3.2432e-07	-2.4403e-09	2.1487e-09	-5.9e-11	3.2506e-07	-3.2444e-07	1.0369e-10	1.8883e-09	-6.180000000000001e-11	3.226e-07	-3.2438e-07
1.19	-1.2256e-07	6.2009e-09	2.6743000000000003e-10	4.4218e-07	-3.262e-07	-6.15148e-08	4.6946e-09	6.945e-11	3.8212e-07	-3.255e-07	-3.1119e-08	3.647e-09	1.56e-11	3.5288e-07	-3.255e-07	-1.49814e-08	2.901e-09	-1.5650000000000002e-11	3.3608e-07	-3.246e-07	-6.7144e-09	2.3724e-09	-3.2e-11	3.2888e-07	-3.245e-07	-2.6037e-09	2.0319e-09	-6.418e-11	3.2506e-07	-3.2446e-07	5.438e-11	1.7769e-09	-6.981e-11	3.2268e-07	-3.2382e-07
1.185	-1.2132e-07	6.0492e-09	2.8015e-10	4.414e-07	-3.2624e-07	-6.11492e-08	4.5535e-09	7.836e-11	3.8212e-07	-3.2548e-07	-3.0881e-08	3.5155e-09	2.6520000000000003e-11	3.5282e-07	-3.2538e-07	-1.4929599999999997e-08	2.7783e-09	-8.200000000000001e-12	3.368e-07	-3.2466e-07	-6.8205e-09	2.2606e-09	-3.5350000000000006e-11	3.2904e-07	-3.244e-07	-2.5167e-09	1.9237e-09	-4.5430000000000005e-11	3.2452e-07	-3.2418e-07	1.6823000000000002e-10	1.6737e-09	-4.9440000000000006e-11	3.2268e-07	-3.2444e-07
1.1800000000000002	-1.2068e-07	5.9059e-09	2.7342e-10	4.406e-07	-3.2622e-07	-6.09666e-08	4.4273e-09	8.378e-11	3.8194e-07	-3.255e-07	-3.08988e-08	3.4028e-09	3.074e-11	3.5282e-07	-3.2542e-07	-1.4969e-08	2.6742e-09	-1.73e-12	3.3678e-07	-3.2458e-07	-6.7842e-09	2.1602e-09	-2.5540000000000003e-11	3.2914e-07	-3.2452e-07	-2.5988e-09	1.826e-09	-4.9620000000000005e-11	3.2452e-07	-3.2448e-07	-3.925e-11	1.5795e-09	-5.631e-11	3.2284e-07	-3.2406e-07
1.175	-1.1984e-07	5.7768e-09	2.7799000000000004e-10	4.3982e-07	-3.2616e-07	-6.070339999999999e-08	4.3094e-09	8.586e-11	3.8208e-07	-3.2554e-07	-3.0679399999999995e-08	3.2881e-09	3.7710000000000005e-11	3.5282e-07	-3.2546e-07	-1.4925e-08	2.5711e-09	3.5500000000000004e-12	3.3656e-07	-3.239e-07	-6.6268e-09	2.0637e-09	-1.992e-11	3.2916e-07	-3.2448e-07	-2.4674e-09	1.7347e-09	-4.032e-11	3.2538e-07	-3.2452e-07	1.7477e-10	1.4942e-09	-4.465e-11	3.2284e-07	-3.2442e-07
1.1700000000000002	-1.1886e-07	5.6487e-09	2.8552e-10	4.3928e-07	-3.2614e-07	-6.046279999999999e-08	4.197e-09	9.485e-11	3.8172e-07	-3.2544e-07	-3.0644399999999995e-08	3.1892e-09	4.4410000000000005e-11	3.5292e-07	-3.2542e-07	-1.49606e-08	2.4767e-09	7.81e-12	3.3696e-07	-3.2394e-07	-6.7826e-09	1.9816e-09	-2.2080000000000003e-11	3.2922e-07	-3.245e-07	-2.5055e-09	1.6532e-09	-3.528e-11	3.2528e-07	-3.2444e-07	1.9879e-10	1.4123e-09	-4.225e-11	3.2284e-07	-3.2442e-07
1.165	-1.1838e-07	5.5282e-09	2.7537e-10	4.3854e-07	-3.2612e-07	-6.03944e-08	4.0936e-09	9.481e-11	3.8154e-07	-3.2548e-07	-3.05554e-08	3.0953e-09	4.45e-11	3.5296e-07	-3.2544e-07	-1.47778e-08	2.3887e-09	1.6250000000000002e-11	3.3702e-07	-3.2448e-07	-6.6686e-09	1.8983e-09	-5.89e-12	3.294e-07	-3.2446e-07	-2.5484e-09	1.5773e-09	-3.383e-11	3.2534e-07	-3.2446e-07	3.9210000000000006e-11	1.341e-09	-4.009e-11	3.2286e-07	-3.2436e-07
1.16	-1.1752e-07	5.4183e-09	2.8787e-10	4.3784e-07	-3.2608e-07	-5.99832e-08	3.9927e-09	1.0997e-10	3.815e-07	-3.2554e-07	-3.0516399999999995e-08	3.0087e-09	5.624e-11	3.5292e-07	-3.2538e-07	-1.47892e-08	2.3084e-09	1.825e-11	3.3706e-07	-3.2458e-07	-6.8024e-09	1.8256e-09	-1.4310000000000002e-11	3.293e-07	-3.2454e-07	-2.4536e-09	1.5058e-09	-2.099e-11	3.2548e-07	-3.244e-07	2.1538e-10	1.2704e-09	-2.983e-11	3.2302e-07	-3.2436e-07
1.155	-1.169e-07	5.3124e-09	2.8443e-10	4.3724e-07	-3.2606e-07	-5.99976e-08	3.9014e-09	9.843e-11	3.8144e-07	-3.2552e-07	-3.0532799999999995e-08	2.9246e-09	5.528e-11	3.5298e-07	-3.2546e-07	-1.46772e-08	2.2323e-09	2.149e-11	3.3706e-07	-3.2446e-07	-6.5431e-09	1.755e-09	4.12e-12	3.2936e-07	-3.2434e-07	-2.4949e-09	1.4413e-09	-2.719e-11	3.2546e-07	-3.2446e-07	1.1994e-10	1.2108e-09	-3.548e-11	3.231e-07	-3.2442e-07
